arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	028084_23	1140	312	308	200.3549	1	0.0097	8	1.1288	0.0984	2.0614	1	0
base	028084_23	1220	103	103	63.0657	0	0.0000	8	0.8318	0.1735	1.3142	0	0
base	028084_23	1250	1159	1159	746.9780	0	0.0086	8	1.0026	0.0555	1.9756	3	0
base	028084_24	471	35	33	51.3889	0	0.9394	3	0.1342	0.3533	1.8961	27	1
base	028084_24	490	410	410	260.9980	0	0.0073	8	1.0221	0.2293	3.5774	0	0
base	028084_24	520	107	107	68.7839	0	0.0000	8	1.0820	0.0867	2.6291	0	0
base	028084_24	650	260	260	165.6834	0	0.0115	8	0.8206	0.2427	0.6173	1	0
base	028084_24	1030	623	623	394.9212	0	0.0032	8	0.8824	0.1749	0.5214	0	0
base	028084_24	1110	251	237	159.8480	1	0.0084	7	0.9429	0.0808	1.6754	1	0
base	028084_25	360	278	272	176.5260	1	0.0000	8	1.0891	0.0875	1.8221	0	0
base	028084_25	390	262	262	166.2882	0	0.0496	7	0.8779	0.2897	0.1255	9	2
base	028084_25	840	265	265	171.8461	0	0.0000	8	1.0168	0.2128	2.8821	0	0
base	028084_26	320	484	482	305.0170	0	0.1286	8	0.7162	0.3267	0.2502	41	1
base	028084_26	410	235	232	148.5449	1	0.0991	8	0.9924	0.1354	2.7995	10	1
base	028084_26	940	431	431	273.8772	0	0.0093	8	1.0014	0.0594	2.5426	2	0
base	028084_26	1090	75	75	46.8782	0	0.0000	8	1.1784	0.1124	2.3450	0	0
base	028084_26	1150	348	348	226.5424	0	0.0000	9	1.0673	0.0686	2.8621	0	0
base	028084_26	1180	54	50	37.2790	0	0.8400	7	0.0415	1.5292	0.6880	45	1
base	028084_27	260	206	202	130.8966	0	0.5693	8	0.2008	0.9070	0.8915	94	9
base	028084_27	330	143	142	90.6900	0	0.1972	8	0.5561	1.0043	0.6459	18	1
base	028084_27	460	88	77	58.7335	0	0.0909	8	0.6765	0.8426	1.2212	17	1
base	028084_27	570	203	202	133.4462	0	0.3218	8	0.2556	0.5523	0.1101	46	2
base	028084_27	930	342	342	218.7480	0	0.0000	7	0.9756	0.2838	1.0416	0	0
base	028084_27	1040	521	520	332.0013	0	0.0231	8	0.8231	0.2041	0.3454	9	1
base	028084_27	1070	162	162	105.5272	0	0.0556	8	1.1065	0.1417	0.4051	3	0
base	028084_27	1110	42	42	54.1549	0	0.8810	4	0.1944	0.7314	nan	33	3
base	028084_28	1100	496	496	316.9439	0	0.0000	8	1.1305	0.0535	3.0673	0	0
base	028084_28	1310	917	909	594.8218	1	0.0033	8	1.1759	0.0964	0.5988	2	0
base	028084_29	380	18	18	12.2039	0	0.2778	4	0.3112	0.2156	nan	0	0
base	028084_29	440	318	318	213.6363	0	0.2327	7	0.5302	0.5375	0.2582	38	6
base	028084_29	1011	82	82	54.3255	0	0.0122	8	0.7789	0.3576	0.6254	0	0
base	028084_29	1150	148	148	94.5487	0	0.1014	8	0.8063	0.5874	0.1701	11	2
base	028084_3	220	330	264	205.5217	1	0.5265	8	0.3295	0.5269	2.9641	171	9
base	028084_3	270	287	283	183.7033	1	0.1272	8	0.4079	0.5845	0.8641	25	2
base	028084_3	280	36	35	23.7749	0	0.4857	6	0.2468	0.9323	0.6136	10	2
base	028084_3	490	47	45	71.1139	0	0.2667	3	0.2837	0.7700	nan	10	2
base	028084_3	720	375	375	238.6511	0	0.0187	8	1.0369	0.3979	0.4726	6	1
base	028084_3	860	853	852	547.5131	0	0.0106	8	0.7931	0.2131	1.4474	6	1
base	028084_3	900	624	612	399.6133	1	0.0082	7	1.1685	0.0890	0.4039	4	1
base	028084_3	910	90	90	58.4490	0	0.2889	8	0.3693	0.9376	3.3625	22	1
base	028084_30	330	120	120	74.5458	0	0.2583	8	0.4211	0.4466	0.4727	23	3
base	028084_30	340	248	248	160.0643	0	0.1250	9	0.4112	0.7736	0.9731	19	2
base	028084_30	370	653	652	416.4261	0	0.0061	7	1.0480	0.0474	1.9703	4	1
base	028084_30	1070	19	9	46.5645	0	1.0000	1	nan	nan	nan	17	1
base	028084_4	410	359	359	226.2676	0	0.0000	8	0.9420	0.4134	2.8080	0	0
base	028084_4	530	298	241	186.4598	0	0.5104	6	0.1899	0.8068	11.1865	164	5
base	028084_4	1140	453	441	285.3311	1	0.0136	8	1.1176	0.0985	1.5577	4	1
base	028084_4	1190	430	408	271.9905	1	0.0123	8	1.1163	0.1036	1.7641	7	1
base	028084_5	1150	66	66	41.5100	0	0.0000	8	1.1376	0.1317	2.7208	0	0
base	028084_6	500	15	15	61.6000	0	0.6000	1	nan	nan	nan	0	0
base	028084_6	970	372	348	233.2378	1	0.0000	8	1.0890	0.0502	1.4724	1	0
