scan_id	key	role	fp_in	A0	R2	label_verdict	label_michel_kind	label_source	label_confidence	shown_on
1	029107_7/32	control	-	is_stm 1 michel_found 0	is_stm 1 michel_found 0	STM_ONLY	none	smx27		d116hr2
2	029107_11/33	tier1	R2:michel	is_stm 1 michel_found 0	is_stm 1 michel_found 1	STM_ONLY	detached dots	smx27		d116hr2
3	029107_11/74	tier1	R2:is_stm	is_stm 0 michel_found 0	is_stm 1 michel_found 1	THRU	none	smx27		d116hr2
4	028084_2/116	tier1	R2:michel	is_stm 0 michel_found 0	is_stm 1 michel_found 1	STM_ONLY	None	owner_review	owner	d116hr2
5	029107_20/148	control	-	is_stm 1 michel_found 0	is_stm 1 michel_found 0	STM_ONLY	none	new_agent		d116hr2
6	029107_2/39	tier1	R2:is_stm	is_stm 0 michel_found 0	is_stm 1 michel_found 1	THRU	none	smx27		d116hr2
7	029107_20/17	tier1	R2:michel	is_stm 0 michel_found 0	is_stm 0 michel_found 1	STM_ONLY	none	smx27		d115hoff (FALLBACK: below the prep filters on d116hr2)
8	028084_15/50	tier1	R2:is_stm	is_stm 0 michel_found 0	is_stm 1 michel_found 0	THRU	none	smx27		d116hr2
9	029107_15/40	tier1	R2:michel	is_stm 0 michel_found 0	is_stm 1 michel_found 1	STM_ONLY	None	owner_review	owner	d116hr2
10	029107_22/123	control	-	is_stm 1 michel_found 0	is_stm 1 michel_found 0	STM_ONLY	detached dots	smx27		d116hr2
11	029107_4/123	control	-	is_stm 1 michel_found 0	is_stm 1 michel_found 0	STM_ONLY	detached dots	smx27		d116hr2
