i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
267	-10.42	4976	0.67	interior	3live	-	6444	4407	23589	000	14346	1	-	-	-	-	0.65		0/0	1/1	1/1			0	5	3
268	-9.78	4980	0.23	terminal	3live	-	12576	20179	24670	000	19782	1	path	closely_other	0.65	0.614	0.00		0/0	1/1	1/1			0	4	4
269	-9.13	4986	0.40	interior	3live	-	8151	20803	26413	000	19974	1	path	closely_other	0.65	0.604	0.59		0/0	1/1	1/1			0	6	4
270	-8.33	4987	0.46	terminal	3live	-	18826	16633	26413	000	21045	1	connect	closely_same	0.80	0.745	0.00		0/0	1/1	1/1			0	6	4
271	-8.01	4990	0.38	interior	3live	-	11545	16443	25165	000	18592	1	path	closely_other	0.32	0.295	0.32		0/0	1/1	1/1			0	5	4
272	-7.21	4991	0.57	interior	3live	-	16507	6429	25165	000	17768	1	connect	closely_same	0.80	0.754	0.63		0/0	1/1	1/1			0	5	4
273	-6.58	4998	0.41	terminal	3live	-	15408	19920	28553	000	21981	1	path	closely_other	0.63	0.589	0.00		0/0	1/1	1/1			0	6	4
274	-6.11	5000	0.65	interior	3live	-	6858	10408	21758	000	14477	1	path	closely_other	0.47	0.445	0.47		0/0	1/1	1/1			0	5	4
275	-5.62	5001	0.45	terminal	3live	-	14920	10408	21758	000	16374	1	connect	closely_same	0.49	0.472	0.00		1/1	1/1	1/1			7	5	4
276	-4.82	5009	0.22	interior	3live	-	13111	13842	11784	000	12940	1	connect	closely_other	0.80	0.770	0.49		0/0	1/1	1/1			0	5	4
277	-4.33	5008	0.35	terminal	3live	-	13111	10174	17424	000	13893	1	path	closely_same	0.49	0.478	0.00		0/0	1/1	1/1			6	5	4
278	-3.53	5010	0.57	interior	3live	-	9946	1287	17424	000	11607	1	path	closely_same	0.80	0.781	0.80		0/0	1/1	1/1			0	5	4
279	-2.73	5016	0.19	interior	3live	-	11662	10014	14237	000	12096	1	connect	closely_other	0.80	0.786	0.32		-1	-1	-1					
280	-2.41	5020	0.16	terminal	3live	-	15348	14558	15599	000	15175	1	path	closely_other	0.32	0.306	0.00		-1	-1	-1					
281	-1.61	5019	0.32	interior	3live	-	9554	5221	15599	000	10983	1	connect	closely_same	0.80	0.780	0.58		-1	-1	-1					
282	-0.96	5029	0.23	terminal	3live	-	16490	15214	19367	000	17112	1	path	closely_other	0.66	0.637	0.00		-1	-1	-1					
283	-0.37	5033	0.36	interior	3live	-	12299	8988	16717	000	13058	1	connect	closely_other	0.59	0.566	0.37		-1	-1	-1					
284	0.00	5036	0.67	terminal	3live	-	8323	8031	8342	000	8233	1	path	closely_other	0.37	0.365	0.00		-1	-1	-1					
285	0.95	5034	1.35	interior	3live	-	1310	1084	257	000	993	1	path	closely_same	0.95	1.038	0.95	S0	-1	-1	-1					
