label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:full	rms	U	3	1270.33	1625	4.73431e+07	3.7219	2.40863	2.55496	8.98258	1.27021	14.5788	1.45519e-11	0	0.721119
phase:full	rms	U	4	1593.45	1592	4.73429e+07	3.82187	2.54311	2.61585	9.73395	1.68733	14.9819	1.45519e-11	0	0.719571
phase:full	rms	U	5	1992.79	1831	4.73374e+07	3.81294	2.74237	2.6892	9.66603	1.29871	14.2497	1.45519e-11	0	0.716485
phase:full	share	U	0	254.061	1613	4.73069e+07	3.61085	1.09793	2.3532	6.12133	0.608923	17.3703	1.45519e-11	0	0.74214
phase:full	share	U	1	661.265	1481	4.73472e+07	3.44926	1.85908	2.43605	5.86724	0.559285	14.3756	1.45519e-11	0	0.747512
phase:full	share	U	2	971.137	1433	4.73362e+07	3.63928	2.20474	2.49725	6.97878	0.542153	14.6198	1.45519e-11	0	0.72486
phase:full	share	U	3	1270.33	1625	4.73431e+07	3.7219	2.40863	2.55496	7.17269	0.729183	14.5788	1.45519e-11	0	0.721119
phase:full	share	U	4	1593.45	1592	4.73429e+07	3.82187	2.54311	2.61585	7.25381	0.898552	14.9819	1.45519e-11	0	0.719571
phase:full	share	U	5	1992.79	1831	4.73374e+07	3.81294	2.74237	2.6892	7.4171	0.822261	14.2497	1.45519e-11	0	0.716485
phase:full	rms	V	0	253.55	1459	4.23899e+07	3.66812	1.28867	2.35701	8.58729	1.36382	17.3499	1.45519e-11	0	0.738602
phase:full	rms	V	1	626.898	1458	4.2651e+07	3.50794	2.09235	2.43295	7.44823	0.996538	13.847	1.45519e-11	0	0.727851
phase:full	rms	V	2	942.636	1276	4.2454e+07	3.48607	2.50077	2.49538	7.29736	0.766016	12.1257	1.45519e-11	0	0.733974
phase:full	rms	V	3	1234.67	1173	4.2508e+07	3.80749	2.62555	2.55176	9.62457	1.01536	14.1149	1.45519e-11	0	0.719076
phase:full	rms	V	4	1568.23	1407	4.26053e+07	3.93708	2.79782	2.61467	10.626	1.62865	14.5092	1.45519e-11	0	0.705157
phase:full	rms	V	5	2013.37	1455	4.25381e+07	3.62402	3.01271	2.69634	8.26785	1.00111	11.3273	1.45519e-11	0	0.709775
phase:full	share	V	0	253.55	1459	4.23899e+07	3.66812	1.28867	2.35701	6.29187	0.536896	17.3499	1.45519e-11	0	0.738602
phase:full	share	V	1	626.898	1458	4.2651e+07	3.50794	2.09235	2.43295	6.8259	0.663504	13.847	1.45519e-11	0	0.727851
phase:full	share	V	2	942.636	1276	4.2454e+07	3.48607	2.50077	2.49538	6.51881	0.547226	12.1257	1.45519e-11	0	0.733974
phase:full	share	V	3	1234.67	1173	4.2508e+07	3.80749	2.62555	2.55176	7.27986	0.64934	14.1149	1.45519e-11	0	0.719076
phase:full	share	V	4	1568.23	1407	4.26053e+07	3.93708	2.79782	2.61467	8.03473	0.896455	14.5092	1.45519e-11	0	0.705157
phase:full	share	V	5	2013.37	1455	4.25381e+07	3.62402	3.01271	2.69634	7.77945	0.752856	11.3273	1.45519e-11	0	0.709775
phase:full	rms	W	0	235.4	1325	2.72847e+07	2.6602	1.066	1.26978	4.9099	1.48544	7.55264	1.45519e-11	0	0.786476
