label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	6.42103	3.20704	1.57057	0.148704	2.4667	0.467099	1.85855	4	8.8	0.48359	6.42103e-07	1.57057
all	share	U	8.83345	1.68095	1.22373	0.0871722	1.49752	0.213351	3.66551	4	8.8	0.48359	8.83345e-07	1.22373
all	rms	V	8.74508	2.54412	1.24501	0.111361	1.55005	0.27729	4.10159	4	8.8	0.80599	8.74508e-07	1.24501
all	share	V	8.69006	2.38638	1.24231	0.109772	1.54334	0.272744	0.916805	4	8.8	0.80599	8.69006e-07	1.24231
all	rms	W	-0.758568	5.34789	1.14508	0.306499	1.3112	0.701928	2.82567	4	8.8	0.09403	-7.58568e-08	1.14508
all	share	W	3.18906	1.80672	0.764303	0.150423	0.584159	0.229937	1.24592	4	8.8	0.09403	3.18906e-07	0.764303
all	rms	U(joint)	6.79784	1.86764	1.55394	0.0959687	2.41474	0.29826	11.3819	14	8.8	0.48359	6.79784e-07	1.55394
all	rms	V(joint)	6.79784	1.86764	1.31679	0.0851384	1.73394	0.224219	11.3819	14	8.8	0.80599	6.79784e-07	1.31679
all	rms	W(joint)	6.79784	1.86764	0.568317	0.221206	0.322984	0.25143	11.3819	14	8.8	0.09403	6.79784e-07	0.568317
all	share	U(joint)	6.73461	1.09379	1.31642	0.0600777	1.73295	0.158174	11.9098	14	8.8	0.48359	6.73461e-07	1.31642
all	share	V(joint)	6.73461	1.09379	1.32133	0.0611541	1.74591	0.161609	11.9098	14	8.8	0.80599	6.73461e-07	1.32133
all	share	W(joint)	6.73461	1.09379	0.37792	0.190953	0.142824	0.14433	11.9098	14	8.8	0.09403	6.73461e-07	0.37792
face:x>0	rms	U	2.65223	4.66224	1.66734	0.228317	2.78001	0.761361	4.7104	4	8.8	0.48359	2.65223e-07	1.66734
face:x>0	share	U	7.98693	2.51772	1.24992	0.148895	1.56231	0.372216	3.38664	4	8.8	0.48359	7.98693e-07	1.24992
face:x>0	rms	V	11.2598	1.81649	1.10978	0.0979957	1.23162	0.217508	1.28054	4	8.8	0.80599	1.12598e-06	1.10978
face:x>0	share	V	9.68193	1.36741	1.08409	0.0785724	1.17525	0.170359	2.44751	4	8.8	0.80599	9.68193e-07	1.08409
face:x>0	rms	W	-3.30835	0.358256	1.00712	0.0302177	1.01428	0.0608654	165.892	4	8.8	0.09403	-3.30835e-07	1.00712
face:x>0	share	W	-4.55681	0.329884	1.04068	0.0279368	1.08302	0.0581465	296.791	4	8.8	0.09403	-4.55681e-07	1.04068
face:x>0	rms	U(joint)	-2.7323	0.35049	1.9106	0.0319887	3.65038	0.122235	235.136	14	8.8	0.48359	-2.7323e-07	1.9106
face:x>0	rms	V(joint)	-2.7323	0.35049	1.65184	0.0316735	2.72856	0.104639	235.136	14	8.8	0.80599	-2.7323e-07	1.65184
face:x>0	rms	W(joint)	-2.7323	0.35049	0.958874	0.0310923	0.919439	0.0596272	235.136	14	8.8	0.09403	-2.7323e-07	0.958874
face:x>0	share	U(joint)	-3.58595	0.318114	1.7978	0.0259245	3.23209	0.0932142	426.561	14	8.8	0.48359	-3.58595e-07	1.7978
face:x>0	share	V(joint)	-3.58595	0.318114	1.59425	0.031775	2.54163	0.101315	426.561	14	8.8	0.80599	-3.58595e-07	1.59425
face:x>0	share	W(joint)	-3.58595	0.318114	0.956358	0.0293503	0.914621	0.0561388	426.561	14	8.8	0.09403	-3.58595e-07	0.956358
face:x<0	rms	U	24.5083	15.3552	1.27459	0.227471	1.62457	0.579863	5.09472	3	8.8	0.48359	2.45083e-06	1.27459
face:x<0	share	U	18.795	5.02494	1.2003	0.0537571	1.44071	0.129049	4.18996	3	8.8	0.48359	1.8795e-06	1.2003
face:x<0	rms	V	11.0755	2.01631	1.22611	0.164863	1.50336	0.404282	7.37032	4	8.8	0.80599	1.10755e-06	1.22611
face:x<0	share	V	11.3095	1.86102	1.17182	0.155205	1.37316	0.363745	6.72921	4	8.8	0.80599	1.13095e-06	1.17182
face:x<0	rms	W	8.68022	1.39438	0.334299	0.209117	0.111756	0.139815	7.49732	4	8.8	0.09403	8.68022e-07	0.334299
face:x<0	share	W	5.54894	1.32889	0.586431	0.1244	0.343901	0.145903	3.02642	4	8.8	0.09403	5.54894e-07	0.586431
face:x<0	rms	U(joint)	9.53866	1.14367	1.46165	0.0852595	2.13641	0.249239	21.8728	13	8.8	0.48359	9.53866e-07	1.46165
face:x<0	rms	V(joint)	9.53866	1.14367	1.33688	0.0985003	1.78724	0.263365	21.8728	13	8.8	0.80599	9.53866e-07	1.33688
face:x<0	rms	W(joint)	9.53866	1.14367	0.169903	0.34339	0.0288672	0.116686	21.8728	13	8.8	0.09403	9.53866e-07	0.169903
face:x<0	share	U(joint)	7.99456	1.05726	1.2864	0.0329108	1.65483	0.0846729	25.1251	13	8.8	0.48359	7.99456e-07	1.2864
face:x<0	share	V(joint)	7.99456	1.05726	1.40101	0.0860154	1.96284	0.241017	25.1251	13	8.8	0.80599	7.99456e-07	1.40101
face:x<0	share	W(joint)	7.99456	1.05726	0.293718	0.202104	0.0862704	0.118723	25.1251	13	8.8	0.09403	7.99456e-07	0.293718
length:L<100cm	rms	U	4.37597	9.98918	1.66316	0.166044	2.76609	0.552315	0.906835	3	8.8	0.48359	4.37597e-07	1.66316
length:L<100cm	share	U	3.89051	4.40425	1.31402	0.119598	1.72665	0.314309	2.63488	3	8.8	0.48359	3.89051e-07	1.31402
length:L<100cm	rms	V	11.5603	1.9472	1.06041	0.163805	1.12447	0.3474	5.19991	4	8.8	0.80599	1.15603e-06	1.06041
length:L<100cm	share	V	11.0401	2.05056	1.08337	0.179643	1.17369	0.389241	7.18756	4	8.8	0.80599	1.10401e-06	1.08337
length:L<100cm	rms	W	5.79726	4.0981	0.590648	0.197753	0.348865	0.233604	7.07195	4	8.8	0.09403	5.79726e-07	0.590648
length:L<100cm	share	W	4.0915	3.56813	0.607577	0.164106	0.36915	0.199414	1.41051	4	8.8	0.09403	4.0915e-07	0.607577
length:L<100cm	rms	U(joint)	10.3147	1.73212	1.58902	0.120036	2.52498	0.38148	15.1565	13	8.8	0.48359	1.03147e-06	1.58902
length:L<100cm	rms	V(joint)	10.3147	1.73212	1.155	0.135717	1.33403	0.313507	15.1565	13	8.8	0.80599	1.03147e-06	1.155
length:L<100cm	rms	W(joint)	10.3147	1.73212	0.349289	0.201342	0.122003	0.140653	15.1565	13	8.8	0.09403	1.03147e-06	0.349289
length:L<100cm	share	U(joint)	8.55491	1.64863	1.21112	0.0895281	1.46681	0.216858	15.3882	13	8.8	0.48359	8.55491e-07	1.21112
length:L<100cm	share	V(joint)	8.55491	1.64863	1.27301	0.126322	1.62056	0.321618	15.3882	13	8.8	0.80599	8.55491e-07	1.27301
