# doc pdvd/42 d42_proj2d_resid.py det=pdvd files=120
det	event	block	cluster	pass	status	npts	length_cm	kink_num	exit_L	left_L	plane	Ncells	Nlive	Ndead	Nfoot	Q_all	Q_foot	f_off	U_all	U_foot	B_foot	chi2N_foot	uncov_foot	pull_rms	pull_tail3	Nfoot_pred	absx_med	fit_chi2_med	f_off_near	f_off_far
pdvd	039252_0_d42fit	270	27	0	7	226	146.0	223	144.7	1.9	U	873	869	0	687	10295016	8257916	0.1979	0.3108	0.3165	-0.2394	10.833	0.0217	2.310	0.3392	566	285.2	1.968	0.1950	0.0028
pdvd	039252_0_d42fit	270	27	0	7	226	146.0	223	144.7	1.9	V	898	652	245	614	9721766	9683870	0.0039	0.3253	0.3227	-0.2434	10.259	0.0256	2.117	0.3279	494	285.2	1.968	0.0026	0.0013
pdvd	039252_0_d42fit	270	27	0	7	226	146.0	223	144.7	1.9	W	1663	1663	0	1167	9176389	8957272	0.0239	0.1605	0.1408	-0.0223	7.230	0.0023	1.442	0.1540	1143	285.2	1.968	0.0150	0.0089
pdvd	039252_0_d42fit	270	27	0	7	226	146.0	223	144.7	1.9	ALL	3434	3184	245	2468	29193171	26899058	0.0786	0.2684	0.2602	-0.1686	8.986	0.0166	1.999	0.2406	2203	285.2	1.968	0.0744	0.0042
pdvd	039252_0_d42fit	280	28	0	7	715	455.9	715	455.7	0.0	U	3655	3395	257	2514	39289285	33896181	0.1373	0.2743	0.2378	-0.1357	7.878	0.0206	1.696	0.1773	2245	172.9	1.646	0.1236	0.0136
pdvd	039252_0_d42fit	280	28	0	7	715	455.9	715	455.7	0.0	V	3372	3090	273	2655	54525090	51378067	0.0577	0.3462	0.3063	-0.2123	8.610	0.0247	1.820	0.2370	2350	172.9	1.646	0.0474	0.0103
pdvd	039252_0_d42fit	280	28	0	7	715	455.9	715	455.7	0.0	W	4331	4331	0	3111	32273403	30029954	0.0695	0.2786	0.2251	-0.0835	20.794	0.0085	2.517	0.2985	2894	172.9	1.646	0.0478	0.0217
pdvd	039252_0_d42fit	280	28	0	7	715	455.9	715	455.7	0.0	ALL	11358	10816	530	8280	126087778	115304202	0.0855	0.3065	0.2650	-0.1563	12.965	0.0193	2.073	0.2429	7489	172.9	1.646	0.0713	0.0142
pdvd	039252_0_d42fit	350	35	0	0	473	307.1	473	304.0	0.0	U	2883	2109	769	1316	17664220	12900202	0.2697	0.3043	0.3011	-0.2437	6.319	0.0220	1.659	0.2233	1106	216.7	1.441	0.2325	0.0372
pdvd	039252_0_d42fit	350	35	0	0	473	307.1	473	304.0	0.0	V	2256	1980	273	1674	17061474	15977616	0.0635	0.5376	0.5064	-0.0067	3.536	0.0926	1.680	0.1133	1156	216.7	1.441	0.0051	0.0584
