metric	class	key	how	detail	geometry
is_stm	tp_new	029107_5/26	CAND mid-point-trk->accepted	ks1 0.058->0.059, ratio1 1.009->1.004, res_length 19.2->12.2; the tagged arm: muon_len 514, bits STM, michel 1 conn 1 ke 34.2	
is_stm	tp_new	029107_5/98	CAND left-charge->accepted	ks1 nan->0.016, ratio1 nan->0.913, res_length nan->0.0; the tagged arm: muon_len 476, bits STM, michel 0 conn 0 ke 0.0	
is_stm	tp_new	029107_6/122	BITS +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 0; ks=-0.0125 plateau/mip=1.08 plateau_edge=0.478 ke-topo_min=-0.91 len-topo_min=1.17 | B ks=-0.0529 plateau/mip=1.02 plateau_edge=0.424 ke-topo_min=-0.988 len-topo_min=1.89	|d tagger_stop| 0.4 cm, |d stop| 0.7, muon_len 77->76, plateau_med B/A 0.950, ks margin A -0.013 B -0.053, plateau/mip A 1.08 B 1.02
is_stm	fp_new	028084_15/50	BITS +- -no_bragg	A no_bragg -> B STM; topo_cleared A 0 B 0; ks=-0.00893 plateau/mip=0.685 plateau_edge=0.085 | B ks=-0.00289 plateau/mip=0.786 plateau_edge=0.186	|d tagger_stop| 0.0 cm, |d stop| 0.6, muon_len 248->243, plateau_med B/A 1.147, ks margin A -0.009 B -0.003, plateau/mip A 0.69 B 0.79
is_stm	fp_new	029107_11/74	BITS +- -continuation	A continuation -> B STM; topo_cleared A 0 B 0; ks=-0.143 plateau/mip=0.86 plateau_edge=0.26 | B ks=-0.169 plateau/mip=0.835 plateau_edge=0.235 ke-topo_min=13.9 len-topo_min=3.53	|d tagger_stop| 0.0 cm, |d stop| 1.4, muon_len 17->18, plateau_med B/A 0.971, ks margin A -0.143 B -0.169, plateau/mip A 0.86 B 0.83
is_stm	fp_new	029107_2/39	BITS +- -no_bragg|shape_flat	A no_bragg|shape_flat -> B STM; topo_cleared A 0 B 0; ks=0.0089 plateau/mip=0.96 plateau_edge=0.36 | B ks=-0.167 plateau/mip=1.37 plateau_edge=0.231 ke-topo_min=14.5 len-topo_min=7.65	|d tagger_stop| 41.0 cm, |d stop| 32.7, muon_len 29->37, plateau_med B/A 1.425, ks margin A +0.009 B -0.167, plateau/mip A 0.96 B 1.37
is_stm	fp_gone	028084_22/3	CAND accepted->left-charge	ks1 0.059->nan, ratio1 1.738->nan, res_length 13.6->nan; the tagged arm: muon_len 171, bits STM, michel 1 conn 1 ke 5.3	
is_stm	fp_gone	029107_22/22	BITS +profile_sparse --	A STM -> B profile_sparse; topo_cleared A 0 B 0; ks=-0.107 plateau/mip=1.17 plateau_edge=0.434 | B ks=-0.108 plateau/mip=1.01 plateau_edge=0.409	|d tagger_stop| 0.5 cm, |d stop| 0.5, muon_len 12->13, plateau_med B/A 0.865, ks margin A -0.107 B -0.108, plateau/mip A 1.17 B 1.01
michel_found	tp_lost	028084_0/36	CAND accepted->eval-failed	ks1 0.021->0.072, ratio1 0.980->0.982, res_length 9.0->11.2; the tagged arm: muon_len 253, bits STM, michel 1 conn 1 ke 30.0	
michel_found	tp_lost	028084_21/132	MICHEL conn 1->0	ke 20.3->0.0 MeV, len 5.4->0.0 cm, dis 0.0->-1.0, mip 1.36->0.00, kink 44->-1, n_stop_arms 1->1, veto 0/0->0/0, retreat/split 0/0->0/0; ks=-0.185 plateau/mip=1.08 plateau_edge=0.479 ke-topo_min=15.3 len-topo_min=3.91	|d tagger_stop| 3.4 cm, |d stop| 2.8, muon_len 191->192, plateau_med B/A 1.013, ks margin A -0.185 B -0.191, plateau/mip A 1.08 B 1.09
