spot	arm	pass	seed_p90	seed_max	fit1_p90	fit1_max	fit2_p90	final_p90	final_max	solve_recovered	undone_revert	undone_skip
h1	d111hA0	0	1.50	1.92	0.56	0.73	0.46	0.46	0.57	7	0	0
h1	d111hK	0	1.63	1.91	0.55	0.80	0.39	0.37	0.55	7	0	0
h1	d111hS	0	1.85	1.97	1.79	1.86	1.60	1.60	1.79	9	5	1
h1	d111hA1	0	1.63	1.97	1.63	1.86	1.58	1.54	1.77	6	5	0
h2	d111hA0	0	1.24	1.72	0.51	0.78	0.40	0.40	0.66	9	0	1
h2	d111hK	0	1.25	1.77	0.51	0.76	0.41	0.41	0.70	9	0	0
h2	d111hS	0	0.57	0.69	0.48	0.60	0.45	0.45	0.62	0	0	0
h2	d111hA1	0	1.40	2.25	1.23	2.28	1.26	1.26	2.54	7	1	3
v1	d111vA0	0	1.71	2.13	1.85	2.13	1.57	1.57	2.11	15	0	1
v1	d111vK	0	1.85	2.12	1.91	2.12	1.68	1.68	2.11	14	2	1
v1	d111vS	0	0.54	0.72	0.41	0.67	0.37	0.37	0.67	1	0	0
v1	d111vA1	0	0.57	0.72	0.39	0.53	0.34	0.35	0.53	1	0	0
v2	d111vA0	0	1.22	1.81	1.41	2.43	1.43	1.43	2.45	6	1	1
v2	d111vK	0	1.50	1.81	1.77	2.74	1.63	1.63	3.36	5	1	0
v2	d111vS	0	0.61	0.86	0.42	0.90	0.35	0.36	0.90	0	0	0
v2	d111vA1	0	0.82	1.05	0.57	1.12	0.60	0.60	1.27	0	0	0
v3	d111vA0	0	1.26	1.55	0.83	1.30	0.77	0.77	1.64	12	0	0
v3	d111vK	0	1.26	1.55	0.84	1.30	0.67	0.69	1.73	12	0	0
v3	d111vS	0	0.98	1.48	0.42	0.48	0.39	0.39	0.81	10	0	0
v3	d111vA1	0	0.96	1.48	0.46	0.63	0.37	0.37	0.91	10	0	0
