sel	plane	n	q_tot	tail_t2p	frac_zero_t2p	frac_over10pct_t2p	top1_t2p	top5_t2p	top10_t2p	tail_t3	frac_zero_t3	frac_over10pct_t3	top1_t3	top5_t3	top10_t3	top1_q	top5_q	top10_q	r1_t2p	r5_t2p	r1_t3	r5_t3	dec0_q	dec0_t2p	dec1_q	dec1_t2p	dec2_q	dec2_t2p	dec3_q	dec3_t2p	dec4_q	dec4_t2p	dec5_q	dec5_t2p	dec6_q	dec6_t2p	dec7_q	dec7_t2p	dec8_q	dec8_t2p	dec9_q	dec9_t2p	slope_t2p	dec_lo_t2p	dec_mid_t2p	dec_hi_t2p	tail_from_hidec_t2p	tail_from_lodec_t2p	dec0_t3	dec1_t3	dec2_t3	dec3_t3	dec4_t3	dec5_t3	dec6_t3	dec7_t3	dec8_t3	dec9_t3	slope_t3	dec_lo_t3	dec_mid_t3	dec_hi_t3	tail_from_hidec_t3	tail_from_lodec_t3
ctpc	U	1284	3.78459e+07	0.0166078	0.842679	0.0334891	0.554274	0.895402	0.983143	0.00359146	0.964953	0.0046729	0.857676	1	1	0.0521346	0.166006	0.269971	10.6316	5.39378	16.4512	6.02386	14537	0.0103581	17383	0.00106917	18650	0.00101524	20138	0.00585427	21807.5	0.00589022	23495.5	0.00793921	26173	0.00796588	30723.5	0.0200031	43400	0.0124945	69745.5	0.0367047	1.68732	0.0103581	0.00691471	0.0367047	0.596658	0.0271153	0.00100706	0.000333247	9.62551e-05	0.000804274	0.00196353	0	0.000279657	0.0041744	0.0019092	0.00954745	2.00059	0.00100706	0.000981763	0.00954745	0.717684	0.0121908
ctpc	V	1083	4.29583e+07	0.0146967	0.829178	0.0286242	0.556059	0.926624	0.985911	0.00228363	0.967682	0.00831025	0.85254	1	1	0.0372561	0.132753	0.225447	14.9253	6.98008	22.8833	7.53281	15390	0.00842776	18682	0.00857378	21229	0.00150187	23579.5	0.0038386	28123.5	0.00361918	36211.5	0.0224381	46889	0.0184125	55673	0.00687786	62416	0.00712738	82065.5	0.0315684	0.877299	0.00842776	0.0130286	0.0315684	0.484257	0.0199795	0.00368673	0.00280373	0	0.000957795	0.000659217	0.00305445	0.00333735	0.00158205	7.66607e-06	0.00453545	-0.972124	0.00368673	0.00185683	0.00453545	0.447753	0.0562482
ctpc	W	674	1.4632e+07	0.0338106	0.511869	0.0459941	0.476514	0.795735	0.876594	0.0025052	0.965875	0.00296736	0.836916	1	1	0.0408743	0.137027	0.221771	11.658	5.80716	20.4753	7.29786	12773.5	0.00938998	14270.5	0.0117547	15393.5	0.0185951	16963	0.00891235	18373	0.005687	19791	0.00692336	20855	0.0158128	22968	0.0218461	27912	0.0303951	41435	0.0973791	1.91284	0.00938998	0.00630518	0.0973791	0.63873	0.0154695	0	0	0	8.70261e-06	6.00597e-05	0.000817624	0.00297841	0.00380826	0.00174402	0.00681737	5.78728	0	0.000438842	0.00681737	0.603503	0
sp	U	1284	3.13877e+07	0.0247505	0.594237	0.0482866	0.31351	0.662984	0.816898	0.00569803	0.929907	0.00856698	0.524602	0.971613	1	0.0499881	0.162368	0.253766	6.27169	4.08322	10.4945	5.98402	11224	0.0149194	14617	0.012569	16258	0.00523612	17673	0.00864534	19159.5	0.0113392	20803.5	0.0182226	23351.5	0.015802	27258.5	0.017033	33033.5	0.0213884	52466.5	0.0538063	1.04598	0.0149194	0.0147809	0.0538063	0.551673	0.0233323	0.000985246	0.00144344	0.000567008	0.00178482	0.000474501	0.00255766	0.00098282	0.00461442	0.00586973	0.0147286	2.00546	0.000985246	0.00151608	0.0147286	0.655948	0.00669283
sp	V	1083	2.62076e+07	0.0283406	0.644506	0.0452447	0.511165	0.815853	0.910531	0.00498748	0.949215	0.00923361	0.765703	0.999985	1	0.0406364	0.133751	0.21847	12.579	6.09978	18.8428	7.47645	7504	0.0293692	14337	0.00539393	16587	0.00683912	18961.5	0.00596724	21283.5	0.00617116	23589	0.0170029	25978.5	0.0131337	28306	0.0302667	32863.5	0.0174203	46429.5	0.0763773	0.679535	0.0293692	0.011587	0.0763773	0.588771	0.0309462	0.00573968	0.000156065	0.000545455	0	0	0.00173972	0.00293777	0.00407991	0.00220748	0.0160499	0.967914	0.00573968	0.000869859	0.0160499	0.703045	0.0343662
sp	W	674	1.45928e+07	0.0348549	0.508902	0.0489614	0.463476	0.792521	0.875898	0.00290137	0.959941	0.00445104	0.782163	1	1	0.0409841	0.137394	0.221983	11.3087	5.76822	19.0845	7.27832	12761	0.00773056	14197	0.0128999	15395.5	0.0228974	16935	0.00556934	18356	0.00561924	19761	0.00687487	20775	0.0158331	22997	0.0306304	27835	0.0289023	41434	0.098604	2.02086	0.00773056	0.00624705	0.098604	0.627985	0.012225	0	0	0	8.69123e-06	0	0.000820043	0.00307751	0.00704061	0.00140339	0.00723141	5.14199	0	0.000410022	0.00723141	0.553272	0
rawdecon	U	1260	2.9421e+08	0.253526	0.306349	0.55873	0.171403	0.357461	0.497619	0.068186	0.643651	0.183333	0.290014	0.565672	0.736663	0.0796872	0.203787	0.312921	2.15095	1.75409	3.6394	2.77579	19138.4	0.0733809	52640.4	0.189934	88161.1	0.167953	126090	0.214412	165980	0.181417	199036	0.210518	249826	0.203673	303782	0.193196	393741	0.239115	571852	0.358349	0.341255	0.0733809	0.195967	0.358349	0.442301	0.00237738	0.0255043	0.0900898	0.0682637	0.0732311	0.0573848	0.071963	0.0466801	0.0389862	0.0399627	0.103057	0.128421	0.0255043	0.0646739	0.103057	0.472951	0.00307225
rawdecon	V	1053	1.39986e+08	0.420543	0.20133	0.705603	0.130401	0.400858	0.568639	0.157701	0.412156	0.404558	0.180536	0.511619	0.680229	0.100492	0.318581	0.473144	1.29763	1.25826	1.79653	1.60593	12999.8	0.11144	28534	0.231453	40044.5	0.192135	53556.9	0.339708	67213.9	0.338583	82476.7	0.3743	100286	0.393786	125300	0.423489	180434	0.404547	555182	0.480112	0.382198	0.11144	0.356441	0.480112	0.540163	0.00249923	0.0345438	0.0684909	0.0799517	0.0897564	0.112535	0.132534	0.115066	0.126515	0.153969	0.197237	0.447182	0.0345438	0.122535	0.197237	0.591762	0.00206592
rawdecon	W	671	4.68106e+07	0.323309	0.222057	0.621461	0.0632338	0.22151	0.368937	0.138663	0.445604	0.375559	0.0819493	0.285444	0.463724	0.0308213	0.120208	0.209799	2.05163	1.84272	2.65886	2.37458	19287.9	0.170279	31295.4	0.258299	41825	0.293662	53266	0.345598	61719	0.276907	69350.4	0.264178	80021.8	0.248787	91911.3	0.438422	105914	0.333011	135473	0.364284	0.331064	0.170279	0.270543	0.364284	0.236389	0.0125966	0.0500928	0.0947574	0.123889	0.140491	0.0968502	0.117273	0.109709	0.185919	0.148751	0.168195	0.531696	0.0500928	0.107062	0.168195	0.254482	0.0086403
rawdecon_abs	U	1260	5.31172e+08	0.522738	0	0.999206	0.049197	0.15138	0.250447	0.228056	0	0.840476	0.0545388	0.17242	0.286963	0.0465839	0.136888	0.22229	1.0561	1.10587	1.17076	1.25957	174748	0.505908	229976	0.548432	267058	0.522681	308402	0.512019	349016	0.499027	396333	0.496171	446582	0.517654	507102	0.528496	602784	0.519271	789319	0.544602	0.0181872	0.505908	0.497599	0.544602	0.231588	0.0382922	0.206918	0.217474	0.249867	0.214903	0.213907	0.208751	0.221086	0.22846	0.235554	0.244195	0.0727751	0.206918	0.211329	0.244195	0.238021	0.0358989
rawdecon_abs	V	1053	2.29952e+08	0.508531	0	0.997151	0.0661781	0.219144	0.349853	0.212273	0.014245	0.803419	0.08166	0.267568	0.402121	0.0611755	0.202676	0.328221	1.08177	1.08125	1.33485	1.32018	73844.9	0.480476	95075.8	0.505369	111194	0.520525	123302	0.5267	137007	0.50156	150660	0.489601	171007	0.501158	211884	0.493113	392884	0.518214	643800	0.513334	0.014882	0.480476	0.49558	0.513334	0.331321	0.0306886	0.177365	0.22354	0.197164	0.207064	0.209954	0.202608	0.196238	0.203619	0.210853	0.227195	0.0612319	0.177365	0.206281	0.227195	0.351294	0.0271391
