plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.257673	0.226117	0.176522	0.0614919	0.796688	0.192944	0.00907948	0.00128845	0.78197	0.218023	7.89772e-06	4.12369e-16	0.863489	0.136511	0	0	0.806162	0.193838	6.18776e-07	0	0.0501563	0.0207346	0.133603	0.01036	0.0475182	0.798043	0.190476	0.00830678	0.00317434
V	0.339309	0.244658	0.178281	0.0614919	0.775961	0.205092	0.0165376	0.00241005	0.719758	0.27988	0.000362237	2.67226e-10	0.861144	0.138856	0	0	0.79194	0.208057	3.0803e-06	1.23358e-17	0.149576	0.0378892	0.170366	0.0185854	0.066405	0.740811	0.234728	0.0184087	0.006052
W	0.288147	0.257045	0.263267	0.184476	0.786341	0.207002	0.00665644	0	0.757382	0.242562	5.62636e-05	4.55751e-13	0.779086	0.220914	0	0	0.780974	0.219016	1.03107e-05	1.05524e-15	0.0711187	0.0240271	0.0278225	0.00660017	0.0272103	0.786535	0.206516	0.00694874	0
