sel	plane	n	q_tot	tail_t2p	frac_zero_t2p	frac_over10pct_t2p	top1_t2p	top5_t2p	top10_t2p	tail_t3	frac_zero_t3	frac_over10pct_t3	top1_t3	top5_t3	top10_t3	top1_q	top5_q	top10_q	r1_t2p	r5_t2p	r1_t3	r5_t3	dec0_q	dec0_t2p	dec1_q	dec1_t2p	dec2_q	dec2_t2p	dec3_q	dec3_t2p	dec4_q	dec4_t2p	dec5_q	dec5_t2p	dec6_q	dec6_t2p	dec7_q	dec7_t2p	dec8_q	dec8_t2p	dec9_q	dec9_t2p	slope_t2p	dec_lo_t2p	dec_mid_t2p	dec_hi_t2p	tail_from_hidec_t2p	tail_from_lodec_t2p	dec0_t3	dec1_t3	dec2_t3	dec3_t3	dec4_t3	dec5_t3	dec6_t3	dec7_t3	dec8_t3	dec9_t3	slope_t3	dec_lo_t3	dec_mid_t3	dec_hi_t3	tail_from_hidec_t3	tail_from_lodec_t3
S0v3_splat	U	5778	9.28685e+07	0.00131747	0.578401	0	0.122976	0.432646	0.666959	0	1	0	nan	nan	nan	0.01004	0.0500237	0.100046	12.2486	8.64883	nan	nan	16071.3	0.00485146	16071.7	0.00232296	16072	0.0012531	16072.3	0.000700126	16072.6	0.000763866	16072.8	0.000468535	16073.1	0.000727582	16073.4	0.00105077	16073.9	0.000695833	16074.4	0.000338279	-10233.2	0.00485146	0.000616201	0.000338279	0.0256437	0.368333	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	V	5777	9.28524e+07	0.00128808	0.576943	0	0.116071	0.425939	0.662229	0	1	0	nan	nan	nan	0.0100417	0.0500323	0.100063	11.5589	8.51327	nan	nan	16071.3	0.00457721	16071.7	0.00222561	16072	0.00117389	16072.3	0.000712556	16072.6	0.000947351	16072.8	0.000394863	16073.1	0.00086147	16073.4	0.000858059	16073.9	0.000702716	16074.4	0.000424324	-9405.32	0.00457721	0.000671107	0.000424324	0.0329061	0.355503	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	W	5827	9.36561e+07	0.00157681	0.450489	0	0.108028	0.421392	0.639985	0	1	0	nan	nan	nan	0.00995554	0.0499462	0.100063	10.8511	8.43692	nan	nan	16071.3	0.00519919	16071.7	0.00281137	16072	0.00150714	16072.3	0.0010564	16072.6	0.00116367	16072.9	0.000587506	16073.1	0.00100988	16073.4	0.00108374	16073.9	0.000832223	16074.4	0.000513657	-9686.68	0.00519919	0.000875586	0.000513657	0.0325402	0.329867	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1_gauss	U	5870	9.87731e+07	0.0257414	0.226917	0.0182283	0.0516217	0.203385	0.351628	0.000170471	0.972402	0	0.845884	1	1	0.0124676	0.05857	0.113915	4.14047	3.47251	67.8466	17.0736	14781	0.0221475	15559	0.0203324	15992	0.0206212	16329	0.0209488	16650	0.023892	16942	0.0245959	17260	0.0262869	17630	0.0282869	18110	0.0291594	18959	0.037779	2.34691	0.0221475	0.0242439	0.037779	0.167186	0.0747905	0.000113789	0.000133152	7.15959e-05	6.23947e-05	6.78447e-05	0.000111888	0.000230883	0.000217089	0.000338603	0.000303241	5.8274	0.000113789	8.98665e-05	0.000303241	0.202637	0.0580235
S1_gauss	V	5870	9.86677e+07	0.0219538	0.38092	0.0289608	0.0707755	0.267715	0.448085	0.000265568	0.985009	0.000681431	0.982559	1	1	0.0131198	0.0621454	0.120555	5.39454	4.30789	74.891	16.0913	13594	0.0152683	14710	0.0184604	15397	0.01785	16027	0.0188155	16548	0.021368	17086	0.0208753	17619	0.0242393	18190	0.0211469	18893	0.0250124	20051	0.0317567	1.62346	0.0152683	0.0211217	0.0317567	0.174386	0.0552192	0.000153688	0.000103555	0.000163518	0.000162007	0.000326062	6.849e-05	0.000126456	8.75406e-05	0.000492437	0.000801857	3.20252	0.000153688	0.000197276	0.000801857	0.364004	0.0459489
S1_gauss	W	5870	9.55453e+07	0.00465445	0.387734	0	0.0744888	0.274333	0.455795	0	1	0	nan	nan	nan	0.0109441	0.0533778	0.105443	6.80631	5.13946	nan	nan	15530	0.00291858	15811	0.0036714	15965	0.00441238	16092	0.00484506	16202	0.00492063	16308	0.00524071	16430	0.00503217	16572	0.00530126	16757	0.00549012	17099	0.00456058	4.97837	0.00291858	0.00508067	0.00456058	0.103317	0.059614	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1n05_gauss	U	5870	9.73881e+07	0.0194812	0.2046	0.00136286	0.047329	0.187736	0.325892	0.000340812	0.89983	0	0.419361	0.911633	0.99997	0.0112266	0.0546226	0.1076	4.21579	3.43696	37.3543	16.6897	15478	0.0166127	15892	0.0178669	16131	0.0172122	16316	0.0184742	16484	0.0178215	16661	0.0190289	16830	0.0206883	17034	0.0226039	17311	0.0215822	17757	0.0221609	2.47661	0.0166127	0.0184252	0.0221609	0.122401	0.0791606	0.000271005	0.000256112	0.000202506	0.000350626	0.0002472	0.000326555	0.000392941	0.000592021	0.000354051	0.000390402	4.71611	0.000271005	0.000286877	0.000390402	0.123256	0.0738152
S1n05_gauss	V	5870	9.72657e+07	0.0163606	0.316525	0.0032368	0.0627558	0.234728	0.395835	9.63444e-05	0.97155	0	0.7965	1	1	0.0117518	0.056497	0.110812	5.34009	4.1547	67.7767	17.7001	14937	0.0135891	15534	0.0157461	15870	0.0145633	16177	0.0143262	16437	0.0146214	16694	0.0153084	16944	0.0155184	17241	0.0175175	17623	0.0193268	18211	0.0218218	2.14029	0.0135891	0.0149649	0.0218218	0.1478	0.0743209	7.90514e-05	7.58394e-05	6.91042e-05	0.000132716	6.21859e-05	9.02216e-05	6.04206e-05	4.49516e-05	0.00018677	0.000149933	2.65442	7.90514e-05	7.62038e-05	0.000149933	0.172447	0.073418
S1n05_gauss	W	5870	9.53157e+07	0.00308621	0.41431	0	0.0862614	0.306312	0.494231	2.01436e-06	0.998978	0	1	1	1	0.0108308	0.0529522	0.104513	7.96444	5.78469	92.3291	18.885	15683	0.0027037	15923	0.00330207	16025	0.00374095	16108	0.0042864	16176	0.00357592	16246	0.00353597	16324	0.00306905	16412	0.00310456	16556	0.00262841	16906	0.00102703	-12.5371	0.0027037	0.00355594	0.00102703	0.0347799	0.0843577	0	2.24747e-06	0	6.66328e-06	0	0	2.81775e-06	8.40613e-06	0	0	25.5687	0	0	0	0	0
S1n2_gauss	U	5210	8.13016e+07	0.0215053	0.488868	0.0389635	0.0940949	0.32551	0.526545	0.000417138	0.991363	0.00134357	1	1	1	0.0147457	0.0680812	0.131251	6.38116	4.78119	67.8162	14.6883	8436	0.00691797	12676	0.0115699	14046	0.0138483	14970	0.0153636	15804	0.0198447	16511	0.0201522	17207	0.0218797	17887	0.0230139	18745	0.028346	20155	0.0373463	1.86649	0.00691797	0.0199984	0.0373463	0.227932	0.0159419	3.64848e-05	0.000111269	5.88452e-05	0.000509339	0.000702385	0.000188083	0.000233476	0.000728249	6.84603e-05	0.00109363	3.06579	3.64848e-05	0.000445234	0.00109363	0.344106	0.00433449
