tag	est	plane	window	n_bins	sig_mean_mm	sig_err_mm	q_frac	c_fit_mm	DT_fit_cm2s	chi2_ndf	sig_artefact_old_mm	sig_artefact_true_mm
sbnd data	share	U	full	6	1.57866	0.0770314	1	1.3669	6.27195	0.847586	1.55829	1.56361
sbnd data	share	U	q1	6	1.22247	0.0723986	0.2212	0.591328	7.49269	2.23368	1.79155	1.56361
sbnd data	share	U	q2	6	1.69272	0.0896149	0.280942	1.14945	12.8755	2.79886	1.34393	1.56361
sbnd data	share	U	q3	6	1.64932	0.25771	0.250518	1.39968	6.0686	1.10954	1.34393	1.56361
sbnd data	share	U	q4	6	1.64004	0.0945119	0.247341	1.05096	8.01927	2.70334	1.79155	1.56361
sbnd data	share	U	centre	6	1.66631	0.0690236	0.531459	1.40646	7.09816	2.49964	1.34393	1.56361
sbnd data	share	U	edge	6	1.44474	0.0755062	0.468541	0.929996	6.3179	6.94935	1.79155	1.56361
sbnd data	share	V	full	6	1.60285	0.707812	1	1.35445	6.27195	0.847586	1.55933	1.57381
sbnd data	share	V	q1	6	1.36166	0.0905797	0.218826	0.902085	7.49269	2.23368	1.79438	1.57381
sbnd data	share	V	q2	6	1.65334	0.039026	0.25925	1.12287	12.8755	2.79886	1.34367	1.57381
sbnd data	share	V	q3	6	1.76134	0.0660124	0.284265	1.47208	6.0686	1.10954	1.34367	1.57381
sbnd data	share	V	q4	6	1.50777	0.0705824	0.23766	1.13228	8.01927	2.70334	1.79438	1.57381
sbnd data	share	V	centre	6	1.7091	0.0601805	0.543515	1.4176	7.09816	2.49964	1.34367	1.57381
sbnd data	share	V	edge	6	1.42971	0.115288	0.456486	1.19405	6.3179	6.94935	1.79438	1.57381
sbnd data	share	W	full	6	1.01005	0.155266	1	0.466959	6.27195	0.847586	0.866726	0.882007
sbnd data	share	W	q1	6	1.12742	0.0677239	0.110101	0.760162	7.49269	2.23368	1.29092	0.882007
sbnd data	share	W	q2	6	1.06209	0.062365	0.355109	-0.30736	12.8755	2.79886	0.434713	0.882007
sbnd data	share	W	q3	6	1.01678	0.134384	0.362698	0.749354	6.0686	1.10954	0.434713	0.882007
sbnd data	share	W	q4	6	1.877	0.809431	0.172093	0.56526	8.01927	2.70334	1.29092	0.882007
sbnd data	share	W	centre	6	1.04004	0.0540395	0.717807	0.632872	7.09816	2.49964	0.434713	0.882007
sbnd data	share	W	edge	6	1.43579	0.316162	0.282194	0.749326	6.3179	6.94935	1.29092	0.882007
