key	in_A0	in_A1	A0_is_stm	A0_michel	A1_is_stm	A1_michel
028084_1/31	0	1	-	-	0	1
028084_12/1	1	1	0	0	0	0
028084_17/122	0	1	-	-	1	1
028084_17/26	0	1	-	-	0	0
028084_21/20	1	1	0	0	0	0
028084_24/66	0	1	-	-	0	0
028084_25/98	0	1	-	-	0	0
028084_3/49	1	1	0	0	0	0
028084_30/107	1	1	0	0	0	0
028084_5/136	0	1	-	-	1	1
028084_7/109	1	1	0	1	0	1
028084_7/21	1	1	0	0	0	0
028084_7/8	1	1	0	0	0	0
028084_8/109	1	1	0	0	0	0
028084_8/39	1	1	0	0	0	0
028084_9/120	1	1	0	0	0	0
029107_0/17	1	1	0	0	0	0
029107_12/19	1	1	0	0	0	0
029107_13/32	1	1	0	0	0	0
029107_15/120	0	1	-	-	0	1
029107_16/1	1	1	0	0	0	0
029107_16/15	1	1	0	0	0	0
029107_16/32	0	1	-	-	0	0
029107_18/138	0	1	-	-	0	1
029107_18/68	0	1	-	-	0	1
029107_2/11	1	1	0	0	0	0
029107_2/117	1	1	0	0	0	0
029107_23/101	0	1	-	-	0	0
029107_25/23	0	1	-	-	0	0
029107_25/9	1	0	0	0	-	-
029107_28/42	0	1	-	-	1	1
029107_3/26	0	1	-	-	0	1
029107_5/107	1	1	0	0	0	0
029107_7/28	0	1	-	-	1	0
029107_8/22	1	0	0	0	-	-
029107_8/52	0	1	-	-	0	0
