label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	194.461	1073	1.1232e+08	4.24945	2.27652	3.24692	16.241	1.75187	23.4178	1.45519e-11	0	0.452414
all	rms	U	1	512.211	974	1.1246e+08	4.26106	2.54355	3.30635	16.3398	1.52051	22.619	1.45519e-11	0	0.444484
all	rms	U	2	797.186	949	1.12244e+08	4.32095	2.6621	3.35876	16.8537	1.5596	22.8651	1.45519e-11	0	0.436027
all	rms	U	3	1107.19	929	1.1249e+08	4.22181	2.75319	3.41486	16.0068	1.33028	21.9049	1.45519e-11	0	0.435724
all	rms	U	4	1508.08	928	1.12528e+08	4.53747	2.99301	3.48607	18.7718	2.14283	23.7833	1.45519e-11	0	0.424463
all	rms	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	3.56678	17.6311	1.37335	22.4996	1.45519e-11	0	0.422813
all	share	U	0	194.461	1073	1.1232e+08	4.24945	2.27652	3.24692	12.9932	1.104	23.4178	1.45519e-11	0	0.452414
all	share	U	1	512.211	974	1.1246e+08	4.26106	2.54355	3.30635	13.6091	1.105	22.619	1.45519e-11	0	0.444484
all	share	U	2	797.186	949	1.12244e+08	4.32095	2.6621	3.35876	14.3028	1.20944	22.8651	1.45519e-11	0	0.436027
all	share	U	3	1107.19	929	1.1249e+08	4.22181	2.75319	3.41486	14.3284	1.08809	21.9049	1.45519e-11	0	0.435724
all	share	U	4	1508.08	928	1.12528e+08	4.53747	2.99301	3.48607	15.3185	1.59266	23.7833	1.45519e-11	0	0.424463
all	share	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	3.56678	15.4702	1.03289	22.4996	1.45519e-11	0	0.422813
all	rms	V	0	201.556	904	9.66376e+07	4.00474	2.73958	2.76209	14.221	1.60838	16.1618	1.45519e-11	0	0.50374
all	rms	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.84862	15.4108	1.62011	16.08	1.45519e-11	0	0.481473
all	rms	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.94005	15.2091	1.78649	16.5517	1.45519e-11	0	0.474235
all	rms	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.9955	15.3591	2.00675	16.7334	1.45519e-11	0	0.473937
all	rms	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	3.05357	12.4213	1.13713	14.5419	1.45519e-11	0	0.489177
all	rms	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	3.1219	15.0998	1.62059	15.9341	1.45519e-11	0	0.460664
all	share	V	0	201.556	904	9.66376e+07	4.00474	2.73958	2.76209	9.67509	1.10611	16.1618	1.45519e-11	0	0.50374
all	share	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.84862	10.987	1.41331	16.08	1.45519e-11	0	0.481473
all	share	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.94005	11.4529	1.3878	16.5517	1.45519e-11	0	0.474235
all	share	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.9955	11.4726	1.44802	16.7334	1.45519e-11	0	0.473937
all	share	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	3.05357	10.5132	1.1778	14.5419	1.45519e-11	0	0.489177
all	share	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	3.1219	12.3855	1.12512	15.9341	1.45519e-11	0	0.460664
all	rms	W	0	202.444	1347	6.0907e+07	4.34195	1.36385	1.54265	16.939	4.06776	19.3722	1.45519e-11	0	0.611425
all	rms	W	1	549.415	1055	6.11348e+07	2.64119	1.48317	1.67484	5.0485	2.01657	7.58119	1.45519e-11	0	0.75324
all	rms	W	2	831.666	1222	6.11066e+07	3.38398	1.81416	1.77512	9.53721	2.52327	11.3112	1.45519e-11	0	0.672575
all	rms	W	3	1151.94	1309	6.1012e+07	4.40367	2.21334	1.88246	17.4787	4.00148	18.0371	1.45519e-11	0	0.538871
all	rms	W	4	1557.44	1232	6.10101e+07	4.05868	2.31998	2.01015	14.5593	3.60611	15.1313	1.45519e-11	0	0.557784
all	rms	W	5	1967.35	1277	6.11315e+07	3.70674	2.47001	2.13147	11.8262	2.80378	12.1822	1.45519e-11	0	0.599434
all	share	W	0	202.444	1347	6.0907e+07	4.34195	1.36385	1.54265	5.45538	1.84971	19.3722	1.45519e-11	0	0.611425
all	share	W	1	549.415	1055	6.11348e+07	2.64119	1.48317	1.67484	1.96772	0.581467	7.58119	1.45519e-11	0	0.75324
all	share	W	2	831.666	1222	6.11066e+07	3.38398	1.81416	1.77512	3.68702	0.838236	11.3112	1.45519e-11	0	0.672575
all	share	W	3	1151.94	1309	6.1012e+07	4.40367	2.21334	1.88246	8.34132	2.56789	18.0371	1.45519e-11	0	0.538871
all	share	W	4	1557.44	1232	6.10101e+07	4.05868	2.31998	2.01015	7.48367	2.39686	15.1313	1.45519e-11	0	0.557784
all	share	W	5	1967.35	1277	6.11315e+07	3.70674	2.47001	2.13147	5.86384	1.21714	12.1822	1.45519e-11	0	0.599434
apa:apa0	rms	U	0	138.311	234	2.26505e+07	4.63651	2.13114	3.2363	19.6803	3.74683	27.4291	1.45519e-11	0	0.423619
apa:apa0	rms	U	1	414.081	207	2.28365e+07	4.19733	2.31489	3.28811	15.8007	4.94215	23.0706	1.45519e-11	0	0.449207
apa:apa0	rms	U	2	782.152	217	2.28328e+07	4.02819	2.40684	3.35602	14.4095	5.98007	21.6963	1.45519e-11	0	0.457767
apa:apa0	rms	U	3	1096.73	194	2.25736e+07	4.58324	2.61885	3.41299	19.1893	2.73754	25.7962	1.45519e-11	0	0.430258
apa:apa0	rms	U	4	1356.87	208	2.30074e+07	4.77657	2.93309	3.45939	20.9988	2.99963	26.1799	1.45519e-11	0	0.408786
apa:apa0	rms	U	5	1832.09	195	2.27824e+07	4.88356	3.38289	3.54258	22.0323	2.56958	24.9551	1.45519e-11	0	0.397079
apa:apa0	share	U	0	138.311	234	2.26505e+07	4.63651	2.13114	3.2363	15.3958	2.44619	27.4291	1.45519e-11	0	0.423619
apa:apa0	share	U	1	414.081	207	2.28365e+07	4.19733	2.31489	3.28811	13.2384	3.76064	23.0706	1.45519e-11	0	0.449207
apa:apa0	share	U	2	782.152	217	2.28328e+07	4.02819	2.40684	3.35602	12.5952	3.4719	21.6963	1.45519e-11	0	0.457767
apa:apa0	share	U	3	1096.73	194	2.25736e+07	4.58324	2.61885	3.41299	14.7994	1.7022	25.7962	1.45519e-11	0	0.430258
apa:apa0	share	U	4	1356.87	208	2.30074e+07	4.77657	2.93309	3.45939	16.834	2.05682	26.1799	1.45519e-11	0	0.408786
apa:apa0	share	U	5	1832.09	195	2.27824e+07	4.88356	3.38289	3.54258	18.0835	1.95783	24.9551	1.45519e-11	0	0.397079
apa:apa0	rms	V	0	168.378	213	2.39795e+07	4.11711	3.27809	2.75472	13.7598	2.33482	13.7932	0.822565	0	0.538014
apa:apa0	rms	V	1	623.275	213	2.39714e+07	4.30601	3.33755	2.85414	15.5152	4.01184	15.5486	0.769292	0	0.539164
apa:apa0	rms	V	2	1082.34	159	2.40008e+07	4.12679	3.48927	2.95107	13.5302	1.99515	13.5642	0.915559	0	0.529198
apa:apa0	rms	V	3	1295.46	148	2.39344e+07	3.99991	3.33272	2.99501	13.8306	2.05253	13.8623	0.393604	0	0.544253
apa:apa0	rms	V	4	1565.47	193	2.40118e+07	3.87852	3.38976	3.04976	12.8205	2.95821	12.8535	0.427385	0	0.534003
apa:apa0	rms	V	5	1916.87	158	2.41076e+07	4.58486	3.91755	3.11958	15.3715	3.44573	15.4055	1.40476	0	0.476046
apa:apa0	share	V	0	168.378	213	2.39795e+07	4.11711	3.27809	2.75472	6.83093	1.18886	13.7932	0.822565	0	0.538014
apa:apa0	share	V	1	623.275	213	2.39714e+07	4.30601	3.33755	2.85414	6.94993	2.59329	15.5486	0.769292	0	0.539164
apa:apa0	share	V	2	1082.34	159	2.40008e+07	4.12679	3.48927	2.95107	6.91156	1.02202	13.5642	0.915559	0	0.529198
apa:apa0	share	V	3	1295.46	148	2.39344e+07	3.99991	3.33272	2.99501	7.50939	1.96667	13.8623	0.393604	0	0.544253
apa:apa0	share	V	4	1565.47	193	2.40118e+07	3.87852	3.38976	3.04976	7.9368	2.46612	12.8535	0.427385	0	0.534003
apa:apa0	share	V	5	1916.87	158	2.41076e+07	4.58486	3.91755	3.11958	7.36894	2.87214	15.4055	1.40476	0	0.476046
apa:apa0	rms	W	0	119.836	188	1.29879e+07	6.69923	1.57216	1.50947	42.966	3.31561	44.6865	1.45519e-11	0	0.32807
apa:apa0	rms	W	1	369.984	226	1.29896e+07	6.15648	1.90355	1.60783	35.9887	5.8708	36.8639	1.45519e-11	0	0.332662
apa:apa0	rms	W	2	1018.41	215	1.30336e+07	6.76745	2.65219	1.83847	42.0892	3.36672	42.1442	0.921382	0	0.307363
