det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
pdhd	share	U	centre	bin	4	1508.08	1.35946	3.48574	3.28576	3.48574	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	5	1972.47	1.34804	3.56646	3.37186	3.56646	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	old	-1	nan	nan	nan	nan	nan	2.99488	6.07672	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	centre	corrected	-1	nan	nan	nan	nan	nan	3.20963	6.12924	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	edge	bin	0	194.461	1.01532	3.24655	3.50301	3.24655	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	1	512.211	1.18601	3.30599	3.553	3.30599	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	2	797.186	1.21633	3.35841	3.60024	3.35841	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	3	1107.19	1.21201	3.41452	3.6518	3.41452	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	4	1508.08	1.35946	3.48574	3.71316	3.48574	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	5	1972.47	1.34804	3.56646	3.78871	3.56646	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	old	-1	nan	nan	nan	nan	nan	3.46913	5.85269	3.20963	6.12924	0.695297	0.763811
pdhd	share	U	edge	corrected	-1	nan	nan	nan	nan	nan	3.20963	6.12924	3.20963	6.12924	0.695297	0.763811
pdhd	share	V	full	bin	0	201.556	1.08147	2.76202	2.77951	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	1	597.592	1.32321	2.84855	2.86016	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	2	1029.38	1.13916	2.93999	2.9563	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	3	1297.88	1.10698	2.99545	3.01037	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	4	1584.41	0.878093	3.05351	3.069	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	5	1928.66	1.17064	3.12185	3.13633	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	old	-1	nan	nan	nan	nan	nan	2.73343	6.13308	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	full	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q1	bin	0	201.556	1.08147	2.76202	3.06884	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	bin	1	597.592	1.32321	2.84855	3.13329	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	bin	2	1029.38	1.13916	2.93999	3.22457	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	bin	3	1297.88	1.10698	2.99545	3.27389	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	bin	4	1584.41	0.878093	3.05351	3.33099	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	bin	5	1928.66	1.17064	3.12185	3.38655	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	q1	old	-1	nan	nan	nan	nan	nan	3.02612	6.02112	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q1	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q2	bin	0	201.556	1.08147	2.76202	2.50663	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	bin	1	597.592	1.32321	2.84855	2.59836	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	bin	2	1029.38	1.13916	2.93999	2.70281	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	bin	3	1297.88	1.10698	2.99545	2.76193	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	bin	4	1584.41	0.878093	3.05351	2.82479	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	bin	5	1928.66	1.17064	3.12185	2.89969	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	q2	old	-1	nan	nan	nan	nan	nan	2.45577	6.15875	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q2	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q3	bin	0	201.556	1.08147	2.76202	2.50663	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	bin	1	597.592	1.32321	2.84855	2.59836	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	bin	2	1029.38	1.13916	2.93999	2.70281	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	bin	3	1297.88	1.10698	2.99545	2.76193	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	bin	4	1584.41	0.878093	3.05351	2.82479	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	bin	5	1928.66	1.17064	3.12185	2.89969	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	q3	old	-1	nan	nan	nan	nan	nan	2.45577	6.15875	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q3	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q4	bin	0	201.556	1.08147	2.76202	3.06884	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	bin	1	597.592	1.32321	2.84855	3.13329	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	bin	2	1029.38	1.13916	2.93999	3.22457	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	bin	3	1297.88	1.10698	2.99545	3.27389	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	bin	4	1584.41	0.878093	3.05351	3.33099	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	bin	5	1928.66	1.17064	3.12185	3.38655	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	q4	old	-1	nan	nan	nan	nan	nan	3.02612	6.02112	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	q4	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	centre	bin	0	201.556	1.08147	2.76202	2.50663	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	bin	1	597.592	1.32321	2.84855	2.59836	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	bin	2	1029.38	1.13916	2.93999	2.70281	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	bin	3	1297.88	1.10698	2.99545	2.76193	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	bin	4	1584.41	0.878093	3.05351	2.82479	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	bin	5	1928.66	1.17064	3.12185	2.89969	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	centre	old	-1	nan	nan	nan	nan	nan	2.45577	6.15875	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	centre	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	edge	bin	0	201.556	1.08147	2.76202	3.06884	2.76202	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	bin	1	597.592	1.32321	2.84855	3.13329	2.84855	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	bin	2	1029.38	1.13916	2.93999	3.22457	2.93999	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	bin	3	1297.88	1.10698	2.99545	3.27389	2.99545	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	bin	4	1584.41	0.878093	3.05351	3.33099	3.05351	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	bin	5	1928.66	1.17064	3.12185	3.38655	3.12185	nan	nan	nan	nan	nan	nan
pdhd	share	V	edge	old	-1	nan	nan	nan	nan	nan	3.02612	6.02112	2.71693	6.12924	0.591529	0.66859
pdhd	share	V	edge	corrected	-1	nan	nan	nan	nan	nan	2.71693	6.12924	2.71693	6.12924	0.591529	0.66859
pdhd	share	W	full	bin	0	202.444	0.560241	1.54298	1.55893	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	bin	1	549.415	1.45519e-11	1.67514	1.60419	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	bin	2	831.666	0.211731	1.77542	1.74425	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	bin	3	1151.94	0.748798	1.88274	1.9084	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	bin	4	1557.44	0.671536	2.01042	2.02961	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	bin	5	1967.35	0.681785	2.13173	2.14952	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	full	old	-1	nan	nan	nan	nan	nan	1.3554	7.09477	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	full	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q1	bin	0	202.444	0.560241	1.54298	2.16914	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	bin	1	549.415	1.45519e-11	1.67514	2.20747	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	bin	2	831.666	0.211731	1.77542	2.30262	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	bin	3	1151.94	0.748798	1.88274	2.39595	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	bin	4	1557.44	0.671536	2.01042	2.48988	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	bin	5	1967.35	0.681785	2.13173	2.58019	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	q1	old	-1	nan	nan	nan	nan	nan	2.05697	6.19296	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q1	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q2	bin	0	202.444	0.560241	1.54298	0.913808	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	bin	1	549.415	1.45519e-11	1.67514	1.02267	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	bin	2	831.666	0.211731	1.77542	1.21227	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	bin	3	1151.94	0.748798	1.88274	1.43149	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	bin	4	1557.44	0.671536	2.01042	1.59123	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	bin	5	1967.35	0.681785	2.13173	1.74411	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	q2	old	-1	nan	nan	nan	nan	nan	0.558465	6.93809	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q2	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q3	bin	0	202.444	0.560241	1.54298	0.913808	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	bin	1	549.415	1.45519e-11	1.67514	1.02267	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	bin	2	831.666	0.211731	1.77542	1.21227	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	bin	3	1151.94	0.748798	1.88274	1.43149	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	bin	4	1557.44	0.671536	2.01042	1.59123	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	bin	5	1967.35	0.681785	2.13173	1.74411	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	q3	old	-1	nan	nan	nan	nan	nan	0.558465	6.93809	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q3	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q4	bin	0	202.444	0.560241	1.54298	2.16914	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	bin	1	549.415	1.45519e-11	1.67514	2.20747	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	bin	2	831.666	0.211731	1.77542	2.30262	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	bin	3	1151.94	0.748798	1.88274	2.39595	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	bin	4	1557.44	0.671536	2.01042	2.48988	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	bin	5	1967.35	0.681785	2.13173	2.58019	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	q4	old	-1	nan	nan	nan	nan	nan	2.05697	6.19296	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	q4	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	centre	bin	0	202.444	0.560241	1.54298	0.913808	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	bin	1	549.415	1.45519e-11	1.67514	1.02267	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	bin	2	831.666	0.211731	1.77542	1.21227	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	bin	3	1151.94	0.748798	1.88274	1.43149	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	bin	4	1557.44	0.671536	2.01042	1.59123	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	bin	5	1967.35	0.681785	2.13173	1.74411	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	centre	old	-1	nan	nan	nan	nan	nan	0.558465	6.93809	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	centre	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	edge	bin	0	202.444	0.560241	1.54298	2.16914	1.54298	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	bin	1	549.415	1.45519e-11	1.67514	2.20747	1.67514	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	bin	2	831.666	0.211731	1.77542	2.30262	1.77542	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	bin	3	1151.94	0.748798	1.88274	2.39595	1.88274	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	bin	4	1557.44	0.671536	2.01042	2.48988	2.01042	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	bin	5	1967.35	0.681785	2.13173	2.58019	2.13173	nan	nan	nan	nan	nan	nan
pdhd	share	W	edge	old	-1	nan	nan	nan	nan	nan	2.05697	6.19296	1.46035	6.12924	0.32199	0.444852
pdhd	share	W	edge	corrected	-1	nan	nan	nan	nan	nan	1.46035	6.12924	1.46035	6.12924	0.32199	0.444852
