# per tier: ntracks, npoints, k_pop, then per-bin median(dqdx/(k_pop*ref)) +- err (3%% floor), chi2/nbins, per-track k median/rms, contrast median
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60
all_status0	582	143379	0.9217	2343.44	11	0.8597	0.2488	1.071	0.265	0.3688	0.5031	0.6483	0.7366	0.8541	0.9023	0.9532	0.9917	1.0085	1.0339	1.0230	0.0160	0.0228	0.0276	0.0253	0.0280	0.0284	0.0293	0.0304	0.0305	0.0313	0.0308
contrast_ge2	102	25314	0.9159	47.23	11	0.9686	0.2472	2.427	0.324	0.9751	1.0520	1.0844	1.0835	1.0915	1.0974	1.1052	1.0843	1.0511	1.0385	1.0316	0.0394	0.0391	0.0364	0.0357	0.0356	0.0351	0.0348	0.0347	0.0326	0.0322	0.0315
doc55_cuts	47	13039	0.9261	67.75	11	0.9974	0.0885	2.289	0.362	1.0091	1.0631	1.1145	1.1140	1.1143	1.1211	1.1139	1.0894	1.0636	1.0507	1.0458	0.0396	0.0374	0.0387	0.0355	0.0367	0.0361	0.0357	0.0353	0.0330	0.0327	0.0320
doc55_muon	45	12544	0.9305	69.55	11	1.0125	0.0818	2.289	0.356	1.0168	1.0664	1.1102	1.1098	1.1150	1.1226	1.1166	1.0978	1.0627	1.0556	1.0494	0.0402	0.0383	0.0389	0.0353	0.0365	0.0361	0.0356	0.0354	0.0330	0.0328	0.0322
