# doc pr/132 round 9 A/B index -- K19 back-projection NC vertex proposer (miss=8), the 13 fires
# OFF (r9off, production point) 82e77f9d-fc18-49aa-a219-81dd9a6c05fb / ON (r9bp, pi0_bp_vertex_miss_cm=8) 803e2f62-4b43-4d9f-b15b-62ab672d812c
# Order: the 2 NC rescues, the census win, the 5 ADVERSE-at-zero, then the rest.
# K19 is measured dead (doc sec 16) and stays DEFAULT OFF -- this set is for judging the NC-rescue value vs the vertex damage.
# bee_idx	event	status
0	116962	NC RESCUE: in-window pair m=125.8 formed at a vertex moved 12.0 cm (owner r3: "nu vertex not correct, no good answer"); unlabeled in vtx105
1	76346	NC RESCUE: the true pair 14059 (159.9) + 41031 (29.6) m=129.6; vertex moved 4.3 cm but truth-click distance 30.3 -> 33.7 -- the pair is recovered, the vertex is not
2	165157	census WIN: partial -> exact (the round's +1)
3	506746	ADVERSE: vertex was ON the truth click (0.00 cm), moved 2.4 cm off; owner scored this event good in round 3
4	486687	ADVERSE: 0.00 -> 20.5 cm off click
5	348691	ADVERSE: 0.00 -> 16.7 cm off click
6	406125	ADVERSE: 0.00 -> 19.4 cm off click
7	347824	ADVERSE: 0.00 -> 4.4 cm off click
8	166870	ADVERSE: 2.6 -> 22.1 cm off click
9	409888	toward: 3.95 -> 2.78 cm (a small win)
10	281567	moved 24.0 cm, click distance 14.2 -> 14.6 (the round-4 ADVERSE specimen, essentially unchanged)
11	176502	new group m=137.5, vertex shift 79.7 cm -- judge
12	397630	new group m=155.1, vertex shift 48.3 cm -- judge
