event	guard_fires	wall_s_A	wall_s_B
039252_0	0	36	36
039252_10	0	45	44
039252_11	0	55	68
039252_12	0	84	101
039252_13	0	40	50
039252_14	0	71	77
039252_15	0	57	62
039252_16	0	160	174
039252_17	0	69	79
039252_1	0	90	91
039252_2	0	92	94
039252_3	0	61	61
039252_4	0	383	396
039252_5	0	71	71
039252_6	0	97	94
039252_7	0	45	45
039252_8	0	103	114
039252_9	0	57	68
039253_0	0	59	58
039253_10	0	25	26
039253_11	0	69	78
039253_12	0	52	56
039253_13	0	35	39
039253_14	0	41	46
039253_15	0	40	44
039253_16	0	30	34
039253_17	0	93	119
039253_1	0	58	57
039253_2	0	48	48
039253_3	0	18	19
039253_4	0	67	66
039253_5	0	87	86
039253_6	0	89	90
039253_7	0	41	42
039253_8	0	104	111
039253_9	0	60	60
039349_0	0	27	27
039349_10	0	42	44
039349_11	0	20	21
039349_12	0	67	67
039349_13	0	10	10
039349_14	1	-1	26
039349_15	0	15	16
039349_16	0	14	15
039349_17	0	9	8
039349_18	0	58	62
039349_19	0	13	15
039349_1	0	13	12
039349_20	0	14	15
039349_21	0	18	16
039349_22	0	42	44
039349_23	0	14	21
039349_24	0	9	14
039349_25	0	32	37
039349_26	0	103	120
039349_27	0	22	26
039349_28	0	51	58
039349_29	0	24	26
039349_2	0	24	24
039349_30	0	53	67
039349_31	0	24	35
039349_32	0	60	76
039349_33	0	42	51
039349_34	0	17	20
039349_35	0	8	13
039349_36	0	18	23
039349_37	0	74	80
039349_38	0	80	86
039349_39	0	34	38
039349_3	0	33	34
039349_40	0	11	15
039349_41	0	24	26
039349_42	0	24	25
039349_43	0	11	11
039349_44	0	46	46
039349_45	0	21	20
039349_46	0	30	31
039349_47	0	31	33
039349_48	0	74	77
039349_49	0	13	13
039349_4	0	26	27
039349_50	0	22	22
039349_51	0	11	11
039349_52	0	56	58
039349_53	2	-1	27
039349_54	0	27	29
039349_55	0	50	51
039349_56	0	31	31
039349_57	0	34	35
039349_58	0	17	17
039349_59	0	14	13
039349_5	0	30	30
039349_60	0	21	30
039349_61	0	13	21
039349_62	0	17	20
039349_63	0	35	36
039349_64	0	26	26
039349_65	0	22	25
039349_66	0	25	26
039349_67	0	23	25
039349_68	0	38	39
039349_69	0	26	28
039349_6	0	29	29
039349_70	0	49	52
039349_71	0	20	22
039349_72	0	56	54
039349_73	0	45	45
039349_74	0	16	16
039349_75	0	43	43
039349_76	0	31	31
039349_77	0	36	37
039349_78	0	33	33
039349_79	0	27	27
039349_7	0	49	48
039349_80	0	13	13
039349_81	0	32	36
039349_82	0	15	15
039349_83	0	32	38
039349_8	0	10	10
039349_9	0	45	47
