run	idx	d27fresh_mains	d27fresh_stm	d27fresh_tgm	d27fresh_nu	d27fresh_warn	d27fresh_degen	d27fresh_wall_s	d27fresh_wires	d25r13fix_mains	d25r13fix_stm	d25r13fix_tgm	d25r13fix_nu	d25r13fix_warn	d25r13fix_degen	d25r13fix_wall_s	d25r13fix_wires
39252	6	75	8	17	7	0	0	104	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	85	10	12	8	0	0	94	(none)
39252	7	54	5	21	4	0	0	73	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	56	6	15	6	0	0	45	(none)
39252	8	52	10	20	9	0	0	153	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	60	7	12	5	0	0	114	(none)
39252	9	57	7	17	6	0	0	52	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	63	9	13	9	0	0	68	(none)
39253	0	67	10	15	9	0	0	90	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	74	8	12	7	0	0	58	(none)
39253	10	53	3	10	3	0	0	65	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	56	4	6	3	0	0	26	(none)
39253	11	61	11	24	10	0	0	286	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	64	7	17	7	0	0	78	(none)
39253	12	57	5	19	3	0	0	67	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	61	7	12	7	0	0	56	(none)
39253	13	57	5	19	4	0	0	72	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	61	7	13	7	0	0	39	(none)
39253	14	77	9	19	8	0	0	73	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	81	6	13	5	0	0	46	(none)
39253	15	67	9	15	7	0	0	368	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	67	7	10	7	0	0	44	(none)
39253	16	52	6	10	5	0	0	44	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	53	6	8	5	0	0	34	(none)
39253	17	83	4	21	4	0	0	124	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	86	12	15	12	0	0	119	(none)
39253	1	62	6	16	6	0	0	97	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	63	5	13	5	0	0	57	(none)
39253	2	63	7	21	6	0	0	104	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	58	6	12	5	0	0	48	(none)
39253	3	48	7	16	5	0	0	68	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	52	2	10	2	0	0	19	(none)
39253	4	65	3	16	3	0	0	60	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	70	9	13	9	0	0	66	(none)
39253	5	59	8	24	8	0	0	150	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	67	8	18	7	0	0	86	(none)
39253	6	61	6	21	5	0	0	47	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	71	6	13	6	0	0	90	(none)
39253	7	60	4	16	3	0	0	48	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	65	8	6	7	0	0	42	(none)
39253	8	57	9	24	8	0	0	106	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	64	10	13	10	0	0	111	(none)
39253	9	65	9	25	9	0	0	154	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	70	11	19	9	0	0	60	(none)
39349	0	43	4	8	4	0	0	52	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	39	4	7	4	0	0	27	(none)
39349	10	39	4	11	3	0	0	40	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	40	5	7	5	0	0	44	(none)
39349	11	31	8	9	6	0	0	39	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	32	5	7	4	0	0	21	(none)
39349	12	31	4	12	4	0	0	78	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	33	5	12	5	0	0	67	(none)
39349	13	36	5	11	3	0	0	22	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	1	9	1	0	0	10	(none)
39349	14	36	4	5	4	0	0	56	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	37	4	4	4	0	1	26	(none)
39349	15	42	5	13	5	0	0	21	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	42	3	10	3	0	0	16	(none)
39349	16	43	6	13	6	0	0	32	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	42	3	13	3	0	0	15	(none)
39349	17	44	3	7	1	0	0	9	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	39	0	5	0	0	0	8	(none)
39349	18	47	13	6	12	0	0	71	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	47	11	5	10	0	0	62	(none)
39349	19	32	6	10	5	0	0	46	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	3	9	3	0	0	15	(none)
39349	1	35	4	8	3	0	0	30	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	35	4	5	4	0	0	12	(none)
39349	20	45	4	11	4	0	0	22	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	46	3	5	3	0	0	15	(none)
39349	21	35	5	11	5	0	0	56	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	38	6	9	5	0	0	16	(none)
39349	22	52	7	5	7	0	0	65	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	52	6	4	5	0	0	44	(none)
39349	23	36	5	10	5	0	0	43	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	37	4	9	4	0	0	21	(none)
39349	24	44	4	14	3	0	0	17	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	48	2	9	1	0	0	14	(none)
39349	25	42	6	18	6	0	0	65	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	7	16	6	0	0	37	(none)
39349	26	39	5	6	5	0	0	55	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	41	10	3	10	0	0	120	(none)
39349	27	38	5	10	5	0	0	25	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	43	5	7	5	0	0	26	(none)
39349	28	46	6	12	6	0	0	93	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	52	9	8	8	0	0	58	(none)
39349	29	34	3	8	3	0	0	66	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	36	1	7	1	0	0	26	(none)
39349	2	38	3	9	1	0	0	33	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	37	4	7	4	0	0	24	(none)
39349	30	45	3	11	3	0	0	36	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	46	7	10	7	0	0	67	(none)
39349	31	41	6	12	6	0	0	46	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	47	4	7	3	0	0	35	(none)
39349	32	35	7	12	7	0	0	24	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	37	5	6	5	0	0	76	(none)
39349	33	43	5	14	4	0	0	55	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	48	5	10	5	0	0	51	(none)
39349	34	31	6	11	6	0	0	57	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	31	3	10	3	0	0	20	(none)
39349	35	48	7	11	6	0	0	61	protodunevd-wires-larsoft-v7-uvwfit.json.bz2	49	1	9	0	0	0	13	(none)
