run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	10550	-0.96898586	-0.40625823	4.300936	-0.13330038	908.2354	982.9734	0.0	11.66329064300466
18255	1	46363	-1.0364143	-0.73146665			1963.8833	1855.3031	0.0	45.056718316411526
18255	1	163543	-0.64185226	-0.06866789	-1.3859074	1.2683051	1418.4971	1143.9054	0.0	26.455860413920465
18255	1	235435	0.687911	-0.2101675			878.0584	427.54205	0.0	30.819890657474772
18255	1	271851	-0.26961628	1.6990504	4.300936	-0.15012057	1536.8811	2153.9053	0.0	50.003041535109986
18255	1	389538	0.7780297	4.301008	4.300936	-15.0	939.31775	985.6946	0.0	213.64459079739518
18255	1	433451	-1.9285995	-1.7826954	4.300936	-15.0	2766.097	2974.3413	0.0	6.27792545277627
18259	1	52672	-1.4539412	-0.75170416	-4.300936	-15.0	937.625	956.247	0.0	30.87303475061367
18259	1	111412	0.071648054	-0.45791322	0.037387524	4.300936	1019.3728	1139.4978	0.0	41.971500630502796
18342	1	30504	-0.9888835	-0.045590013	-1.3878838	-2.1909204	1251.1335	1095.9738	0.0	37.9061149807518
