sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
cv-p3bw	numu	-3.0	450	557	450	714	0.8079	0.6303
cv-p3bw	numu	-2.9	450	557	450	709	0.8079	0.6347
cv-p3bw	numu	-2.8	450	557	450	706	0.8079	0.6374
cv-p3bw	numu	-2.7	450	557	450	705	0.8079	0.6383
cv-p3bw	numu	-2.6	450	557	450	704	0.8079	0.6392
cv-p3bw	numu	-2.5	450	557	450	701	0.8079	0.6419
cv-p3bw	numu	-2.4	450	557	450	692	0.8079	0.6503
cv-p3bw	numu	-2.3	450	557	450	690	0.8079	0.6522
cv-p3bw	numu	-2.2	450	557	450	683	0.8079	0.6589
cv-p3bw	numu	-2.1	450	557	450	677	0.8079	0.6647
cv-p3bw	numu	-2.0	449	557	449	670	0.8061	0.6701
cv-p3bw	numu	-1.9	449	557	449	667	0.8061	0.6732
cv-p3bw	numu	-1.8	449	557	449	665	0.8061	0.6752
cv-p3bw	numu	-1.7	449	557	449	656	0.8061	0.6845
cv-p3bw	numu	-1.6	449	557	449	650	0.8061	0.6908
cv-p3bw	numu	-1.5	449	557	449	643	0.8061	0.6983
cv-p3bw	numu	-1.4	448	557	448	634	0.8043	0.7066
cv-p3bw	numu	-1.3	447	557	447	625	0.8025	0.7152
cv-p3bw	numu	-1.2	447	557	447	617	0.8025	0.7245
cv-p3bw	numu	-1.1	447	557	447	609	0.8025	0.7340
cv-p3bw	numu	-1.0	445	557	445	597	0.7989	0.7454
cv-p3bw	numu	-0.9	445	557	445	588	0.7989	0.7568
cv-p3bw	numu	-0.8	444	557	444	577	0.7971	0.7695
cv-p3bw	numu	-0.7	443	557	443	568	0.7953	0.7799
cv-p3bw	numu	-0.6	441	557	441	563	0.7917	0.7833
cv-p3bw	numu	-0.5	437	557	437	555	0.7846	0.7874
cv-p3bw	numu	-0.4	436	557	436	547	0.7828	0.7971
cv-p3bw	numu	-0.3	432	557	432	541	0.7756	0.7985
cv-p3bw	numu	-0.2	429	557	429	533	0.7702	0.8049
cv-p3bw	numu	-0.1	426	557	426	529	0.7648	0.8053
cv-p3bw	numu	0.0	423	557	423	525	0.7594	0.8057
cv-p3bw	numu	0.1	419	557	419	514	0.7522	0.8152
cv-p3bw	numu	0.2	417	557	417	507	0.7487	0.8225
cv-p3bw	numu	0.3	414	557	414	500	0.7433	0.8280
cv-p3bw	numu	0.4	405	557	405	487	0.7271	0.8316
cv-p3bw	numu	0.5	399	557	399	472	0.7163	0.8453
cv-p3bw	numu	0.6	391	557	391	457	0.7020	0.8556
cv-p3bw	numu	0.7	386	557	386	450	0.6930	0.8578
cv-p3bw	numu	0.8	384	557	384	444	0.6894	0.8649
cv-p3bw	numu	0.9	382	557	382	437	0.6858	0.8741
cv-p3bw	numu	1.0	373	557	373	425	0.6697	0.8776
cv-p3bw	numu	1.1	370	557	370	417	0.6643	0.8873
cv-p3bw	numu	1.2	363	557	363	409	0.6517	0.8875
cv-p3bw	numu	1.3	355	557	355	398	0.6373	0.8920
cv-p3bw	numu	1.4	352	557	352	393	0.6320	0.8957
cv-p3bw	numu	1.5	342	557	342	379	0.6140	0.9024
cv-p3bw	numu	1.6	334	557	334	367	0.5996	0.9101
cv-p3bw	numu	1.7	331	557	331	363	0.5943	0.9118
cv-p3bw	numu	1.8	327	557	327	356	0.5871	0.9185
cv-p3bw	numu	1.9	323	557	323	350	0.5799	0.9229
cv-p3bw	numu	2.0	316	557	316	342	0.5673	0.9240
cv-p3bw	numu	2.1	308	557	308	331	0.5530	0.9305
cv-p3bw	numu	2.2	301	557	301	324	0.5404	0.9290
cv-p3bw	numu	2.3	297	557	297	318	0.5332	0.9340
cv-p3bw	numu	2.4	284	557	284	304	0.5099	0.9342
cv-p3bw	numu	2.5	276	557	276	295	0.4955	0.9356
cv-p3bw	numu	2.6	266	557	266	284	0.4776	0.9366
cv-p3bw	numu	2.7	260	557	260	276	0.4668	0.9420
cv-p3bw	numu	2.8	248	557	248	259	0.4452	0.9575
cv-p3bw	numu	2.9	231	557	231	241	0.4147	0.9585
cv-p3bw	numu	3.0	222	557	222	230	0.3986	0.9652
cv-p3bw	numu	3.1	209	557	209	215	0.3752	0.9721
cv-p3bw	numu	3.2	202	557	202	207	0.3627	0.9758
cv-p3bw	numu	3.3	190	557	190	195	0.3411	0.9744
cv-p3bw	numu	3.4	180	557	180	184	0.3232	0.9783
cv-p3bw	numu	3.5	169	557	169	172	0.3034	0.9826
cv-p3bw	numu	3.6	158	557	158	161	0.2837	0.9814
cv-p3bw	numu	3.7	148	557	148	151	0.2657	0.9801
cv-p3bw	numu	3.8	136	557	136	139	0.2442	0.9784
cv-p3bw	numu	3.9	125	557	125	128	0.2244	0.9766
cv-p3bw	numu	4.0	121	557	121	124	0.2172	0.9758
cv-p3bw	numu	4.1	109	557	109	112	0.1957	0.9732
cv-p3bw	numu	4.2	95	557	95	97	0.1706	0.9794
cv-p3bw	numu	4.3	85	557	85	87	0.1526	0.9770
cv-p3bw	numu	4.4	77	557	77	78	0.1382	0.9872
cv-p3bw	numu	4.5	71	557	71	72	0.1275	0.9861
cv-p3bw	numu	4.6	62	557	62	62	0.1113	1.0000
cv-p3bw	numu	4.7	55	557	55	55	0.0987	1.0000
cv-p3bw	numu	4.8	51	557	51	51	0.0916	1.0000
cv-p3bw	numu	4.9	39	557	39	39	0.0700	1.0000
cv-p3bw	numu	5.0	32	557	32	32	0.0575	1.0000
cv-p3bw	numu	5.1	26	557	26	26	0.0467	1.0000
cv-p3bw	numu	5.2	21	557	21	21	0.0377	1.0000
cv-p3bw	numu	5.3	20	557	20	20	0.0359	1.0000
cv-p3bw	numu	5.4	16	557	16	16	0.0287	1.0000
cv-p3bw	numu	5.5	14	557	14	14	0.0251	1.0000
cv-p3bw	numu	5.6	11	557	11	11	0.0197	1.0000
cv-p3bw	numu	5.7	10	557	10	10	0.0180	1.0000
cv-p3bw	numu	5.8	7	557	7	7	0.0126	1.0000
cv-p3bw	numu	5.9	6	557	6	6	0.0108	1.0000
cv-p3bw	numu	6.0	6	557	6	6	0.0108	1.0000
cv-p3bw	numu	6.1	4	557	4	4	0.0072	1.0000
cv-p3bw	numu	6.2	2	557	2	2	0.0036	1.0000
cv-p3bw	numu	6.3	2	557	2	2	0.0036	1.0000
cv-p3bw	numu	6.4	2	557	2	2	0.0036	1.0000
cv-p3bw	numu	6.5	0	557	0	0	0.0000	
cv-p3bw	numu	6.6	0	557	0	0	0.0000	
cv-p3bw	numu	6.7	0	557	0	0	0.0000	
cv-p3bw	numu	6.8	0	557	0	0	0.0000	
cv-p3bw	numu	6.9	0	557	0	0	0.0000	
cv-p3bw	numu	7.0	0	557	0	0	0.0000	
