sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
nuecc-cs	numu	-3.0	48	90	48	1534	0.5333	0.0313
nuecc-cs	numu	-2.9	48	90	48	1534	0.5333	0.0313
nuecc-cs	numu	-2.8	48	90	48	1533	0.5333	0.0313
nuecc-cs	numu	-2.7	48	90	48	1533	0.5333	0.0313
nuecc-cs	numu	-2.6	48	90	48	1532	0.5333	0.0313
nuecc-cs	numu	-2.5	48	90	48	1530	0.5333	0.0314
nuecc-cs	numu	-2.4	48	90	48	1528	0.5333	0.0314
nuecc-cs	numu	-2.3	48	90	48	1526	0.5333	0.0315
nuecc-cs	numu	-2.2	48	90	48	1526	0.5333	0.0315
nuecc-cs	numu	-2.1	48	90	48	1523	0.5333	0.0315
nuecc-cs	numu	-2.0	48	90	48	1514	0.5333	0.0317
nuecc-cs	numu	-1.9	48	90	48	1508	0.5333	0.0318
nuecc-cs	numu	-1.8	48	90	48	1503	0.5333	0.0319
nuecc-cs	numu	-1.7	48	90	48	1490	0.5333	0.0322
nuecc-cs	numu	-1.6	48	90	48	1483	0.5333	0.0324
nuecc-cs	numu	-1.5	48	90	48	1469	0.5333	0.0327
nuecc-cs	numu	-1.4	48	90	48	1448	0.5333	0.0331
nuecc-cs	numu	-1.3	48	90	48	1432	0.5333	0.0335
nuecc-cs	numu	-1.2	48	90	48	1400	0.5333	0.0343
nuecc-cs	numu	-1.1	48	90	48	1367	0.5333	0.0351
nuecc-cs	numu	-1.0	48	90	48	1322	0.5333	0.0363
nuecc-cs	numu	-0.9	48	90	48	1279	0.5333	0.0375
nuecc-cs	numu	-0.8	48	90	48	1224	0.5333	0.0392
nuecc-cs	numu	-0.7	48	90	48	1176	0.5333	0.0408
nuecc-cs	numu	-0.6	48	90	48	1113	0.5333	0.0431
nuecc-cs	numu	-0.5	48	90	48	1061	0.5333	0.0452
nuecc-cs	numu	-0.4	48	90	48	994	0.5333	0.0483
nuecc-cs	numu	-0.3	48	90	48	936	0.5333	0.0513
nuecc-cs	numu	-0.2	48	90	48	864	0.5333	0.0556
nuecc-cs	numu	-0.1	48	90	48	802	0.5333	0.0599
nuecc-cs	numu	0.0	48	90	48	724	0.5333	0.0663
nuecc-cs	numu	0.1	48	90	48	657	0.5333	0.0731
nuecc-cs	numu	0.2	48	90	48	598	0.5333	0.0803
nuecc-cs	numu	0.3	48	90	48	535	0.5333	0.0897
nuecc-cs	numu	0.4	48	90	48	492	0.5333	0.0976
nuecc-cs	numu	0.5	48	90	48	449	0.5333	0.1069
nuecc-cs	numu	0.6	48	90	48	402	0.5333	0.1194
nuecc-cs	numu	0.7	48	90	48	360	0.5333	0.1333
