sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
cv-csp3bw	numu	-3.0	450	557	450	706	0.8079	0.6374
cv-csp3bw	numu	-2.9	450	557	450	703	0.8079	0.6401
cv-csp3bw	numu	-2.8	450	557	450	701	0.8079	0.6419
cv-csp3bw	numu	-2.7	450	557	450	694	0.8079	0.6484
cv-csp3bw	numu	-2.6	450	557	450	692	0.8079	0.6503
cv-csp3bw	numu	-2.5	450	557	450	689	0.8079	0.6531
cv-csp3bw	numu	-2.4	450	557	450	685	0.8079	0.6569
cv-csp3bw	numu	-2.3	450	557	450	678	0.8079	0.6637
cv-csp3bw	numu	-2.2	450	557	450	676	0.8079	0.6657
cv-csp3bw	numu	-2.1	450	557	450	673	0.8079	0.6686
cv-csp3bw	numu	-2.0	450	557	450	669	0.8079	0.6726
cv-csp3bw	numu	-1.9	449	557	449	662	0.8061	0.6782
cv-csp3bw	numu	-1.8	449	557	449	651	0.8061	0.6897
cv-csp3bw	numu	-1.7	448	557	448	638	0.8043	0.7022
cv-csp3bw	numu	-1.6	447	557	447	637	0.8025	0.7017
cv-csp3bw	numu	-1.5	447	557	447	632	0.8025	0.7073
cv-csp3bw	numu	-1.4	447	557	447	623	0.8025	0.7175
cv-csp3bw	numu	-1.3	445	557	445	614	0.7989	0.7248
cv-csp3bw	numu	-1.2	445	557	445	607	0.7989	0.7331
cv-csp3bw	numu	-1.1	444	557	444	600	0.7971	0.7400
cv-csp3bw	numu	-1.0	441	557	441	592	0.7917	0.7449
cv-csp3bw	numu	-0.9	441	557	441	583	0.7917	0.7564
cv-csp3bw	numu	-0.8	441	557	441	578	0.7917	0.7630
cv-csp3bw	numu	-0.7	440	557	440	571	0.7899	0.7706
cv-csp3bw	numu	-0.6	438	557	438	565	0.7864	0.7752
cv-csp3bw	numu	-0.5	434	557	434	553	0.7792	0.7848
cv-csp3bw	numu	-0.4	433	557	433	549	0.7774	0.7887
cv-csp3bw	numu	-0.3	429	557	429	541	0.7702	0.7930
cv-csp3bw	numu	-0.2	425	557	425	530	0.7630	0.8019
cv-csp3bw	numu	-0.1	423	557	423	525	0.7594	0.8057
cv-csp3bw	numu	0.0	417	557	417	517	0.7487	0.8066
cv-csp3bw	numu	0.1	414	557	414	511	0.7433	0.8102
cv-csp3bw	numu	0.2	410	557	410	501	0.7361	0.8184
cv-csp3bw	numu	0.3	407	557	407	494	0.7307	0.8239
cv-csp3bw	numu	0.4	404	557	404	486	0.7253	0.8313
cv-csp3bw	numu	0.5	399	557	399	475	0.7163	0.8400
cv-csp3bw	numu	0.6	390	557	390	463	0.7002	0.8423
cv-csp3bw	numu	0.7	387	557	387	456	0.6948	0.8487
cv-csp3bw	numu	0.8	385	557	385	451	0.6912	0.8537
