sample	event	row	nu_index	numu_score	nue_score	selected_len_cm	is_primary	n_rows
nuecc48	81597	0	0	-0.5620916485786438	15.051499366760254	86.56436920166016	True	1
nuecc48	267597	0	0	-0.7017694711685181	14.423110961914062	127.22531127929688	True	1
mcp2k	290718	0	0	4.781466484069824	-15.0	476.87066650390625	True	1
mcp2k	94293	0	0	4.190224647521973	-15.0	460.1509704589844	True	1
mcp2k	283591	0	0	4.109129428863525	-15.0	268.42071533203125	True	1
mcp1k	313979	0	0	4.365407943725586	-15.0	272.8515625	True	1
mcp2k	99838	0	0	4.112204551696777	-15.0	435.3338317871094	True	1
mcp2k	242726	0	0	3.6178174018859863	-15.0	208.16159057617188	True	1
mcp2k	57709	0	0	-0.2896023392677307	-15.0	86.46653747558594	True	1
mcp2k	176986	0	0	-0.664369523525238	-15.0	20.735610961914062	True	1
ncpi0	180801	0	0	1.3564549684524536	-1.4411039352416992	70.92192077636719	True	1
mcp2k	180698	0	0	-5.078214645385742	-15.0	251.91612243652344	True	1
mcp2k	99563	0	0	-5.098391532897949	-15.0	485.3671875	True	1
mcp1k	487303	0	0	4.288616180419922	-15.0	126.04032897949219	True	2
mcp1k	487303	1	1	-0.03748175501823425	-3.2511916160583496	21.747833251953125	False	2
mcp2k	174661	0	0	3.531585216522217	-15.0	135.21835327148438	True	2
mcp2k	174661	1	1	2.9111499786376953	-15.0	130.0708465576172	False	2
nuecc48	389538	0	0	4.759798526763916	-15.0	171.8468017578125	True	1
mcp2k	67868	0	0	2.2994353771209717	-15.0	105.45757293701172	True	1
nuecc48	69314	0	0	3.960242509841919	-15.0	171.14260864257812	True	1
nuecc48	138009	0	0	-0.44828352332115173	5.831756114959717	73.10315704345703	True	1
nuecc48	271851	0	0	-0.24095095694065094	5.549643039703369	64.66742706298828	True	1
mcp2k	179054	0	0	0.8077831864356995	-15.0	130.93821716308594	True	2
mcp2k	179054	1	1	4.243948936462402	-15.0	110.52328491210938	False	2
mcp1k	169626	0	0	-2.644303321838379	-10.066102027893066	41.62263488769531	True	1
ncpi0	142421	0	0	3.5446741580963135	-15.0	264.2350769042969	True	1
mcp2k	318769	0	0	0.09569257497787476	-15.0	54.17880630493164	True	1
mcp2k	281781	0	0	1.7799967527389526	-15.0	35.074867248535156	True	1
