sample	event	krow	nkrow	run	subrun	numu_score	nue_score	cosmic_flag	cosmict_flag	event_label	n_inbeam_bundle	nu_x	nu_y	nu_z	nu_len	Enu	exc	exc_main	exc_other	n_exc	flagged	pio_flag	pio_mass	pio_vtxdis	g1	gd1	g2	gd2	pio_angle	n_part	n_mu	e_mu	n_e	e_e	n_p	n_pi	n_nu_nodes	wall_s	maxrss	exc_frac	cathode_cross	mu_cathode_cross	x_min	x_max	trk_diag	trk_npts	final_state
ncpi0	105946	0	1	18259	1	-0.13145322	-15.0	1.0	0.0	nu-candidate	1	-134.39026	-146.77197	400.9667	50.1	985.4784545898438	149.5206756591797	0.0	149.5206756591797	8	24.037181854248047	1	107.28587341308594	47.95194625854492	103.83357238769531	69.11076354980469	477.9321594238281	48.00289535522461	27.867788314819336	18	0	0	15	477.9321594238281	3	0	1	None	None	0.1517	1	0	-191.794	116.691	524.5515846177572	484	gamma 477 + e- 477 + proton 291 + pi0 107 + gamma 103 + e- 103
ncpi0	114446	0	1	18255	1	-2.7398417	-15.0	1.0	0.0	nu-candidate	1	-65.98571	-64.34706	333.0435	10.9	125.9621810913086	5.0271124839782715	0.0	5.0271124839782715	2	8.2449369430542	1	5.544503688812256	0.0	2.3123598098754883	19.548673629760742	3.6164891719818115	6.264864444732666	146.9327392578125	5	0	0	4	3.6164891719818115	1	0	1	None	None	0.0399	1	0	-78.4802	134.548	425.89999962541674	42	proton 109
ncpi0	142421	0	1	18255	1	3.5446742	-15.0	1.0	0.0	nu-candidate	1	118.3201	-69.73505	208.7188	264.2	2707.146484375	422.2354431152344	420.3519592285156	1.8834941387176514	5	703.1492309570312	1	247.2832489013672	0.0	672.8121948242188	14.589224815368652	555.8663940429688	7.201632499694824	23.328630447387695	19	1	350.3073425292969	13	672.8121948242188	3	2	1	None	None	0.1560	0	0	22.6253	201.438	353.4885247863947	1349	gamma 672 + e- 672 + gamma 555 + e- 555 + pi+ 502 + mu- 350
ncpi0	180801	0	1	18255	1	1.356455	-1.4411039	1.0	0.0	nu-candidate	1	-33.8715	-14.987667	445.33282	70.9	1329.438232421875	13.389215469360352	0.0	13.389215469360352	5	43.2345085144043	1	99.30699920654297	0.0	164.14639282226562	28.877450942993164	292.5599060058594	0.0	23.85762596130371	20	0	0	15	292.5599060058594	3	2	1	None	None	0.0101	1	0	-130.16	199.319	493.3829535776444	587	e- 292 + gamma 164 + e- 164 + e- 162 + pi0 139 + pi+ 129
ncpi0	18625	0	2	18259	1	2.3249195	-15.0	1.0	0.0	nu-candidate	2	147.30873	85.10854	166.71344	15.3	1444.3775634765625	23.844863891601562	0.0	23.844863891601562	3	82.28299713134766	1	28.39622688293457	0.0	15.28228759765625	97.1181869506836	671.4965209960938	9.564834594726562	16.113855361938477	7	1	245.0170440673828	3	671.4965209960938	3	0	2	None	None	0.0165	1	0	-201.843	201.403	562.1320903636885	845	gamma 671 + e- 671 + proton 331 + mu- 245 + neutron 69 + proton 69 || gamma 115 + e- 115 + proton 110 + proton 80 + gamma 13 + e- 13
ncpi0	18625	1	2	18259	1	2.3249195	-15.0	1.0	0.0	nu-candidate	2	147.30873	85.10854	166.71344	15.3	353.05413818359375	0.0	0.0	0.0	0	24.984237670898438	1	0.07373833656311035	0.0	4.887590408325195	345.51324462890625	115.56353759765625	347.56103515625	0.17776994407176971	10	0	0	7	115.56353759765625	3	0	2	None	None	0.0000	1	0	-201.843	201.403	562.1320903636885	845	gamma 671 + e- 671 + proton 331 + mu- 245 + neutron 69 + proton 69 || gamma 115 + e- 115 + proton 110 + proton 80 + gamma 13 + e- 13
ncpi0	21073	0	1	18345	1	0.93239653	-15.0	1.0	0.0	nu-candidate	1	-33.10261	26.439455	363.375	102.2	974.6939697265625	471.3096618652344	471.3096618652344	0.0	2	20.817907333374023	1	197.38514709472656	0.0	647.8114013671875	3.3843154907226562	99.75736999511719	26.33033561706543	45.688663482666016	10	0	0	9	647.8114013671875	1	0	1	None	None	0.4835	1	0	-116.607	31.9951	199.4525725605423	827	gamma 647 + e- 647 + proton 414 + pi0 126 + pi0 105 + gamma 99
ncpi0	259542	0	1	18345	1	-0.4201918	-15.0	1.0	0.0	nu-candidate	1	101.91359	17.657187	163.81247	51.3	1804.39013671875	206.9675750732422	0.0	206.9675750732422	4	350.2708435058594	1	177.74008178710938	0.0	945.6920776367188	51.84626770019531	107.38362884521484	71.06782531738281	32.386287689208984	28	1	59.94146728515625	17	945.6920776367188	8	2	1	None	None	0.1147	0	0	-153.712	149.781	416.9481547592453	779	gamma 945 + e- 945 + pi0 132 + gamma 132 + e- 132 + gamma 107
ncpi0	285567	0	1	18261	1	0.9938243	-6.6939797	1.0	0.0	nu-candidate	1	59.016544	-177.96709	272.2521	118.0	1820.79736328125	181.7429962158203	37.59965896606445	144.14332580566406	7	98.52281951904297	1	139.0301055908203	0.0	82.48719787597656	12.675406455993652	97.2095718383789	0.0	101.43804168701172	34	1	187.3809356689453	25	97.2095718383789	4	4	1	None	None	0.0998	1	0	-171.098	151.091	607.238349132365	724	proton 323 + pi+ 197 + mu- 187 + pi0 139 + pi+ 132 + pi+ 119
ncpi0	314838	0	1	18255	1	-0.22128429	-15.0	1.0	0.0	nu-candidate	1	25.772255	155.0555	140.34195	36.8	1072.9761962890625	34.97600173950195	0.0	34.97600173950195	11	38.8423957824707	1	124.33780670166016	0.0	112.91622161865234	17.447908401489258	660.3699340820312	12.36287784576416	26.319595336914062	7	1	31.404081344604492	5	660.3699340820312	1	0	1	None	None	0.0326	1	0	-72.726	58.4102	248.00414913329575	630	gamma 660 + e- 660 + proton 252 + pi0 124 + gamma 112 + e- 112
