sample	event	krow	nu_index	kine_reco_Enu	kine_reco_add_energy	sum_particle	closes	kine_mcs_energy	kine_mcs_ambiguity	kine_mcs_tracklen	kine_mcs_range_energy	kine_mcs_segment_id
nuecc48	81597	0	0	1510.79736328125	8.600000381469727	1502.1973876953125	True	-1.0	-1.0	-1.0	-1.0	-1
nuecc48	267597	0	0	1792.065673828125	17.200000762939453	1774.86572265625	True	-1.0	-1.0	-1.0	-1.0	-1
mcp2k	290718	0	0	1250.004638671875	105.65837097167969	1144.3463134765625	True	1089.4505615234375	0.0018956001149490476	495.1741027832031	1125.513671875	8000
mcp2k	94293	0	0	1516.2108154296875	211.31675720214844	1304.89404296875	True	1005.78173828125	0.0001277242845389992	461.1866149902344	1046.072021484375	16001
mcp2k	283591	0	0	836.1344604492188	114.25836944580078	721.8760986328125	True	613.3302001953125	0.014746624045073986	268.94049072265625	614.8935546875	14001
mcp1k	313979	0	0	919.003173828125	114.25836944580078	804.7448120117188	True	586.2348022460938	0.010067479684948921	263.1766357421875	602.2669067382812	12001
mcp2k	99838	0	0	1507.61376953125	114.25836944580078	1393.3553466796875	True	1082.7867431640625	0.145518496632576	450.1041564941406	1020.1681518554688	14006
mcp2k	242726	0	0	1045.66943359375	114.25836944580078	931.4110107421875	True	509.6878662109375	0.5694993734359741	165.99229431152344	389.7351989746094	20001
mcp2k	57709	0	0	754.1792602539062	8.600000381469727	745.5792846679688	True	-1.0	-1.0	-1.0	-1.0	-1
mcp2k	176986	0	0	352.1997375488281	8.600000381469727	343.5997314453125	True	-1.0	-1.0	-1.0	-1.0	-1
ncpi0	180801	0	0	1329.438232421875	279.140380859375	1050.2978515625	True	-1.0	-1.0	-1.0	-1.0	-1
mcp2k	180698	0	0	731.9739990234375	105.65837097167969	626.3156127929688	True	2782.53857421875	0.8160858750343323	263.1583557128906	602.2268676757812	11010
mcp2k	99563	0	0	1346.1297607421875	105.65837097167969	1240.471435546875	True	1303.28076171875	0.5349206328392029	504.4454345703125	1147.184326171875	16004
mcp1k	487303	0	0	502.87646484375	114.25836944580078	388.61810302734375	True	270.1876525878906	0.0869336947798729	122.14291381835938	296.9962158203125	7001
mcp1k	487303	1	1	273.3262023925781	8.600000381469727	264.7261962890625	True	-1.0	-1.0	-1.0	-1.0	-1
mcp2k	174661	0	0	619.3126220703125	114.25836944580078	505.05426025390625	True	278.0548400878906	0.029297687113285065	124.55213165283203	302.0829772949219	7001
mcp2k	174661	1	1	456.86663818359375	105.65837097167969	351.208251953125	True	214.77175903320312	0.6280459761619568	138.4021759033203	331.3779296875	2000
nuecc48	389538	0	0	981.2047119140625	253.82876586914062	727.3759155273438	True	556.9081420898438	0.54000324010849	163.7198944091797	384.9287414550781	11001
mcp2k	67868	0	0	920.6263427734375	140.05838012695312	780.5679321289062	True	242.1163787841797	0.24770469963550568	104.00099182128906	258.7392578125	16040
nuecc48	69314	0	0	1496.91455078125	262.42877197265625	1234.48583984375	True	351.0914611816406	0.34644201397895813	150.71632385253906	357.4242248535156	3005
nuecc48	138009	0	0	1381.361328125	17.200000762939453	1364.161376953125	True	-1.0	-1.0	-1.0	-1.0	-1
nuecc48	271851	0	0	1476.2003173828125	105.65837097167969	1370.5419921875	True	89.78226470947266	0.766246497631073	50.08900451660156	144.0085906982422	23006
mcp2k	179054	0	0	1070.2628173828125	148.17039489746094	922.0924682617188	True	675.6095581054688	0.8333403468132019	77.33604431152344	202.50924682617188	27008
mcp2k	179054	1	1	563.110107421875	114.25836944580078	448.85174560546875	True	893.651123046875	0.9226532578468323	104.69639587402344	260.2056884765625	19005
mcp1k	169626	0	0	638.1941528320312	0.0	638.1941528320312	True	-1.0	-1.0	-1.0	-1.0	-1
ncpi0	142421	0	0	2707.146484375	384.79913330078125	2322.347412109375	True	1141.699462890625	0.8449370265007019	145.42727661132812	346.2370910644531	7018
mcp2k	318769	0	0	806.927490234375	105.65837097167969	701.2691040039062	True	-1.0	-1.0	-1.0	-1.0	-1
mcp2k	281781	0	0	1006.89990234375	122.85836791992188	884.0415649414062	True	-1.0	-1.0	-1.0	-1.0	-1
