set	bee_index	sample	run	subrun	event	krow	nkrow	numu_score	nue_score	cosmic_flag	cosmict_flag	Enu_MeV	excluded_MeV	exc_frac	n_excluded	pio_mass	pio_mass_recomputed	pio_mass_closure	pio_g1	pio_g2	pio_angle	pio_gap_1	pio_gap_2	pio_vtx_dis	nu_x	nu_y	nu_z	n_nu_nodes	mu_cathode_cross	final_state
nuecc	0	nuecc48	18313	1	81597	0	1	-0.56209165	15.051499	1.0	0.0	1510.8	1.4	0.0010	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	-179.5804	39.937534	358.2891	1	0	e- 1362 + proton 139
nuecc	1	nuecc48	18279	1	267597	0	1	-0.7017695	14.423111	1.0	0.0	1792.1	8.7	0.0049	4	22.4	20.8	0.9282	8.2	1257.0	11.7	202.6	0.0	0.00	81.897255	-128.90167	367.69308	1	0	e- 1256 + proton 395 + neutron 89 + proton 89 + gamma 8 + e- 8
numucc-cathode	0	mcp2k	18255	1	283591	0	1	4.1091294	-15.0	1.0	0.0	836.1	0.0	0.0000	0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	-79.58831	126.35656	26.284569	1	1	mu- 621 + proton 100
numucc-cathode	1	mcp1k	18255	1	313979	0	1	4.365408	-15.0	1.0	0.0	919.0	0.0	0.0000	0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	-18.200178	-37.298943	269.3521	1	1	mu- 607 + proton 197
numucc	0	mcp2k	18255	1	290718	0	1	4.7814665	-15.0	1.0	0.0	1250.0	0.0	0.0000	0	4.2	4.2	1.0000	2.1	4.5	85.7	35.6	54.2	0.00	-23.659105	141.73857	32.740475	1	0	mu- 1138 + neutron 3 + proton 3
numucc	1	mcp2k	18255	1	94293	0	1	4.1902246	-15.0	1.0	0.0	1516.2	0.0	0.0000	0	14.7	14.7	1.0000	35.6	3.5	82.8	145.4	27.4	0.00	-39.62617	23.266861	38.780403	1	0	mu- 1067 + pi+ 107 + mu- 37 + gamma 35 + e- 35 + gamma 32
ccpi0	0	mcp2k	18255	1	99838	0	1	4.1122046	-15.0	1.0	0.0	1507.6	4.6	0.0031	2	126.3	126.3	1.0000	125.3	103.6	67.3	32.5	3.1	0.00	90.78918	-4.304125	94.67991	1	0	mu- 1046 + pi0 126 + gamma 125 + e- 125 + gamma 103 + e- 103
ccpi0	1	mcp2k	18259	1	242726	0	1	3.6178174	-15.0	1.0	0.0	1045.7	0.0	0.0000	0	128.1	128.1	1.0000	110.6	64.6	98.6	18.4	3.0	0.00	-50.29917	114.59928	169.37204	1	1	mu- 394 + proton 355 + pi0 128 + gamma 110 + e- 110 + gamma 64
ncpi0	0	mcp2k	18255	1	57709	0	1	-0.28960234	-15.0	1.0	0.0	754.2	15.7	0.0208	4	147.9	147.9	1.0000	185.8	93.8	68.2	14.8	37.4	0.00	81.4142	-7.565081	62.06296	1	0	proton 420 + gamma 185 + e- 185 + pi0 147 + gamma 93 + e- 93
ncpi0	1	mcp2k	18259	1	176986	0	1	-0.6643695	-15.0	1.0	0.0	352.2	0.0	0.0000	0	108.4	108.4	1.0000	168.1	114.4	46.0	23.2	7.2	0.00	29.466904	15.501562	316.72537	1	0	gamma 168 + e- 168 + pi0 124 + gamma 114 + e- 114 + gamma 48
ncpi0	2	ncpi0	18255	1	180801	0	1	1.356455	-1.4411039	1.0	0.0	1329.4	13.4	0.0101	5	99.3	90.6	0.9122	164.1	292.6	23.9	28.9	0.0	0.00	-33.8715	-14.987667	445.33282	1	0	e- 292 + gamma 164 + e- 164 + e- 162 + pi0 139 + pi+ 129
cosmiclike	0	mcp2k	18259	1	180698	0	1	-5.0782146	-15.0	1.0	1.0	732.0	7.0	0.0095	6	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	-158.45943	183.2291	1.0595138	1	0	mu- 617 + gamma 8 + e- 8
cosmiclike	1	mcp2k	18255	1	99563	0	1	-5.0983915	-15.0	1.0	1.0	1346.1	0.0	0.0000	0	22.0	22.0	1.0000	14.8	22.0	75.0	32.2	32.8	0.00	-91.204414	-14.666132	1.8009182	1	0	mu- 1159 + gamma 22 + e- 22 + gamma 14 + e- 14 + gamma 13
multinu	0	mcp1k	18255	1	487303	0	2	4.288616	-15.0	1.0	0.0	502.9	0.0	0.0000	0	0.4	0.4	1.0000	1.8	1.4	14.1	19.4	52.0	0.00	132.03851	72.28931	375.8574	2	0	mu- 298 + proton 84 || proton 161 + e- 99
multinu	0	mcp1k	18255	1	487303	1	2	4.288616	-15.0	1.0	0.0	273.3	0.0	0.0000	0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	132.03851	72.28931	375.8574	2	0	mu- 298 + proton 84 || proton 161 + e- 99
multinu	1	mcp2k	18259	1	174661	0	2	3.5315852	-15.0	1.0	0.0	619.3	0.0	0.0000	0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	100.84062	40.307915	114.948364	2	0	mu- 304 + proton 200 || mu- 335
multinu	1	mcp2k	18259	1	174661	1	2	3.5315852	-15.0	1.0	0.0	456.9	0.0	0.0000	0	7.0	7.0	1.0000	4.1	4.1	117.4	149.9	6.1	0.00	100.84062	40.307915	114.948364	2	0	mu- 304 + proton 200 || mu- 335
fail-busy	0	nuecc48	18255	1	389538	0	1	4.7597985	-15.0	1.0	0.0	981.2	807.4	0.8228	26	63.8	63.8	1.0000	937.0	17.8	28.6	144.5	198.8	159.77	-97.52166	146.1065	417.33154	1	0	mu- 388 + pi+ 142 + proton 69 + gamma 43 + e- 43 + e- 23
fail-busy	1	mcp2k	18255	1	67868	0	1	2.2994354	-15.0	1.0	0.0	920.6	169.1	0.1837	21	8.5	8.8	1.0348	0.6	32.6	148.3	11.1	2.4	4.15	152.44426	44.85961	345.23953	1	0	proton 297 + mu- 261 + proton 81 + proton 70 + gamma 32 + e- 32
fail-em	0	nuecc48	18255	1	69314	0	1	3.9602425	-15.0	1.0	0.0	1496.9	51.2	0.0342	2	14.2	12.0	0.8461	71.1	3.1	47.3	0.0	44.1	35.60	-111.42242	-18.186527	164.41786	1	0	mu- 362 + proton 252 + proton 227 + pi+ 128 + e- 71 + e- 62
fail-em	1	nuecc48	18255	1	138009	0	1	-0.44828352	5.831756	1.0	0.0	1381.4	1.4	0.0010	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.00	-103.69176	161.3623	81.93808	1	0	e- 1127 + proton 222 + proton 6 + neutron 4 + proton 4
fail-em	2	nuecc48	18255	1	271851	0	1	-0.24095096	5.549643	1.0	0.0	1476.2	9.1	0.0062	1	0.5	0.7	1.4971	1.4	1.0	35.4	9.0	2.9	17.97	-156.37962	4.7344637	316.71094	1	0	e- 1211 + mu- 156
