# doc pdvd/97 -- d97_video_picks.py; skipped after visual check: pdhd:028084_26/109,pdhd:028084_26/115,pdhd:029107_26/88,pdhd:029107_3/107
det	cls	rank	key	tier	source	ratio	contrast	muon_len	ke_best	ke_region	n_dots	ncl	n_mu	n_e	n_e_free	n_gamma	stop	pf	ev_who	evidence
pdhd	dots	1	028084_21/55	0	agent:high	1.046	2.068	180.199	0.000	3.510	0	0	6	2	1	1	-31.6,542.7,334.4	mu- 123 MeV(mu- 64 MeV(mu- 70 MeV(mu- 70 MeV(mu- 40 MeV(mu- 207 MeV(gamma 0.42 MeV(e- 0.42 MeV)))))), e- 19 MeV)	agent	180 cm, enters through the top (y face 3.8 cm) near the back and stops at (-31.6, 542.7, 334.4): d_face 63.3 cm (y), 29.1 cm from the cathode, 103 cm past the APA seam, 326 cm from the anode, in APA2 but at its top, far from the y<60 corner. Not isochronous (|dx|/L = 0.32). The profile sits on a ~5.5-6e4 plateau and climbs steadily over the last ~15 cm, 8e4 -> 9-10e4 -> 1.15-1.23e5 in the last 3 cm, riding just above the muon reference curve with no collapse: a clean Bragg rise, pin left at the fit end. Nothing is attached at the stop: all three azimuths show the track ending at the star with no arm or stub, and no row within 35 cm past it, so no undershoot candidate. Two isolated 2-point specks: 287016 at 35.4 cm (cos_fwd 0.12, 34 cm off the body line) and 286015 at 41.5 cm (cos_fwd 0.53, 28 cm off the line), both compact and detached: capture gammas, which on an STM_ONLY count in any direction. f_meas (stop = high-time end, ~slice 487): U, V and W charge end there; the two specks show as lone cells; the V (5597) and W (8888) dead bands are well away. 55011 is a delta 107 cm back on the body: delta / other.
pdhd	dots	2	028084_30/111	0	owner	1.004	1.942	144.013	0.000	18.979	0	0	8	2	1	1	336.2,498.2,356.8	mu- 32 MeV(mu- 57 MeV(mu- 60 MeV(mu- 104 MeV(mu- 48 MeV(mu- 67 MeV(mu- 124 MeV(e- 7.27 MeV, mu- 47 MeV(gamma 1.01 MeV(e- 1.01 MeV)))))))))	agent	About 144 cm; enters through the top 2.7 cm from y = 606 and stops at (336.2, 498.2, 356.8): 21.8 cm from the anode face (nearest), 108 cm below the top, 334 cm from the cathode, 126 cm from the APA seam, in APA3. dQ/dx: plateau ~5-6.5e4 (ragged, one pair at 9.5e4 near 20 cm), 5-8e4 over the last 10 cm, then a textbook Bragg rise over the last ~2 cm (1.06e5 -> 1.23e5 -> 1.52e5 -> 1.63e5 -> 1.75e5 at the last point), sitting on the muon reference curve and peaking at the fit end: no overshoot (no peak-then-collapse) and the pin stays. No forward piece leaves the fit end, so no hot tip. f_meas: the track ends cleanly in all three planes, no dead channel at the end. 299040 (5 points, 2.4 cm, faint at 4452) sits 16.2 cm from the stop at cos_fwd 0.2, about 16 cm off the body line, with a clean charge-free gap to the stop in all three 3-D azimuths and in f_meas (W 9573 vs the track end at ~9538, same time slice): detached and compact, so gamma not michel under the attachment tie-break; a capture gamma on this STM_ONLY. 111016 (chain delta ray, 9.4-14.4 cm, cos_fwd -1.0) leaves the body at the 111014/111034 vertex 9.4 cm back and hugs the body line (~2 cm off it), its charge falling from 5e4 to ~0 going out: delta / other. The other seven pdg-13 rows are the muon body up to the top entry.
pdhd	attached	1	028084_0/97	0	owner	1.070	2.142	62.034	30.467	56.972	1	1	2	1	1	0	24.0,548.4,53.6	mu- 164 MeV(mu- 19 MeV(e- 30 MeV))	agent	62 cm chain, enters through the top 6.3 cm from y=606 and stops at (24.0, 548.4, 53.6), 53.4 cm from the nearest face (z), 21.5 cm from the cathode and 177 cm from the APA seam, in APA1 (x>0, z<231). The profile sits on a ragged plateau of about 5e4 (dips to 2e4 at s 15-20) and climbs over the last ~8 cm to 1.35e5 at s~2.5 along the muon reference curve, with the last points still ~1.0e5; the droop from the peak to the last point stays far above the plateau, so it is ordinary scatter, not an overshoot collapse, and the pin stays at the fit end. The hot 2.5 cm piece 97012 (1.1e5) is on the chain, cos_fwd -0.99: the Bragg peak itself, not a hot tip past the end. A 10 cm arm (97011 8.4 cm + 97001 1.7 cm, d 0-7.4, cos_fwd 0.43) leaves the stop at plateau charge (5.5-6.0e4), hooking off the muon line in all three azimuths; a muon at its Bragg peak cannot continue at MIP, so this is the Michel. Four small pieces 17-41 cm out, all 16-35 cm to +x of the body line on the Michel side, stepping down in time in f_meas away from the Michel: 279007 and 280008 (along the Michel direction) and 282010 are gamma; 281009 is +35 cm in x like the Michel but -22 in z (cos_fwd -0.36), called gamma, arguable. No dead channels at the stop in f_meas.
pdhd	attached	2	028084_1/142	0	owner	1.018	1.980	201.380	31.161	53.482	1	2	1	1	1	0	51.6,408.8,302.5	mu- 469 MeV(e- 31 MeV)	agent	201 cm single-segment chain, enters through the top 12.9 cm from y=606 and stops at (51.6, 408.8, 302.5), 160 cm from the nearest face, 49 cm from the cathode and 71.5 cm from the APA seam, in APA3. The profile rides a ragged 4-6e4 plateau (dip to 3.7e4 at s 31-35), bumps to ~9e4 at s 7-9 and climbs to ~1.2e5 (about 2x plateau) over the last 2-3 cm, on the muon curve; short but a real rise, and the last point sits at the peak, so no overshoot. A 10.8 cm arm 142003 (d 0-10.2, cos_fwd 0.81) leaves the stop at plateau charge (4-8.5e4, no climb at its far end): in f_meas the track reverses direction in time slice at the stop in U, V and W, and in the c azimuth the arm bends ~60 deg off the muon line. A muon at its Bragg peak cannot continue at MIP, so the arm is the Michel; not a hot tip (10 cm at plateau, not a couple of cm at several times it). 348001 (2 points, 12.6-12.9 cm, cos_fwd 0.68) sits on the Michel line 2.5 cm past its end: tagged michel as the electron continuation across a small break; gamma would be the alternative. 350002 is a 2-point speck 54 cm back up the muon side, ~20 cm off the body line, opposite the Michel direction: delta / other. No dead channels at the stop in any plane (W dead bands are 100+ channels away).
pdhd	both	1	028084_23/51	0	owner	1.156	2.311	348.217	14.246	25.148	0	1	4	5	5	0	-291.3,321.4,256.5	mu- 130 MeV(e- 10 MeV(e- 5.52 MeV, e- 1.27 MeV), mu- 39 MeV(mu- 278 MeV(mu- 431 MeV(e- 14 MeV), e- 3.17 MeV)))	agent	348 cm track, enters through the top 6.1 cm from y = 606, stops 66.7 cm from the nearest face (the x=-358 anode), 25.5 cm from the APA seam and 289 cm from the cathode, at x=-291, y=321, z=256, i.e. in APA2 (mid-height, not the bottom corner). The dQ/dx profile sits on a ~55k plateau and climbs over the last ~8 cm to ~1.45e5, following the muon reference curve; the last point is ~1.4e5, no collapse, so the pin stays at the fit end. A short 4.4 cm, 8-point arm (51005) leaves the stop at roughly a right angle to the body (clearest in e_3d_stop, where it runs sideways off the stop to its own vertex; cos_fwd -0.36 from being slightly behind the tangent) with mean dQ/dx 48k, i.e. at or below the plateau and falling outward (1.1e5 at the junction down to ~2e4): attached at the stop and clear of the body, not a hot tip (not straight ahead, not several times plateau), so it reads as the Michel electron, if a short one. f_meas shows measured charge ending at the stop in all three planes, no dead band there. 196021 is a 2-point 0.4 cm speck 42.8 cm out, past the stop (cos_fwd +0.37; ~14 cm forward of the stop along the body axis and ~40 cm off it), isolated and clear of the body line: gamma, since it lies on the past-the-stop side even though it is ~85 deg from the short Michel arm direction. 195020 is a degenerate 2-point row with no charge and a centroid at the origin (504 cm away): delta / other. 51012, 51013, 51008 (pdg 11 shower) and 51018 sit 174-287 cm back on the body line near the top: delta / other.
pdhd	both	2	028084_17/97	0	owner	1.111	2.214	355.329	40.732	62.960	0	1	2	2	2	0	275.7,290.1,35.0	mu- 4.77 MeV(mu- 812 MeV(e- 40 MeV), e- 3.53 MeV)	agent	355 cm of chain in APA1 (x>0, z<231): enters through the top 0.6 cm below y=606 and stops at (276,290,35), 35 cm from the nearest face (z), 82 cm from the anode, 273 cm from the cathode and 196 cm from the seam: well inside. Plateau ~50k; after a low stretch at s=10-15 (5-15k) the profile climbs steeply over the last ~8 cm right along the muon reference curve, 50-70k at s=6-7, ~100k at s=5, 125-133k at s=3, 140-143k at s=1-2, 115k at the last point: a clean Bragg rise to ~2.8x plateau, peak at the end, no collapse, so no pin move. A 14 cm curved arm (97002, 25 pts, 51k, d 0-12.9 cm, cos_fwd +0.31) leaves the stop at ~70 deg at plateau charge; in all three azimuths it is clearly off the body line and attached at the stop, and U/W f_meas show measured charge along it matching prediction (in V it runs beside a dead band at ~4447): an electron, michel. Not a hot tip (long, at plateau, not straight ahead). Specks 21-54 cm out, all 1-6 pts: 295010, 296011 (22 cm), 344013, 299012 (25-29 cm), 290007, 291008, 289006 (48-54 cm) lie in the Michel hemisphere (+x, -z, direction within ~45 deg of the arm), clear of the body line: gamma. 292009 (36 cm, cos_fwd -0.54) sits behind the stop and ~78 deg from the electron direction: delta / other. 97005 is an arm near the entry, 311-319 cm back: delta / other. No dead region at the stop in U or W.
pdhd	bare	1	028084_21/120	0	agent:high	0.840	1.668	348.052	0.000	6.460	0	0	3	2	2	0	270.9,286.9,209.4	mu- 54 MeV(e- 13 MeV, mu- 356 MeV(mu- 437 MeV, e- 4.79 MeV))	agent	348 cm, enters through the top (y face 8.3 cm) and stops at (270.9, 286.9, 209.4): d_face 87 cm (anode side, x), 279 cm from the bottom, 21.6 cm before the APA seam (not at it), 268 cm from the cathode, in APA1. Not isochronous (|dx|/L = 0.15). The profile sits on a ~5e4 plateau at 30-45 cm, climbs to 6-8e4 over 15-30 cm and 7.5-9.5e4 over 2-15 cm, then 1.0e5 and 1.37e5 in the last 1.5 cm, tracking the muon reference curve with no collapse: a clean Bragg rise, pin left at the fit end. Nothing past the stop: all three azimuths show the track ending at the star with no stub, arm or speck, and the object table has nothing within 170 cm but the muon itself, so no undershoot candidate and no capture gamma. f_meas (stop = low-time end, ~slice 745): U, V and W charge all end there; the V dead band at ~4800 is ~38 channels beyond the stop while U and W stay live and empty, so the end is not a dead-band artifact; the horizontal lines at slice ~875 are the fit polyline crossing the wrap boundary at the far edge. 120011 and 120018 are a delta and an unclassified arm 170-309 cm back on the body: delta / other. One other-flash blob is hidden, but the call rests on the rise, not rule 3.
pdhd	bare	2	028084_18/104	0	agent:high	0.691	1.345	351.147	0.000	24.668	0	0	6	3	3	0	296.9,385.7,134.8	mu- 378 MeV(mu- 69 MeV(e- 5.47 MeV, mu- 50 MeV(e- 4.82 MeV, mu- 4.25 MeV(e- 4.75 MeV, mu- 382 MeV(mu- 26 MeV)))))	agent	351 cm chain, enters just below the top (y face 11.2 cm) and stops at (296.9, 385.7, 134.8) in APA1. The stop is 55 cm from the anode face, 96 from the seam, 135 from the front face, 220 below the top and 297 from the cathode. It is the lower end (dy = -209), so rule 7 is satisfied. dQ/dx: the plateau is ~55-65k over 15-45 cm. Over the last ~10 cm it climbs to ~70-80k, with 87-91k at 4-5 cm and ~77-85k at the fit end, tracking just under the muon curve: a rise of about 1.5x. Past the fit end the only piece is S104026, 3.6 cm straight ahead (cos_fwd 0.98, attached; the chain could not classify it) at 102k mean, rising from ~93k at the fit end to ~108k at its far end. A forward piece above the plateau with charge climbing outward is the muon own last cm, not an electron (an electron starts at or below plateau), so it is tagged muon and the true stop is at its far end, ~3.6 cm past the fit end. Nothing else within 149 cm of the stop: every other row is a delta or muon piece 149-340 cm back near the top. f_meas: the track own charge ends in U (the end hooks near-vertically) and in W with nothing past it. In V the end sits against a pair of dead channels (~4505-4510), but U and W show no continuation, and the grey tracks in U and V are separate objects crossing elsewhere. No decay activity at the true stop.
pdvd	dots	1	039349_48/58	0	pdvd-record:high	1.124	2.147	265.448	0.507	6.833	1	1	4	2	1	1	38.4,135.7,166.0	mu- 33 MeV(mu- 63 MeV(mu- 547 MeV(e- 13 MeV, mu- 40 MeV(gamma 0.51 MeV(e- 0.51 MeV)))))	pdvd-record:high	265 cm chain entering 0.3 cm from the z face and ending 132.4 cm from the nearest wall, deeply contained. This is the cleanest Bragg in my chunk: a 5.3e4 plateau beyond s=40 climbing smoothly along the solid muon curve through 6.0e4 at s=20, 6.7-7.5e4 at s=10-18, 8.7-9.0e4 at s=6-13, 9.5-1.02e5 at s=3-4, 1.14-1.22e5 at s=1.5-2.5 and 1.39e5 at s=0.5, with the row mean for the last segment 58015 quoted at 1.05e5 over its 7.8 cm. The rise is monotone over 20 cm and the peak is at the origin, so the pin does not move and no undershoot applies (nothing sits forward of the fit end at several times MIP). Past the stop there is exactly one thing: 222018, two points spanning 0.3 cm, 9.3 cm from the stop, 7.3 cm past it and 5.7 cm off the entry-stop chord, carrying 2.0e4 e/cm and 0.5 MeV, and the chain itself records that it was bridged to the stop vertex across 9.11 cm of EMPTY space rather than by a graph edge. f_meas confirms the gap: in all three planes the speck is a single isolated brown dot at time slice 1058 with a clean charge-free break below it before the track s own hits resume at 1040. That is the rubric s attachment tie-break in its literal form -- a 0.3 cm two-point speck across a 9 cm gap is not a 35 MeV electron -- so it is a detached dot, gamma, not a michel, and the verdict stays STM_ONLY. 220017 is the second dot, two points over 4.5 cm, 41.6 cm out, 17.6 cm past the stop and 37.6 cm off the chord; I measured it at 42 degrees from 222018 as seen from the stop, i.e. on the same side of the stop as the decay charge rather than scattered in an unrelated direction, and charge is explicitly not a criterion for a faint speck at 40 cm, so gamma as well. 58010 is the one thing close and backward: 10 points over 5.5 cm, 4.0 cm back along the muon, 3.3 cm off the chord at cos_fwd -0.87, and the chain body-excludes it as pdg 11 -- that is the delta / other rule almost word for word. Two gammas and no michel gives detached dots.
pdvd	dots	2	039349_17/52	0	pdvd-record:high	1.094	2.257	85.762	0.000	9.253	0	0	1	1	0	1	272.2,-127.8,37.8	mu- 222 MeV(gamma 2.06 MeV(e- 2.06 MeV))	pdvd-record:high	85.8 cm chain in one fitted segment (52003, 145 pts, mean 56941). It enters exactly at the anode x face (d_face 0.0) and stops 37.0 cm from the z wall, 68 cm from the anode, in_fv 1. The Bragg is the cleanest in my chunk: the profile sits on a 4.5-6.5e4 band out beyond s = 20 and then tracks the muon reference curve point for point over the last 15 cm - 6.5e4 at s = 13, 8.0e4 at s = 8, 9.0e4 at s = 5, 1.00e5, 1.12e5, 1.18e5 and 1.23e5 at the last point - a factor of two above its own plateau, the right shape, and topping out just where the rubric says real stoppers top out. This is the one item where the chain agrees: is_stm 1. Two objects sit past the stop, and both are compact detached dots, each two points and 0.3 cm across, each drawn as an isolated marker clear of the amber body in c, d and e and each visible as a genuine isolated blob in all three f_meas planes (times 812 and 848 against the track end at 805), so they are measured charge and not fit artefacts. 93004 sits 17.6 cm out at cos_fwd +0.5 carrying 78784 e/cm and the chain independently calls it a capture gamma of 2.06 MeV; 94005 sits 11.0 cm out at cos_fwd -0.21, i.e. essentially sideways, so about 11 cm clear of the muon body line, carrying 15551 e/cm. Neither is an electron: the rubric is explicit that a 0.3 cm two-point speck across a gap of this size is not a 35 MeV electron, and there is no arm of any kind leaving the stop (n_stop_arms 0, no unfitted clusters). So both are gamma, the verdict stays STM_ONLY rather than STM_MICHEL - isolated capture gammas do not promote it - and michel_kind is detached dots.
