fileidx	file	entry	run	subrun	event
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	0	719	45	3
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	1	719	45	10
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	2	719	45	12
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	3	719	45	17
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	4	719	45	19
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	5	719	45	22
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	6	719	45	25
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	7	719	45	30
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	8	719	45	32
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	9	719	45	33
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	10	719	45	34
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	11	719	45	35
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	12	719	45	37
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	13	719	45	40
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	14	719	45	41
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	15	719	45	42
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	16	719	45	45
000	reco1-detsim-g4-gen-Gen2_2026-0252-9914-bf88-bb4e.root	17	719	45	48
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	0	713	45	1
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	1	713	45	6
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	2	713	45	10
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	3	713	45	12
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	4	713	45	15
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	5	713	45	25
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	6	713	45	26
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	7	713	45	28
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	8	713	45	30
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	9	713	45	31
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	10	713	45	33
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	11	713	45	38
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	12	713	45	45
001	reco1-detsim-g4-gen-Gen2_2026-033e-4d13-f6c0-c816.root	13	713	45	47
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	0	713	58	2
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	1	713	58	4
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	2	713	58	5
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	3	713	58	9
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	4	713	58	11
002	reco1-detsim-g4-gen-Gen2_2026-03ed-82a9-41d5-4645.root	5	713	58	19
