# PDHD drift field / diffusion vs assumed LAr temperature; generated by pdhd/stm/pdhd_transport.py (BNL lar.bnl.gov/properties parameterisation)
T_K	v_mm_us	E_kVcm	E_larsoft	mu_cm2Vs	epsL_eV	DL_cm2s	DT_cm2s	DL_oldfit	DT_oldfit
87.30	1.57600	0.4895	0.4866	322.0	0.01283	4.129	8.177	6.608	13.087
87.30	1.56500	0.4828	0.4796	324.2	0.01274	4.129	8.132	6.604	13.006
87.30	1.58500	0.4951	0.4925	320.2	0.01290	4.130	8.214	6.612	13.152
87.30	1.60000	0.5045	0.5024	317.2	0.01302	4.131	8.277	6.619	13.262
87.68	1.57600	0.4959	0.4942	317.8	0.01297	4.121	8.202	6.599	13.133
87.68	1.56500	0.4890	0.4870	320.0	0.01288	4.120	8.156	6.594	13.053
87.68	1.58500	0.5016	0.5002	316.0	0.01304	4.121	8.239	6.602	13.199
87.68	1.60000	0.5111	0.5103	313.0	0.01317	4.123	8.303	6.608	13.309
88.00	1.57600	0.5013	0.5007	314.4	0.01309	4.114	8.223	6.590	13.173
88.00	1.56500	0.4944	0.4933	316.6	0.01299	4.113	8.177	6.585	13.092
88.00	1.58500	0.5071	0.5068	312.6	0.01316	4.114	8.261	6.594	13.239
88.00	1.60000	0.5168	0.5172	309.6	0.01329	4.116	8.325	6.600	13.349
