evt	seg_id	cluster_id	is_main	npts	neg_len_cm	pos_len_cm	x_cross	turn_skirt3_L15	dqdx_mip_neg	dqdx_mip_pos	dist_to_main_vertex_cm	crit_fired	crit_which	crit_best_refl	crit_best_sum
315497	14000	14	0	558	258.60	77.26	0.700	nan	nan	nan	3.2	1	C1C3	42.32	28.05
316729	8003	8	1	188	12.60	100.47	0.731	nan	nan	nan	98.2	0	-	19.58	13.50
349549	12001	12	1	70	37.20	5.44	-0.790	107.8	2.14	0.92	4.6	1	C1C3	43.55	28.72
350297	18009	18	1	49	18.60	12.24	1.150	nan	nan	nan	11.8	0	-	16.55	11.99
352233	6000	6	1	241	70.20	74.35	-0.573	3.6	1.26	1.16	68.4	0	-	15.32	10.86
353223	15003	15	1	73	27.00	17.81	-0.465	5.0	1.19	1.71	24.8	1	C1C3	30.74	18.76
353751	10003	10	1	205	79.20	44.02	0.525	nan	nan	nan	43.5	0	-	25.99	17.95
392552	12000	12	1	405	198.00	46.53	-0.496	8.5	1.28	0.98	192.9	0	-	15.20	9.01
395610	22000	22	0	347	181.80	27.83	-0.461	4.5	1.25	0.63	138.0	0	-	19.04	17.50
395654	15001	15	1	342	137.40	68.65	-0.508	3.4	1.20	1.28	64.6	0	-	18.16	13.32
399118	16010	16	0	151	18.60	73.92	1.033	nan	nan	nan	19.4	0	-	18.84	16.43
404244	12015	12	1	182	54.60	56.51	-0.701	1.8	1.31	1.09	60.7	0	-	15.92	11.35
404684	9001	9	1	127	32.40	44.72	-0.477	3.5	0.86	2.21	29.3	0	-	22.59	16.84
406796	11001	11	1	154	32.40	60.30	0.946	nan	nan	nan	32.0	0	-	23.69	15.42
407280	16005	16	1	348	27.60	183.28	1.035	nan	nan	nan	325.8	0	-	22.22	16.81
409634	21003	21	0	46	22.80	5.43	0.963	nan	nan	nan	52.6	1	C1C2C3	67.69	45.92
409634	21005	21	0	15	4.80	4.85	0.708	nan	nan	nan	52.9	1	C1C2C3	75.30	53.05
488139	14006	14	1	232	25.20	118.49	1.661	nan	nan	nan	114.9	0	-	9.16	7.35
489327	19015	19	1	641	34.80	353.56	1.683	nan	nan	nan	343.3	0	-	13.76	7.67
492913	15000	15	1	103	30.60	33.94	0.511	nan	nan	nan	32.0	0	-	16.14	12.65
51051	19001	19	1	420	217.20	35.78	1.327	nan	nan	nan	35.1	0	-	14.99	10.48
52085	6001	6	1	228	35.40	102.18	-0.938	36.8	2.49	1.31	35.0	0	-	22.65	18.72
53427	14002	14	1	334	28.80	173.19	1.572	nan	nan	nan	27.2	0	-	18.00	12.14
56463	14005	14	1	513	72.60	236.41	-0.549	3.9	1.09	1.10	232.7	0	-	13.92	9.37
57575	12000	12	1	494	115.20	181.94	0.806	nan	nan	nan	174.2	0	-	21.60	16.48
58321	19001	19	1	338	124.80	79.58	-0.894	6.7	1.16	1.05	76.1	0	-	16.16	10.77
59003	19000	19	1	523	150.60	164.36	-0.657	3.6	1.18	0.68	156.7	0	-	23.30	20.44
59025	19004	19	1	237	65.40	77.88	1.616	nan	nan	nan	198.9	0	-	11.27	8.98
59247	15004	15	1	263	10.20	148.39	0.622	nan	nan	nan	13.5	0	-	7.29	4.42
60933	18003	18	1	241	33.00	111.96	0.800	nan	nan	nan	109.0	0	-	8.71	5.93
61579	20000	20	1	266	44.40	115.74	0.916	nan	nan	nan	42.6	0	-	22.38	16.48
63603	13006	13	1	123	45.60	28.39	0.462	nan	nan	nan	44.5	0	-	16.75	11.08
