baseline_cm	length_bucket	bin_lo	bin_hi	count
15.0	short	0	10	90
15.0	short	10	20	63
15.0	short	20	25	22
15.0	short	25	30	9
15.0	short	30	35	6
15.0	short	35	40	11
15.0	short	40	45	5
15.0	short	45	50	3
15.0	short	50	55	1
15.0	short	55	60	8
15.0	short	60	999	6
15.0	mid	0	10	45
15.0	mid	10	20	42
15.0	mid	20	25	15
15.0	mid	25	30	5
15.0	mid	30	35	5
15.0	mid	35	40	1
15.0	mid	40	45	1
15.0	mid	45	50	1
15.0	mid	50	55	1
15.0	mid	55	60	0
15.0	mid	60	999	3
15.0	long	0	10	68
15.0	long	10	20	121
15.0	long	20	25	36
15.0	long	25	30	26
15.0	long	30	35	11
15.0	long	35	40	15
15.0	long	40	45	9
15.0	long	45	50	4
15.0	long	50	55	1
15.0	long	55	60	4
15.0	long	60	999	3
35.0	short	0	10	90
35.0	short	10	20	64
35.0	short	20	25	21
35.0	short	25	30	9
35.0	short	30	35	7
35.0	short	35	40	10
35.0	short	40	45	5
35.0	short	45	50	3
35.0	short	50	55	1
35.0	short	55	60	8
35.0	short	60	999	6
35.0	mid	0	10	44
35.0	mid	10	20	44
35.0	mid	20	25	13
35.0	mid	25	30	7
35.0	mid	30	35	3
35.0	mid	35	40	2
35.0	mid	40	45	1
35.0	mid	45	50	1
35.0	mid	50	55	1
35.0	mid	55	60	0
35.0	mid	60	999	3
35.0	long	0	10	66
35.0	long	10	20	128
35.0	long	20	25	27
35.0	long	25	30	29
35.0	long	30	35	13
35.0	long	35	40	14
35.0	long	40	45	8
35.0	long	45	50	1
35.0	long	50	55	2
35.0	long	55	60	5
35.0	long	60	999	5
