sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand
ncpi0	18625	NEARBY	-1	9	68026.8	0.0012	0.7	0.35	92.9	nan	201.8	29.3	115.2	10	UNMATCHED	9	1000000	0.3	6992	57702273.1
ncpi0	21073	UNHELD	1	9	96409.0	0.0017	1.4	0.47	26.9	3.1	-32.3	27.0	390.8	-1	OWN	0	0	0.0	7364	57693419.1
ncpi0	21073	NEARBY	-1	5	25878.7	0.0004	2.8	0.0	21.1	nan	-27.4	16.8	381.8	46	COMPANION	5	0	3.7	7364	57693419.1
ncpi0	21073	NEARBY	-1	19	118923.1	0.0021	5.7	0.45	23.8	nan	-32.8	14.6	386.8	58	COMPANION	19	0	1.6	7364	57693419.1
ncpi0	37112	NEARBY	-1	15	58034.3	0.0013	1.1	0.36	58.3	nan	-179.7	77.8	64.9	42	COMPANION	15	0	1.1	3937	43556407.8
ncpi0	56982	NEARBY	-1	17	53001.2	0.001	1.1	0.34	31.7	nan	-79.4	-129.9	410.6	64	COMPANION	17	3	1.2	5565	52643700.4
ncpi0	71372	UNHELD	0	80	576851.2	0.004	4.4	1.66	24.9	3.0	-164.6	-164.9	250.7	-1	OWN	0	0	0.0	15731	144270903.2
ncpi0	71372	UNHELD	2	11	34160.0	0.0002	1.8	0.25	35.5	3.2	-161.9	-142.4	257.1	-1	OWN	0	0	0.0	15731	144270903.2
ncpi0	71372	UNHELD	3	60	218780.1	0.0015	3.6	1.06	105.6	3.1	-141.0	-137.6	327.7	-1	OWN	0	0	0.0	15731	144270903.2
ncpi0	71372	NEARBY	-1	11	70571.2	0.0005	0.9	0.36	23.5	nan	-147.6	-168.9	214.7	95	COMPANION	11	0	1.1	15731	144270903.2
ncpi0	84229	UNHELD	0	11	45489.2	0.0009	1.1	0.34	61.4	3.1	118.3	154.3	433.7	-1	OWN	0	0	0.0	5880	51783341.7
ncpi0	105946	UNHELD	0	35	637256.5	0.0114	2.5	0.61	23.4	3.0	-130.8	-129.7	418.6	-1	OWN	0	0	0.0	4414	56069034.5
ncpi0	142421	NEARBY	-1	2	10469.0	0.0001	0.0	0.0	142.5	nan	201.8	-2.1	303.0	6	UNMATCHED	2	1000000	0.3	12590	96951010.2
ncpi0	180801	UNHELD	0	9	56502.0	0.0015	2.1	0.2	8.7	3.1	-36.2	-21.2	451.2	-1	OWN	0	0	0.0	4933	38238542.0
ncpi0	180801	NEARBY	-1	3	5866.9	0.0002	0.9	0.27	44.5	nan	-24.5	0.9	403.4	60	COMPANION	3	2	3.8	4933	38238542.0
ncpi0	180801	NEARBY	-1	61	374043.8	0.0098	4.3	0.64	45.8	nan	-20.8	4.0	402.5	111	COMPANION	61	2	4.5	4933	38238542.0
ncpi0	259542	UNHELD	0	39	266497.0	0.0045	2.8	0.6	81.3	3.1	109.6	-6.7	83.6	-1	OWN	0	0	0.0	6388	58795573.9
ncpi0	259542	UNHELD	2	9	68903.7	0.0012	1.3	0.5	92.3	3.0	108.3	13.1	70.8	-1	OWN	0	0	0.0	6388	58795573.9
ncpi0	259542	NEARBY	-1	16544	108012719.2	1.8371	199.5	16.31	49.2	nan	74.3	-41.8	115.9	12	UNMATCHED	16544	1000003	3.3	6388	58795573.9
ncpi0	259542	NEARBY	-1	4280	26573156.6	0.452	272.4	1.71	47.9	nan	82.1	45.4	128.7	21	UNMATCHED	4280	1000001	4.1	6388	58795573.9
ncpi0	259542	NEARBY	-1	18	87984.3	0.0015	1.0	0.46	69.1	nan	110.2	-2.7	97.7	77	UNMATCHED	18	1000000	3.5	6388	58795573.9
ncpi0	259542	NEARBY	-1	47	517616.7	0.0088	2.4	0.65	71.3	nan	109.5	6.1	92.6	123	UNMATCHED	47	1000000	1.5	6388	58795573.9
ncpi0	285567	NEARBY	-1	2	1158.0	0.0	0.0	0.0	333.2	nan	-0.7	22.9	13.2	15	UNMATCHED	2	1000000	0.4	6909	63697341.9
ncpi0	314838	NEARBY	-1	1	3901.3	0.0001	0.0	0.0	119.8	nan	39.6	197.8	251.4	103	UNMATCHED	1	1000001	1.5	5362	41949775.7
ncpi0	399860	UNHELD	0	126	1068412.2	0.0157	8.4	1.2	23.0	3.0	-33.5	-87.5	437.4	-1	OWN	0	0	0.0	6872	68021369.0
ncpi0	399860	UNHELD	1	7	67719.4	0.001	1.4	0.28	38.7	3.0	-33.6	-94.1	444.2	-1	OWN	0	0	0.0	6872	68021369.0
ncpi0	399860	UNHELD	2	32	386379.0	0.0057	3.3	0.75	13.8	3.1	-33.4	-79.6	424.6	-1	OWN	0	0	0.0	6872	68021369.0
ncpi0	506114	UNHELD	0	69	507901.0	0.0037	5.9	0.57	83.8	3.0	126.7	-7.3	255.3	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	1	264	4573807.2	0.0331	6.9	1.26	45.8	3.0	124.6	-5.5	218.1	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	2	14	58739.8	0.0004	1.2	0.45	83.4	3.0	131.3	-9.9	250.8	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	4	12	94521.2	0.0007	1.3	0.55	81.7	3.0	126.4	-8.4	249.5	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	5	6	40795.0	0.0003	1.7	0.36	68.2	3.2	126.4	-26.3	234.9	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	7	17	119612.7	0.0009	1.7	0.64	63.5	3.1	126.1	-28.8	229.7	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	8	90	1534926.0	0.0111	4.6	0.99	52.2	3.0	125.1	-27.1	223.2	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	UNHELD	11	6	62866.3	0.0005	0.7	0.26	70.7	3.0	122.4	-13.3	238.5	-1	OWN	0	0	0.0	12577	138258188.1
ncpi0	506114	NEARBY	-1	3	14588.6	0.0001	0.8	0.42	84.9	nan	135.0	-6.4	251.1	54	UNMATCHED	3	1000000	1.5	12577	138258188.1
ncpi0	521075	UNHELD	0	73	674570.7	0.014	4.9	0.98	27.1	3.0	-87.5	-26.7	474.5	-1	OWN	0	0	0.0	5299	48343461.9
ncpi0	521075	UNHELD	5	76	1264631.5	0.0262	3.5	1.01	32.6	3.0	-87.7	-50.3	478.0	-1	OWN	0	0	0.0	5299	48343461.9
ncpi0	521075	UNHELD	6	34	386216.0	0.008	1.9	0.92	17.2	3.1	-88.0	-29.8	463.6	-1	OWN	0	0	0.0	5299	48343461.9
ncpi0	521075	UNHELD	7	35	232108.0	0.0048	1.6	0.71	47.3	3.0	-85.8	-46.8	492.3	-1	OWN	0	0	0.0	5299	48343461.9
ncpi0	521075	NEARBY	-1	32	153131.3	0.0032	2.3	0.45	55.2	nan	-85.7	-40.8	500.7	7	COMPANION	32	7	0.7	5299	48343461.9
ncpi0	521075	NEARBY	-1	2	1964.0	0.0	0.0	0.0	331.6	nan	201.1	-45.8	282.5	26	COMPANION	2	7	0.4	5299	48343461.9
ncpi0	521075	NEARBY	-1	2	8476.4	0.0002	0.0	0.0	26.9	nan	-85.2	-29.5	472.0	95	COMPANION	2	7	2.0	5299	48343461.9
