sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand
mcp2k	286296	NEARBY	-1	57	412737.7	0.1183	20.0	1.05	0.7	nan	-201.7	-96.6	53.9	11	COMPANION	57	0	0.3	323	3489124.6
mcp2k	286489	NEARBY	-1	2	44182.0	0.0057	0.0	0.0	32.4	nan	-201.7	-169.7	130.1	4	COMPANION	2	0	0.4	578	7819524.8
mcp2k	287332	NEARBY	-1	1	14414.0	0.0033	0.0	0.0	1.3	nan	58.4	166.3	0.6	7	UNMATCHED	1	1000005	0.6	597	4328622.8
mcp2k	287374	NEARBY	-1	8	37229.1	0.005	0.7	0.3	119.0	nan	-131.8	-193.5	500.7	3	COMPANION	8	0	0.3	1060	7457575.5
mcp2k	287794	NEARBY	-1	8	25564.1	0.002	0.5	0.25	120.7	nan	-106.7	-169.7	500.7	4	COMPANION	8	4	0.3	1898	12823198.1
mcp2k	288012	NEARBY	-1	6	19301.0	0.0008	1.2	0.19	134.2	nan	-201.8	99.0	223.9	5	COMPANION	6	2	0.3	1729	24544857.7
mcp2k	289246	NEARBY	-1	21	121415.5	0.0058	2.1	0.34	174.3	nan	-130.8	196.5	468.6	62	COMPANION	21	7	0.7	2536	20978831.6
mcp2k	289508	NEARBY	-1	18	47715.1	0.0014	7.8	1.22	19.9	nan	-135.0	25.7	500.7	5	COMPANION	18	2	0.0	2843	33530665.5
mcp2k	290542	NEARBY	-1	1990	23778772.2	0.9627	118.8	1.29	71.8	nan	-70.0	114.5	444.9	17	OTHER	1990	4	3.1	3231	24700356.6
mcp2k	290588	NEARBY	-1	8	20514.0	0.0011	1.0	0.18	46.9	nan	-83.7	169.0	195.8	93	COMPANION	8	1	0.9	1466	19350321.7
mcp2k	290654	NEARBY	-1	479	7985513.3	0.2539	35.6	0.45	104.3	nan	-41.5	164.8	469.8	24	OTHER	479	3	4.4	4795	31446464.6
mcp2k	290718	NEARBY	-1	8	25568.4	0.0006	0.4	0.2	475.1	nan	-107.4	141.7	500.7	7	COMPANION	8	6	0.8	8223	44147375.9
mcp2k	292524	NEARBY	-1	11	18321.0	0.0006	1.3	0.24	169.8	nan	201.6	152.5	309.4	8	UNMATCHED	11	1000000	0.3	4393	32892354.7
mcp2k	293536	NEARBY	-1	15	34274.6	0.004	15.0	0.39	25.7	nan	3.8	185.9	128.7	7	COMPANION	15	6	0.3	930	8569466.9
mcp2k	293734	NEARBY	-1	16	84477.1	0.0188	54.6	0.27	34.1	nan	-152.1	-188.9	500.7	1	COMPANION	16	4	0.2	651	4490673.5
mcp2k	294174	NEARBY	-1	6	26262.2	0.0006	0.6	0.22	28.3	nan	126.1	-23.2	186.7	58	UNMATCHED	6	1000001	1.1	6514	45877167.7
mcp2k	316021	UNHELD	0	9	46629.3	0.0014	1.8	0.49	58.0	3.5	-57.9	-45.8	62.8	-1	OWN	0	0	0.0	4055	32774233.5
mcp2k	316987	NEARBY	-1	21250	235344318.8	14.8563	227.9	28.4	32.1	nan	-133.6	-14.4	283.0	1	OTHER	21250	1	0.6	2224	15841358.6
mcp2k	317911	NEARBY	-1	5	19563.6	0.0049	2.0	0.66	1.1	nan	171.5	134.2	0.4	14	UNMATCHED	5	1000007	0.3	581	3990936.6
mcp2k	318703	NEARBY	-1	8	24548.8	0.0009	0.5	0.21	266.9	nan	-123.3	33.2	500.7	4	COMPANION	8	1	0.0	4272	26215203.8
mcp2k	318769	NEARBY	-1	16	76388.0	0.0019	1.6	0.39	40.6	nan	158.7	-24.1	264.9	112	UNMATCHED	16	1000006	1.2	3853	40350041.8
mcp2k	318769	NEARBY	-1	10	60794.0	0.0015	0.6	0.19	44.2	nan	150.9	-19.1	254.8	130	UNMATCHED	10	1000006	3.1	3853	40350041.8
mcp2k	319475	NEARBY	-1	11	61837.4	0.0031	0.6	0.28	35.6	nan	150.6	135.2	293.7	59	UNMATCHED	11	1000000	1.4	1426	19698671.3
mcp2k	319913	NEARBY	-1	8	27707.7	0.0056	0.6	0.2	49.8	nan	-0.2	-112.2	354.8	1	COMPANION	8	6	0.3	711	4971268.2
mcp2k	320289	NEARBY	-1	9	45273.0	0.0071	0.6	0.29	62.0	nan	-138.7	-164.1	272.7	71	COMPANION	9	8	1.3	785	6398788.3
mcp2k	321235	NEARBY	-1	5	51557.6	0.0017	0.7	0.22	3.2	nan	64.7	34.5	0.4	5	UNMATCHED	5	1000000	2.6	4158	30214775.2
mcp2k	321235	NEARBY	-1	1	696.9	0.0	0.0	0.0	0.8	nan	60.5	33.6	0.6	9	UNMATCHED	1	1000000	0.7	4158	30214775.2
mcp2k	321235	NEARBY	-1	138	2159616.7	0.0715	10.3	0.43	4.3	nan	73.5	36.2	2.8	17	UNMATCHED	138	1000000	3.7	4158	30214775.2
mcp2k	321367	NEARBY	-1	3	18130.0	0.0008	0.6	0.07	2.0	nan	16.0	66.9	458.4	34	UNMATCHED	3	1000002	0.9	2205	22206442.0
mcp2k	321849	NEARBY	-1	9	32504.9	0.0012	1.7	0.38	32.7	nan	201.8	79.0	42.5	13	UNMATCHED	9	1000001	0.4	3558	28097035.0
mcp2k	322135	UNHELD	0	213	1167585.9	0.0257	11.0	2.08	150.1	3.3	-149.2	138.9	169.5	-1	OWN	0	0	0.0	8598	45417568.7
mcp2k	322135	UNHELD	1	22	131550.8	0.0029	6.0	0.43	142.1	3.1	-149.0	148.1	154.2	-1	OWN	0	0	0.0	8598	45417568.7
