bracket_ms	npoints	nsegs14
12	284	12
2	89	4
5	145	6
23	409	17
13	295	11
5	153	6
3	140	6
7	304	13
8	308	13
4	148	6
2	89	4
49	593	24
32	507	20
7	190	8
25	425	18
5	227	8
21	384	16
8	210	9
9	233	10
22	392	16
12	288	11
12	295	11
8	223	9
5	167	7
4	150	6
8	227	9
17	357	15
8	229	9
3	105	4
7	213	9
4	142	6
16	332	13
5	174	7
17	339	14
7	207	9
6	163	7
78	804	33
9	202	8
3	133	5
5	166	7
7	206	8
7	270	11
18	362	15
7	202	8
3	147	6
17	355	14
4	148	6
39	503	21
1	88	4
5	168	7
4	153	6
9	217	9
13	295	12
5	224	9
12	273	11
3	116	5
5	203	8
13	292	12
24	421	17
9	234	9
6	193	8
8	221	9
5	243	10
7	209	8
9	228	9
6	236	10
3	134	5
29	478	19
28	459	18
1	70	3
3	114	5
4	126	5
5	169	7
6	254	10
28	464	19
6	191	8
4	161	7
32	509	20
17	337	14
16	328	13
44	580	24
2	109	4
2	73	3
8	213	9
1	68	3
6	170	7
9	233	10
10	240	10
0	71	3
2	93	4
7	205	8
9	230	9
3	133	5
7	204	8
4	138	6
22	408	16
2	105	4
9	234	10
5	167	7
17	362	15
3	129	5
3	118	5
5	183	7
11	278	12
5	221	9
1	68	3
3	120	5
18	368	14
6	175	7
5	151	6
11	263	11
44	591	24
1	80	3
13	452	18
2	112	4
14	313	13
3	119	5
12	272	11
26	437	18
2	101	4
5	182	8
1	96	4
25	428	17
3	126	5
5	162	7
2	136	5
4	134	6
18	359	15
6	201	8
2	131	5
9	255	10
2	132	5
6	185	7
19	374	15
6	253	10
24	399	16
8	218	9
25	428	17
18	355	14
7	203	8
2	95	4
3	113	5
46	601	25
3	121	5
1	88	3
5	213	9
2	98	4
2	75	3
25	441	18
13	303	12
14	313	13
25	430	18
25	423	16
7	203	8
4	153	6
0	71	3
4	205	9
7	207	8
32	475	19
8	327	13
7	205	8
54	650	26
3	152	6
4	174	7
12	295	12
21	405	17
57	690	28
1	82	3
37	538	21
9	246	10
3	152	6
17	347	14
16	347	14
3	111	5
30	459	19
9	234	10
10	252	10
10	258	10
9	352	14
2	80	3
12	276	11
2	96	4
24	396	16
27	439	18
3	129	5
3	160	6
2	91	4
6	282	11
6	174	7
5	164	6
3	122	5
5	185	7
4	149	6
11	260	11
3	153	6
10	257	11
14	320	13
3	154	6
3	145	6
1	68	3
4	190	8
2	92	4
13	298	12
1	78	3
32	494	19
8	204	8
7	232	10
14	302	12
48	651	26
1	72	3
15	314	13
3	126	5
3	135	6
11	404	16
1	80	3
14	315	13
2	91	4
22	420	17
2	112	5
3	173	7
5	171	7
2	103	4
6	191	8
7	312	13
14	310	13
1	72	3
16	334	14
8	318	13
14	313	13
2	122	5
22	407	17
5	171	7
1	78	3
9	360	15
6	187	8
3	150	6
2	92	4
5	248	10
1	82	3
5	156	6
36	530	21
8	237	10
7	194	8
9	249	10
4	198	8
4	149	6
2	116	5
5	171	7
2	118	5
3	175	7
9	232	10
1	79	3
3	122	5
8	238	10
48	602	25
10	252	10
3	156	6
4	221	9
5	177	7
4	170	7
3	169	7
16	328	13
2	101	4
33	506	20
5	153	6
1	75	3
5	164	7
12	274	11
2	121	5
5	179	7
1	86	3
4	142	6
4	151	6
7	194	8
2	125	5
3	109	4
2	122	5
2	107	4
8	234	9
4	151	6
5	158	6
2	118	5
11	257	10
15	326	13
3	123	5
5	159	7
22	409	16
3	116	5
35	516	21
5	161	7
