evt	segid	cid	row	ke_mcs	ke_range_tk	ratio	amb	nseg14	sel_len	cdrop	bragg_contrast	frag_min_dist_cm	maskmax_ke_MCS	replay_verified
287621	6007	6	0	656.9715576171875	155.2	4.233064159904559	0.9330470561981201	4	55.0	0	1.559142033483065	0.0	944.9556683594463	True
57441	20000	20	0	858.5795288085938	255.4	3.361705281161291	0.8970951437950134	7	101.9	1	0.9887719493765912	-1	845.0371818449229	False
402880	9003	9	0	543.2567749023438	192.6	2.82064784476814	0.8303783535957336	5	72.4	0	2.3486982307915203	65.05656325948412	830.5521915051924	True
352233	6000	6	0	624.8666381835938	235.7	2.651110047448425	0.9000215530395508	6	92.6	2	1.2221772975693268	4.83135247303731	362.81575990729823	False
285971	7009	7	0	708.0679321289062	280.9	2.5207117555318845	0.7724390029907227	8	113.9	0	2.764594553941213	0.0	962.6491365693191	True
174422	18000	18	0	816.8184204101562	324.2	2.5194892671503895	0.85951828956604	9	134.2	1	1.1873022836187004	-1	1277.87042933581	False
285311	11003	11	0	298.5871276855469	125.3	2.3829778745853702	0.9238483905792236	3	41.5	0	2.290146649908528	0.0	352.12472101903757	True
63427	18002	18	0	297.1043701171875	131.6	2.2576319917719414	0.9151694774627686	3	44.3	0	2.6810497137351215	0.0	288.7348422341616	True
283040	2008	2	0	412.2078552246094	185.3	2.224543201428005	0.9148566126823425	5	69.0	0	1.245042670172181	0.0	293.93626899550117	False
486247	7002	7	0	280.03924560546875	135.8	2.0621446657251012	0.950799822807312	3	46.2	1	1.8874292098166576	23.794875817275148	531.0112551221142	False
394796	15001	15	0	722.065673828125	352.3	2.049576139165839	0.6977012753486633	10	147.3	1	1.1734095512806029	0.0	722.393002014891	False
406796	11000	11	0	477.058837890625	235.1	2.0291741296921524	0.9251827001571655	6	92.4	2	2.697831871878974	0.0	218.00693311892078	False
399856	3002	3	0	279.0274658203125	138.0	2.0219381581182065	0.914691686630249	3	47.2	0	1.0026347770158603	0.0	205.29980666028908	False
315013	15019	15	0	542.7193603515625	269.9	2.0108164518398017	0.7880293130874634	8	108.7	0	1.0006673279693763	0.0	628.316168086946	True
291570	17000	17	0	977.9383544921875	511.0	1.913773687851639	0.7716817259788513	14	220.1	0	0.9915401893981548	214.0205650672722	720.5547622525203	False
412208	7001	7	0	292.5450744628906	154.6	1.892270856810418	0.86928790807724	4	54.7	0	2.442300062387206	0.0	440.7524736585325	True
287007	21008	21	0	216.30828857421875	122.2	1.7701169277759308	0.9698752760887146	3	40.2	0	2.516233957836545	-1	246.63674911966453	False
282899	7014	7	0	489.0903015136719	322.9	1.5146804010952986	0.7216235399246216	9	133.6	0	4.356570769552858	0.0	592.3011713527997	True
