sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	291961	18255	0	1	4	-143.826	116.328	127.721	947	6	0	151.708	1.0548	1.34648	0.124331	0	nan	nan	0	0	0	0	52396.4	159	0.157608	5.37551e+07	1	37.8867	291.147	0.54837	252.141	nu-candidate	1	1.804078	-15.0	957.9907	12.555	8.107	1172376	{"12:1000002": "-1,-1,-1", "15:3": "-1,-1,-1", "16:2": "-1,-1,-1", "17:1000001": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000010": "-1,-1,-1", "1:15": "-1,-1,-1", "20:1000000": "-1,-1,-1", "21:1000007": "-1,-1,-1", "3:0": "-1,-1,-1", "4:4": "0,0,1", "5:12": "-1,-1,-1", "6:6": "-1,-1,-1", "9:1000015": "-1,-1,-1"}
mcp1k	292005	18255	0	1	18	129.28	110.23	345.906	998	5	1	183.887	1.04236	0.445666	0.148251	90.0776	1.05011	0.638082	90.0776	0	90.0776	0	49798.7	259	0.132431	4.15042e+07	1	185.935	843.646	0.70076	385.629	nu-candidate	1	3.903281	-15.0	1058.2949	11.335	7.877	1172340	{"12:1000004": "-1,-1,-1", "13:1000006": "-1,-1,-1", "14:1000003": "-1,-1,-1", "15:1000007": "-1,-1,-1", "16:1": "-1,-1,-1", "17:3": "-1,-1,-1", "18:1000001": "0,0,0", "19:1000000": "-1,-1,-1", "9:1000011": "-1,-1,-1"}
mcp1k	292027	18255	0	1	12	111.768	173.949	110.262	1895	4	0	314.072	1.027	0.880131	0.10368	0	nan	nan	0	0	0	0	51030.7	464	0.553052	1.36401e+08	1	149.451	943.144	0.242476	656.86	nu-candidate	1	4.248284	-15.0	1296.1537	15.457	11.701	1255136	{"12:1000000": "0,0,0", "13:1000002": "-1,-1,-1", "14:1": "-1,-1,-1", "15:0": "-1,-1,-1", "16:1000003": "-1,-1,-1", "17:7": "-1,-1,-1", "18:1000004": "-1,-1,-1", "1:9": "-1,-1,-1", "2:14": "-1,-1,-1", "4:5": "-1,-1,-1", "6:1000014": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000011": "-1,-1,-1"}
mcp1k	292115	18255	0	0																					nan	nan		nan	nan	nan	nan	no-bundle	0				5.025	0.694	315244	{"-1:4": "-1,-1,-1", "10:1000000": "-1,-1,-1", "11:1000002": "-1,-1,-1", "12:1": "-1,-1,-1", "13:0": "-1,-1,-1", "1:7": "-1,-1,-1", "3:2": "-1,-1,-1", "6:3": "-1,-1,-1", "8:1000009": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	292384	18255	0	1	19	19.2074	13.5768	51.9983	2921	5	0	588.611	1.03798	4.73179	0.110796	149.79	1.05442	0.32565	149.79	149.79	149.79	149.79	50249.6	859	0.400009	1.84669e+08	1	2.36401	909.898	0.0356221	863.579	nu-candidate	1	6.165339	-15.0	1680.5245	19.168	15.432	1252020	{"11:2": "-1,-1,-1", "12:1000007": "-1,-1,-1", "14:1000004": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:5": "0,0,1", "20:7": "-1,-1,-1", "21:8": "-1,-1,-1", "22:4": "-1,-1,-1", "23:1000006": "-1,-1,-1", "4:1": "-1,-1,-1", "6:0": "-1,-1,-1", "9:6": "-1,-1,-1"}
mcp1k	292406	18255	0	1	6	-164.018	0.621833	138.754	215	1	0	47.3267	1.03852	0.18687	0.0384615	0	nan	nan	0	0	0	0	51453.4	70	0.203578	9.73089e+06	1	0.971628	287.711	0.927908	135.245	nu-candidate	1	0.849066	-15.0	337.21835	9.652	5.144	1174136	{"11:1000002": "-1,-1,-1", "12:2": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:12": "-1,-1,-1", "15:1000004": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1000001": "-1,-1,-1", "18:6": "-1,-1,-1", "3:5": "-1,-1,-1", "4:0": "-1,-1,-1", "6:3": "0,0,0", "8:7": "-1,-1,-1"}
mcp1k	292423	18255	0	0																					nan	nan		nan	nan	nan	nan	no-beam-flash	0				6.037	0.930	366252	{"10:2": "-1,-1,-1", "12:1000006": "-1,-1,-1", "13:7": "-1,-1,-1", "14:1000003": "-1,-1,-1", "15:1000007": "-1,-1,-1", "16:1000002": "-1,-1,-1", "17:3": "-1,-1,-1", "18:5": "-1,-1,-1", "1:6": "-1,-1,-1", "4:0": "-1,-1,-1", "8:1": "-1,-1,-1"}
mcp1k	292450	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				7.288	1.441	413408	{"11:4": "-1,-1,-1", "13:1": "-1,-1,-1", "16:1000003": "-1,-1,-1", "17:1000005": "-1,-1,-1", "18:5": "-1,-1,-1", "19:7": "-1,-1,-1", "20:1000001": "-1,-1,-1", "21:1000012": "-1,-1,-1", "22:1000002": "-1,-1,-1", "2:2": "-1,-1,-1", "3:8": "-1,-1,-1", "4:10": "-1,-1,-1", "7:0": "-1,-1,-1", "8:6": "0,1,0"}
mcp1k	292533	18255	0	1	3	-118.282	124.238	127.094	1736	4	0	338.292	1.04813	1.36934	0.154862	68.0769	1.06886	1.06767	68.0769	68.0769	68.0769	68.0769	50050.5	442	0.251878	9.75999e+07	1	3.47679	594.759	0.0193754	611.869	nu-candidate	1	5.0677323	-15.0	1119.3466	14.937	9.864	1252328	{"10:1000011": "-1,-1,-1", "11:1000009": "-1,-1,-1", "13:1000000": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:4": "-1,-1,-1", "18:1000010": "-1,-1,-1", "19:1000002": "-1,-1,-1", "1:14": "-1,-1,-1", "20:1000007": "-1,-1,-1", "21:0": "-1,-1,-1", "22:1000003": "-1,-1,-1", "2:8": "-1,-1,-1", "3:2": "0,0,1", "8:1000005": "-1,-1,-1"}
mcp1k	292577	18255	0	1	12	-110.726	75.1475	440.078	274	1	0	66.4033	1.03787	0.191101	0.181818	66.4033	1.03787	0.191101	66.4033	66.4033	66.4033	0	49360.1	102	0.00707465	1.19845e+07	1	2.39399	344.392	0.895334	178.531	nu-candidate	1	2.2529933	-15.0	290.6081	11.334	5.838	1197420	{"10:1000002": "-1,-1,-1", "11:9": "-1,-1,-1", "12:2": "0,0,0", "3:1000009": "-1,-1,-1", "4:1000008": "-1,-1,-1", "5:1000003": "-1,-1,-1", "6:1000000": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:8": "-1,-1,-1"}
