direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	vertex	291	19	562	1	nueCC	831.3	124.0	85.8	320.0	CHOICE	5.9	5.9	1.7	0.9	dl-dual-snap-reject/nodl	dl-dual-snap-reject/nodl							
LOST	vertex	291	28	8877	0	nueCC	579.6	-66.3	-131.4	100.1	STRUCTURE-near	12.1	12.1	12.1	1.1	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	37	9656	0	nueCC	453.7	177.7	-149.4	138.7	CHOICE	36.2	36.2	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	90	5486	1	nueCC	670.5	19.9	96.5	364.5	STRUCTURE-near	40.1	40.1	16.0	1.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	26	6733	1	nueCC	755.0	-173.5	178.4	415.8	STRUCTURE	44.9	44.9	5.7	5.7	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	292	49	12417	1	nueCC	1613.4	-147.2	152.7	54.9	CHOICE	27.2	27.2	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	49	6739	1	nueCC	1038.9	-113.8	97.4	435.5	STRUCTURE-near	40.9	40.9	5.6	2.0	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	292	85	9536	0	nueCC	636.0	39.0	-99.6	430.7	STRUCTURE-near	30.2	30.2	12.5	3.0	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	99	4313	1	nueCC	1458.6	-44.4	-34.0	37.5	CHOICE	9.8	9.8	2.5	2.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	11	2913	0	nueCC	1523.1	90.2	161.9	264.9	STRUCTURE	33.3	33.3	6.3	6.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	11	4685	0	nueCC	2307.4	91.5	64.4	356.0	STRUCTURE-near	18.5	18.5	19.8	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	16	2863	0	nueCC	833.7	48.5	-80.4	57.7	CHOICE	20.2	20.2	1.6	1.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	37	1456	0	nueCC	1954.1	148.7	158.2	416.9	CHOICE	6.1	6.1	4.6	4.6	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	38	7183	0	nueCC	872.2	-184.6	176.9	33.2	STRUCTURE	7.5	7.5	25.5	7.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
