direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	vertex	291	19	3596	0	nueCC	4126.8	-95.8	-118.6	104.2	STRUCTURE	6.4	277.6	248.3	248.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	19	3726	0	nueCC	738.3	147.2	186.7	348.0	STRUCTURE-near	22.1	22.1	18.0	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	28	1911	0	nueCC	151.3	134.2	-186.1	78.0	CHOICE	17.6	17.5	3.0	3.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	3	8498	0	nueCC	1893.9	33.6	-123.2	422.0	STRUCTURE	15.5	15.5	6.5	6.5	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	37	4348	0	numuCC	660.1	82.8	123.1	391.6	CHOICE	340.1	340.1	2.2	2.2	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	291	42	3653	0	nueCC	1229.6	171.2	37.4	240.1	CHOICE	23.3	23.3	0.2	0.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	42	6815	0	nueCC	640.8	-16.4	161.0	439.7	CHOICE	29.9	29.9	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	45	12214	1	nueCC	376.1	-86.1	-184.7	139.8	CHOICE	27.6	27.6	1.3	1.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	52	8141	1	nueCC	147.0	-69.1	-184.5	416.3	CHOICE	17.5	17.5	1.0	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	69	7548	1	nueCC	792.5	-37.5	75.8	62.7	CHOICE	63.8	63.8	1.7	1.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	20	6688	1	nueCC	1488.0	-150.4	65.9	306.4	CHOICE	45.2	45.2	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	26	11863	0	nueCC	2727.8	-83.8	189.6	101.6	STRUCTURE	5.2	5.2	5.2	5.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	26	6733	1	nueCC	755.0	-173.5	178.4	415.8	STRUCTURE	45.0	45.0	5.7	5.7	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	292	49	12417	1	nueCC	1613.4	-147.2	152.7	54.9	CHOICE	26.8	26.8	1.0	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	49	6739	1	nueCC	1038.9	-113.8	97.4	435.5	CHOICE	29.2	29.2	4.7	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	85	9536	0	nueCC	636.0	39.0	-99.6	430.7	STRUCTURE	5.8	5.8	5.8	5.8	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	99	1331	1	nueCC	1867.0	-11.5	51.7	109.2	CHOICE	38.8	38.8	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	11	1059	1	nueCC	467.7	140.8	-17.2	147.7	CHOICE	45.0	45.0	4.0	4.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	11	2913	0	nueCC	1523.1	90.2	161.9	264.9	CHOICE	31.6	31.6	3.3	3.3	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	11	4685	0	nueCC	2307.4	91.5	64.4	356.0	CHOICE	25.1	25.1	1.1	1.1	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	16	2863	0	nueCC	833.7	48.5	-80.4	57.7	CHOICE	13.7	13.7	1.6	1.6	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	37	1456	0	nueCC	1954.1	148.7	158.2	416.9	CHOICE	5.5	5.5	1.6	1.6	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	37	8899	0	nueCC	986.6	-86.4	-140.3	189.0	CHOICE	35.5	35.5	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	38	11937	1	nueCC	454.5	-187.1	163.7	35.3	STRUCTURE	24.1	24.1	5.1	5.1	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	46	861	0	nueCC	245.5	24.4	-25.2	327.9	CHOICE	19.1	19.1	0.8	0.8	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	293	47	5463	0	nueCC	2274.4	-12.7	-127.6	87.5	STRUCTURE	6.7	6.7	5.5	5.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	47	8324	0	nueCC	1322.1	-33.4	152.2	403.1	STRUCTURE	61.2	61.2	14.0	9.1	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	293	49	5265	1	nueCC	3585.6	28.2	69.4	260.2	CHOICE	57.0	57.0	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	50	2838	1	nueCC	781.6	-56.2	57.4	359.3	CHOICE	59.7	59.7	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-reject/nodl							
LOST	vertex	293	54	114	0	nueCC	992.6	-117.0	-70.8	208.8	STRUCTURE-near	168.8	168.7	6.3	0.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	62	376	0	nueCC	1014.6	-93.2	-120.4	119.5	CHOICE	38.6	38.6	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	67	3048	0	nueCC	770.8	-91.5	14.6	256.2	CHOICE	20.8	20.8	0.5	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	86	12364	1	nueCC	690.0	158.7	61.6	223.3	CHOICE	20.9	20.9	4.5	1.5	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	293	95	11105	0	nueCC	2324.2	-7.2	65.0	95.0	CHOICE	7.1	7.1	1.0	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	95	2193	2	nueCC	1914.5	44.1	157.9	262.0	CHOICE	22.4	22.4	1.6	1.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	96	9317	1	nueCC	2425.1	-10.7	39.9	321.9	STRUCTURE	8.4	8.4	8.4	8.4	dl-dual-snap-reject-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	294	17	887	0	nueCC	1751.7	-51.9	-87.0	225.3	CHOICE	31.1	31.1	2.8	2.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	20	10468	1	nueCC	536.0	-184.3	-144.6	57.5	CHOICE	35.0	35.0	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	20	1345	0	nueCC	568.5	-17.3	9.5	240.3	STRUCTURE	5.4	5.4	5.4	5.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	20	9926	1	nueCC	768.5	125.2	-43.0	420.9	CHOICE	25.5	25.5	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	32	8521	1	nueCC	1339.8	130.0	-133.7	58.2	CHOICE	82.9	82.9	0.5	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	32	972	1	nueCC	233.4	22.7	49.7	72.9	CHOICE	13.7	13.7	1.4	1.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	38	8797	1	numuCC	681.7	-17.4	-4.5	314.8	CHOICE	246.2	246.2	0.0	0.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	50	4659	0	nueCC	774.1	40.2	141.6	119.4	CHOICE	193.4	193.4	1.6	1.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	51	2140	0	nueCC	862.6	93.8	-158.2	75.1	CHOICE	7.4	7.4	1.3	1.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
