direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	vertex	719	4	40	0	numuCC	593.1	-164.5	-122.4	161.2	CHOICE	199.4	199.4	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	719	44	4	0	numuCC	635.8	-62.3	-61.1	261.5	CHOICE	5.8	5.7	2.7	0.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	719	44	7	2	numuCC	480.9	85.9	-145.6	447.1	CHOICE	13.1	13.1	2.2	2.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	719	45	42	1	numuCC	236.7	-54.3	-124.2	415.8	CHOICE	7.7	7.7	1.2	1.2	dl-veto-protected/nodl	dl-dual-snap-accept/dl							
LOST	vertex	719	74	16	1	numuCC	948.7	-175.7	-71.6	444.1	STRUCTURE	10.0	10.0	5.6	5.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	719	8	46	1	numuCC	885.2	-140.7	-180.1	124.4	CHOICE	5.5	5.5	3.4	0.7	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	720	17	19	1	NC	548.9	-20.9	155.5	261.3	CHOICE	25.5	25.5	2.3	2.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	720	39	45	0	numuCC	1838.8	-100.4	142.3	58.7	CHOICE	495.1	495.1	1.7	1.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	711	79	16	0	NC	828.3	76.9	38.6	55.6	CHOICE	79.4	79.4	1.2	1.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	711	90	19	1	NC	1245.4	-103.5	99.7	143.2	CHOICE	5.6	5.6	2.4	2.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	712	12	33	0	NC	731.0	-112.5	38.1	89.8	CHOICE	72.0	72.0	1.7	1.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	712	6	8	0	numuCC	640.9	27.7	-118.7	182.9	CHOICE	64.7	64.7	1.5	1.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	712	92	49	0	NC	234.9	8.1	55.9	390.7	CHOICE	21.9	21.9	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-reject/nodl							
GAINED	vertex	712	94	11	0	numuCC	228.0	-22.9	5.3	113.7	CHOICE	46.6	46.6	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	10	12	0	NC	594.9	23.3	-103.1	53.3	CHOICE	5.8	5.8	3.9	3.9	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	20	3	1	numuCC	777.7	-153.2	-30.6	106.2	CHOICE	11.8	11.8	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	21	37	0	NC	795.7	-173.6	-91.1	313.8	STRUCTURE	5.3	5.3	5.7	5.3	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	35	17	0	numuCC	321.7	-66.2	178.2	231.3	CHOICE	85.8	85.8	1.7	1.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	48	18	0	numuCC	1065.5	163.9	-37.6	326.7	CHOICE	7.3	7.4	1.2	0.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	50	32	0	numuCC	1183.7	-138.5	169.8	214.9	CHOICE	63.8	63.8	2.0	2.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	67	36	1	numuCC	131.9	-187.8	6.6	430.1	no candidate	-1.0	-1.0	-1.0	-1.0	dl-dual-snap-reject/nodl	-							
GAINED	vertex	713	7	6	0	NC	60.9	159.0	-59.4	157.0	STRUCTURE	38.0	38.0	8.8	8.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	70	5	0	numuCC	593.5	-169.9	-146.0	56.2	STRUCTURE	112.8	112.8	19.0	19.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	713	72	48	2	NC	242.2	-24.1	152.2	148.7	CHOICE	6.3	6.3	3.4	2.2	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
GAINED	vertex	713	89	26	0	numuCC	884.7	91.5	114.4	434.1	STRUCTURE	109.6	109.6	6.0	6.0	dl-veto-protected/nodl	dl-dual-snap-accept/dl							
GAINED	vertex	713	93	49	0	numuCC	440.9	24.8	-181.3	112.1	CHOICE	5.5	5.5	4.4	4.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	714	23	32	0	numuCC	917.8	-12.4	-36.7	46.4	CHOICE	27.4	27.5	2.4	2.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	715	17	14	0	numuCC	1064.3	-23.5	-102.7	207.7	CHOICE	11.4	11.4	1.1	1.1	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	715	47	27	0	numuCC	647.8	-130.1	-73.5	84.0	STRUCTURE	7.8	7.8	7.8	7.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	715	49	41	0	NC	264.9	-166.6	36.5	62.2	CHOICE	6.0	6.0	0.2	0.2	dl-veto-protected/nodl	dl-dual-snap-accept/dl							
GAINED	vertex	715	58	46	0	numuCC	645.3	-140.5	-150.2	211.2	CHOICE	287.3	287.3	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	717	45	48	0	NC	25.6	186.9	-6.7	122.0	STRUCTURE	-1.0	-1.0	999.0	999.0	dl-dual-snap-accept/dl	dl-not-run/nodl							
GAINED	vertex	717	88	33	0	NC	124.7	145.5	-18.5	198.3	CHOICE	10.8	10.8	1.0	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	717	99	27	1	NC	497.3	160.1	57.5	166.4	STRUCTURE-near	6.5	6.5	6.5	3.5	dl-dual-snap-reject/nodl	dl-veto-protected/nodl							
GAINED	vertex	719	0	48	0	numuCC	638.5	162.3	161.6	122.5	STRUCTURE	14.2	14.2	14.2	14.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	719	1	17	0	numuCC	1096.0	-69.6	138.8	212.1	STRUCTURE	-1.0	-1.0	999.0	999.0	dl-dual-snap-accept/dl	dl-not-run/nodl							
GAINED	vertex	719	19	8	0	numuCC	4325.5	151.5	-13.1	128.7	STRUCTURE-near	8.4	8.4	7.2	2.4	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
GAINED	vertex	719	32	34	0	numuCC	310.3	7.2	-173.3	32.2	STRUCTURE	36.9	36.9	12.7	12.7	dl-veto-protected/nodl	dl-dual-snap-accept/dl							
GAINED	vertex	719	54	5	0	numuCC	526.1	-22.3	26.9	389.0	STRUCTURE-near	5.7	5.7	5.7	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	719	74	49	1	numuCC	648.7	50.7	150.2	389.5	CHOICE	134.7	134.7	1.4	1.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	720	17	27	0	numuCC	220.4	-187.4	157.8	168.4	STRUCTURE	44.8	44.8	7.3	7.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	720	17	43	1	numuCC	226.2	147.6	-103.0	444.7	CHOICE	22.9	22.9	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	720	36	17	0	numuCC	1375.7	156.9	-82.1	408.3	CHOICE	5.1	5.1	2.0	2.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
GAINED	vertex	720	5	28	1	numuCC	233.7	18.8	-15.0	228.0	CHOICE	40.5	40.4	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	sel_numu0.9	712	12	35	1	numuCC	405.5	-184.5	131.0	417.9		-1.0				dl-dual-snap-reject-accept/dl	-	numu	0.9	no candidate	2.399	nan		
LOST	sel_numu0.9	712	22	22	0	numuCC	845.9	-8.9	63.0	344.8		0.5				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.965	0.590	38.6	br3_3_score,lol_1_score,lol_2_score,nue_score,numu_1_score,numu_score,pio_2_score,sig_2_score,stw_2_score,tro_1_score,tro_4_score
LOST	sel_numu0.9	713	38	9	0	numuCC	1425.8	36.1	-156.4	371.2		7.7				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.450	nan		
LOST	sel_numu0.9	713	48	42	0	numuCC	577.3	-104.5	-80.5	212.7		5.0				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.422	nan		
LOST	sel_numu0.9	713	51	21	0	numuCC	432.0	88.3	-8.0	24.9		9.2				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.560	nan		
LOST	sel_numu0.9	713	51	44	0	numuCC	754.2	-132.5	148.6	437.9		0.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	3.515	-0.368	-77.3	cosmict_2_filled,cosmict_3_filled,cosmict_4_filled,cosmict_5_filled,numu_1_score,numu_2_score,numu_3_score,numu_score
LOST	sel_numu0.9	713	62	22	0	numuCC	573.5	130.7	161.5	270.9		0.7				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	0.963	0.899	133.4	numu_1_score,numu_score
LOST	sel_numu0.9	713	67	34	0	numuCC	392.6	181.0	121.5	173.0		-1.0				dl-dual-snap-accept/dl	-	numu	0.9	no candidate	2.979	nan		
LOST	sel_numu0.9	713	7	2	1	numuCC	494.6	-50.3	-99.3	237.6		7.2				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	1.723	nan		
