tier	id	sample	cell	metric	base_k	base_n	cell_k	cell_n	delta_pp	lost	gained	p	floor_pp	verdict
primary	M1	cv	s0rep	numuCC efficiency (cv, numu > 0.9)	387	557	387	557	0.000	0	0	1.0000	0.000	(floor)
primary	M1	cv	cs	numuCC efficiency (cv, numu > 0.9)	387	557	385	557	-0.359	43	41	0.9132	0.000	not separable
primary	M1	cv	p3bw	numuCC efficiency (cv, numu > 0.9)	387	557	382	557	-0.898	39	34	0.6400	0.000	not separable
primary	M1	cv	csp3bw	numuCC efficiency (cv, numu > 0.9)	387	557	378	557	-1.616	45	36	0.3742	0.000	not separable
primary	M1	cv	tfull	numuCC efficiency (cv, numu > 0.9)	387	557	390	557	0.539	39	42	0.8243	0.000	not separable
primary	M2	cv	s0rep	numuCC in-sample purity (cv)	387	448	387	448	0.000	0	0	1.0000	0.000	(floor)
primary	M2	cv	cs	numuCC in-sample purity (cv)	387	448	385	442	0.720	24	28	0.6778	0.000	not separable
primary	M2	cv	p3bw	numuCC in-sample purity (cv)	387	448	382	437	1.030	27	33	0.5190	0.000	not separable
primary	M2	cv	csp3bw	numuCC in-sample purity (cv)	387	448	378	443	-1.057	33	29	0.7035	0.000	not separable
primary	M2	cv	tfull	numuCC in-sample purity (cv)	387	448	390	450	0.283	29	30	1.0000	0.000	not separable
primary	M3	nuecc	s0rep	nueCC efficiency (nuecc, nue > 7)	618	1511	618	1511	0.000	0	0	1.0000	0.000	(floor)
primary	M3	nuecc	cs	nueCC efficiency (nuecc, nue > 7)	618	1511	606	1511	-0.794	181	169	0.5566	0.000	not separable
primary	M3	nuecc	p3bw	nueCC efficiency (nuecc, nue > 7)	618	1511	636	1511	1.191	165	183	0.3622	0.000	not separable
primary	M3	nuecc	csp3bw	nueCC efficiency (nuecc, nue > 7)	618	1511	632	1511	0.927	159	173	0.4756	0.000	not separable
primary	M3	nuecc	tfull	nueCC efficiency (nuecc, nue > 7)	618	1511	630	1511	0.794	168	180	0.5555	0.000	not separable
primary	M4	nuecc	s0rep	nueCC in-sample purity (nuecc, > 7)	618	632	618	632	0.000	0	0	1.0000	0.000	(floor)
primary	M4	nuecc	cs	nueCC in-sample purity (nuecc, > 7)	618	632	606	628	-1.288	16	8	0.1516	0.000	not separable
primary	M4	nuecc	p3bw	nueCC in-sample purity (nuecc, > 7)	618	632	636	653	-0.388	14	11	0.6900	0.000	not separable
primary	M4	nuecc	csp3bw	nueCC in-sample purity (nuecc, > 7)	618	632	632	654	-1.149	15	7	0.1338	0.000	not separable
primary	M4	nuecc	tfull	nueCC in-sample purity (nuecc, > 7)	618	632	630	649	-0.712	14	9	0.4049	0.000	not separable
primary	M5	nuecc	s0rep	nueCC efficiency (nuecc, nue > 4)	734	1511	734	1511	0.000	0	0	1.0000	0.000	(floor)
primary	M5	nuecc	cs	nueCC efficiency (nuecc, nue > 4)	734	1511	735	1511	0.066	187	188	1.0000	0.000	not separable
primary	M5	nuecc	p3bw	nueCC efficiency (nuecc, nue > 4)	734	1511	745	1511	0.728	178	189	0.6017	0.000	not separable
primary	M5	nuecc	csp3bw	nueCC efficiency (nuecc, nue > 4)	734	1511	749	1511	0.993	175	190	0.4637	0.000	not separable
primary	M5	nuecc	tfull	nueCC efficiency (nuecc, nue > 4)	734	1511	757	1511	1.522	172	195	0.2508	0.000	not separable
primary	M6	nuecc	s0rep	nueCC in-sample purity (nuecc, > 4)	734	781	734	781	0.000	0	0	1.0000	0.000	(floor)
primary	M6	nuecc	cs	nueCC in-sample purity (nuecc, > 4)	734	781	735	795	-1.529	45	32	0.1711	0.000	not separable
primary	M6	nuecc	p3bw	nueCC in-sample purity (nuecc, > 4)	734	781	745	796	-0.389	36	32	0.7163	0.000	not separable
primary	M6	nuecc	csp3bw	nueCC in-sample purity (nuecc, > 4)	734	781	749	812	-1.741	45	29	0.0805	0.000	not separable
primary	M6	nuecc	tfull	nueCC in-sample purity (nuecc, > 4)	734	781	757	803	0.289	31	32	1.0000	0.000	not separable
primary	M7	cv	s0rep	vertex < 5 cm, all true nu in FV (cv)	539	783	539	783	0.000	0	0	1.0000	0.000	(floor)
primary	M7	cv	cs	vertex < 5 cm, all true nu in FV (cv)	539	783	534	783	-0.639	47	42	0.6718	0.000	not separable
primary	M7	cv	p3bw	vertex < 5 cm, all true nu in FV (cv)	539	783	533	783	-0.766	43	37	0.5764	0.000	not separable
primary	M7	cv	csp3bw	vertex < 5 cm, all true nu in FV (cv)	539	783	529	783	-1.277	52	42	0.3533	0.000	not separable
