direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	vertex	291	19	3726	0	nueCC	738.3	147.2	186.7	348.0	CHOICE	18.4	18.4	1.6	1.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	3	8498	0	nueCC	1893.9	33.6	-123.2	422.0	STRUCTURE-near	62.4	62.4	6.5	1.3	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	37	9656	0	nueCC	453.7	177.7	-149.4	138.7	CHOICE	34.2	34.2	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	42	6815	0	nueCC	640.8	-16.4	161.0	439.7	STRUCTURE	28.7	28.7	6.8	6.8	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	291	45	12214	1	nueCC	376.1	-86.1	-184.7	139.8	STRUCTURE-near	27.6	27.6	9.8	1.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	45	1832	0	nueCC	1632.3	122.8	105.3	307.6	CHOICE	40.8	40.8	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	52	8141	1	nueCC	147.0	-69.1	-184.5	416.3	CHOICE	17.5	17.5	1.0	1.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	291	69	7548	1	nueCC	792.5	-37.5	75.8	62.7	CHOICE	65.2	65.2	1.7	1.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	20	4753	1	nueCC	457.4	110.3	127.0	373.1	STRUCTURE-near	37.6	37.6	8.2	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	20	6688	1	nueCC	1488.0	-150.4	65.9	306.4	STRUCTURE-near	45.3	45.3	39.2	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	26	3585	0	nueCC	456.9	36.7	24.2	107.7	CHOICE	9.2	9.2	0.8	0.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	292	26	6733	1	nueCC	755.0	-173.5	178.4	415.8	CHOICE	45.0	45.0	4.3	4.3	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	292	85	9536	0	nueCC	636.0	39.0	-99.6	430.7	STRUCTURE	60.5	60.5	12.6	5.8	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	11	1059	1	nueCC	467.7	140.8	-17.2	147.7	CHOICE	44.8	44.8	3.8	3.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	29	1651	0	nueCC	1020.1	-69.6	25.4	389.9	CHOICE	8.6	8.6	2.2	2.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	38	3137	1	nueCC	490.1	118.9	-72.6	445.1	STRUCTURE	8.5	8.5	23.9	6.1	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	43	6406	0	nueCC	1495.6	153.8	-109.1	322.8	CHOICE	5.0	5.0	1.1	1.1	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	46	861	0	nueCC	245.5	24.4	-25.2	327.9	CHOICE	19.2	19.2	0.7	0.7	dl-dual-snap-reject/nodl	dl-dual-snap-accept/dl							
LOST	vertex	293	47	5463	0	nueCC	2274.4	-12.7	-127.6	87.5	STRUCTURE	8.8	8.8	35.9	8.1	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	47	8324	0	nueCC	1322.1	-33.4	152.2	403.1	STRUCTURE	62.5	62.6	6.5	6.5	dl-dual-snap-reject/nodl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	49	4491	0	nueCC	576.1	-109.5	-40.8	61.8	CHOICE	15.6	15.6	0.5	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	49	5265	1	nueCC	3585.6	28.2	69.4	260.2	STRUCTURE-near	28.7	28.7	9.0	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	49	9330	1	nueCC	318.3	179.9	-56.8	362.1	STRUCTURE	12.8	12.8	11.2	6.6	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	50	2838	1	nueCC	781.6	-56.2	57.4	359.3	CHOICE	34.9	34.9	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-reject/nodl							
LOST	vertex	293	54	114	0	nueCC	992.6	-117.0	-70.8	208.8	CHOICE	167.5	167.5	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	67	3048	0	nueCC	770.8	-91.5	14.6	256.2	CHOICE	20.8	20.8	0.4	0.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	67	9277	0	nueCC	632.0	142.5	186.2	282.2	STRUCTURE-near	18.3	18.3	5.9	1.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	79	4723	1	nueCC	2358.0	55.0	-10.1	31.8	STRUCTURE	6.0	6.0	6.0	6.0	dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl							
LOST	vertex	293	86	8767	0	nueCC	2444.3	-53.7	186.1	202.4	CHOICE	34.7	34.7	2.4	2.4	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	93	4516	0	nueCC	695.2	142.5	-28.2	344.3	CHOICE	18.8	18.8	2.4	2.4	dl-dual-snap-accept/dl	dl-dual-snap-reject/nodl							
LOST	vertex	293	95	6540	1	nueCC	1008.6	-169.5	-92.3	155.6	CHOICE	19.9	19.9	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	96	9317	1	nueCC	2425.1	-10.7	39.9	321.9	STRUCTURE	9.9	9.9	9.9	9.9	dl-dual-snap-reject-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	293	99	6629	1	nueCC	730.9	39.8	165.4	25.1	CHOICE	64.2	64.2	2.0	2.0	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	17	887	0	nueCC	1751.7	-51.9	-87.0	225.3	STRUCTURE-near	21.4	21.4	9.7	2.8	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	20	10468	1	nueCC	536.0	-184.3	-144.6	57.5	CHOICE	25.7	25.7	0.7	0.7	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	20	3006	0	nueCC	1595.1	-64.6	-123.6	193.9	STRUCTURE-near	8.8	8.8	7.5	0.9	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	23	2807	1	numuCC	571.5	-131.9	48.9	428.5	CHOICE	411.1	411.2	0.2	0.2	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	32	8521	1	nueCC	1339.8	130.0	-133.7	58.2	CHOICE	77.4	77.4	0.5	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	32	972	1	nueCC	233.4	22.7	49.7	72.9	CHOICE	13.0	13.0	1.5	1.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	38	8797	1	numuCC	681.7	-17.4	-4.5	314.8	CHOICE	246.3	246.3	0.3	0.3	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
LOST	vertex	294	48	11863	2	nueCC	2012.5	188.4	86.7	78.0	CHOICE	49.6	49.6	0.5	0.5	dl-dual-snap-accept/dl	dl-dual-snap-accept/dl							
