# bee_idx	event
0	350935
1	283713
2	55595
3	407280
4	281837
5	55539
6	314507
7	64921
8	71222
9	316025
10	395610
11	285567
12	280972
13	401450
14	290729
15	138009
16	395060
17	286191
18	348471
19	69314
20	30504
21	286681
22	90055
23	293149
24	56982
25	321371
26	349461
27	352233
28	234638
29	214469
30	389538
31	277298
32	349549
33	433451
34	278684
35	292643
36	315167
37	268067
38	239794
39	386948
40	64409
41	437699
42	348691
43	54095
44	320865
