run	subrun	event	idx	flav	mode	ccnc	Etot	Edep	T	vx	vy	vz	event_has_candidate	n_candidates	min_cand_dist_cm
471	0	10	1	numu	QE	CC	1345.8	671.1	1.468	-31.1948	-26.5708	265.749	1	1	0.25
471	0	10	2	numu	MEC	NC	648.9	0.0	0.678	-487.291	213.597	908.645	1	1	824.07
471	0	14	1	numu	RES	CC	865.5	197.4	0.249	-50.9985	-175.066	-32.3396	0	0	-1.00
471	0	14	2	numu	QE	CC	504.6	16.0	1.359	202.404	202.336	337.509	0	0	-1.00
471	0	15	1	numu	QE	CC	1364.8	311.4	1.538	195.739	67.2555	42.3537	1	1	0.26
471	0	15	2	numu	RES	CC	605.0	0.0	0.878	-586.072	-83.7098	144.1	1	1	802.96
471	0	18	1	numu	DIS	NC	1063.1	610.8	0.689	-92.6195	164.284	104.376	1	1	276.50
471	0	26	1	nue	MEC	CC	2314.8	0.0	1.511	-474.856	341.564	390.417	1	1	587.43
471	0	26	2	numu	QE	CC	767.6	484.7	0.759	-58.274	164.415	14.7542	1	1	1.24
471	0	26	3	numu	RES	CC	558.0	0.0	0.697	-624.439	373.153	897.448	1	1	1068.20
471	0	26	4	numu	DIS	NC	1726.6	0.0	1.067	-415.535	-587.424	-459.077	1	1	958.05
471	0	27	1	numu	QE	CC	597.3	120.4	0.132	12.7503	236.869	427.314	0	0	-1.00
471	0	29	1	numu	QE	CC	608.0	0.0	1.251	-20.8984	-633.018	468.798	0	0	-1.00
471	0	29	2	numu	MEC	CC	1078.5	389.3	0.964	-199.33	-120.379	351.609	0	0	-1.00
471	0	35	1	numu	QE	CC	606.8	313.8	0.621	167.275	-185.124	410.934	1	1	0.54
471	0	35	2	numu	QE	CC	665.4	0.0	0.253	152.018	-126.605	-444.72	1	1	857.60
471	0	37	1	numu	COH	NC	1334.7	0.0	1.089	20.4613	316.776	49.8297	1	1	578.34
471	0	37	2	numu	RES	CC	637.9	11.2	1.283	-241.208	97.4662	417.875	1	1	148.27
471	0	37	3	numu	QE	CC	2273.1	0.0	0.558	-400.033	-482.525	671.697	1	1	534.41
471	0	39	1	numu	QE	CC	607.0	0.0	1.42	-362.819	-431.918	-81.7861	1	1	782.03
471	0	39	2	numu	DIS	CC	2852.0	841.6	0.302	32.7026	4.9484	434.721	1	1	2.13
471	0	39	3	numu	QE	CC	654.3	0.0	1.591	-216.701	-322.621	1005.46	1	1	705.23
471	0	42	1	numu	QE	CC	1235.5	579.2	0.506	-133.382	-71.7039	317.549	1	1	0.74
