run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu
471	0	10	0	0	1	4	4	same	1	0	0	248.6	0	0	-30.98	-26.47	265.81	0	811.7	5.5777	-15.0000	4	0	1	0	0	0	2	1	numu	QE	CC	1345.8	671.1	1.468	0.25	811.7
471	0	15	0	0	1000002	18	18	same	2	0	0	50.3	0	0	195.99	67.19	42.35	0	467.5	2.3666	-15.0000	4	0	1	0	0	0	2	1	numu	QE	CC	1364.8	311.4	1.538	0.26	467.5
471	0	18	0	0	4	21	21	same	12	0	1	141.5	0	0	-21.96	177.07	371.39	0	465.2	1.4071	-15.0000	6	1	1	0	0	1	1	1	numu	DIS	NC	1063.1	610.8	0.689	276.50	465.2
471	0	26	0	0	5	15	15	same	2	0	1	163.7	0	0	-58.52	164.09	15.93	0	534.2	1.9751	-15.0000	4	0	1	0	0	0	4	2	numu	QE	CC	767.6	484.7	0.759	1.24	534.2
471	0	35	0	0	1000010	11	11	same	1	0	1	50.6	0	0	167.58	-184.71	410.77	0	251.7	1.0619	-15.0000	6	1	1	0	0	1	2	1	numu	QE	CC	606.8	313.8	0.621	0.54	251.7
471	0	37	0	0	6	2	2	same	1	0	0	3.0	0	0	-198.09	-41.15	448.08	0	110.2	-2.0307	-15.0000	10	1	0	1	0	1	3	2	numu	RES	CC	637.9	11.2	1.283	148.27	110.2
471	0	39	0	0	1000001	21	21	same	17	0	0	79.9	0	0	32.11	5.04	432.67	0	769.6	2.0949	-15.0000	4	0	1	0	0	0	3	2	numu	DIS	CC	2852.0	841.6	0.302	2.13	769.6
471	0	42	0	0	1	10	10	same	2	0	0	194.2	1	1	-132.87	-71.32	317.91	0	742.9	4.9172	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	1235.5	579.2	0.506	0.74	742.9
471	0	46	0	0	6	11	11	same	2	0	0	50.3	0	0	-169.10	-186.89	215.71	0	623.2	2.7862	-15.0000	6	1	1	0	0	1	2	1	numu	RES	CC	656.7	458.3	1.524	0.28	623.2
471	0	47	0	0	1000005	13	13	same	2	0	0	86.4	0	0	154.70	177.49	209.91	0	540.3	3.3725	-15.0000	4	0	1	0	0	0	2	2	numu	QE	CC	556.8	402.3	1.144	0.25	540.3
471	4	1	0	0	1000007	15	15	same	5	0	1	2.8	0	0	5.43	-174.80	248.70	0	119.4	-2.3998	-15.0000	8	0	0	1	0	0	4	3	numu	MEC	NC	767.3	196.5	0.309	280.00	119.4
471	4	2	0	0	6	8	8	same	1	0	0	365.1	0	0	-22.23	192.00	57.55	0	1319.9	3.7470	-15.0000	4	0	1	0	0	0	2	1	numu	MEC	CC	1312.9	1118.6	0.612	2.02	1319.9
471	4	7	0	0	1000008	10	10	same	1	0	1	31.6	0	0	27.24	-45.90	403.15	0	374.1	-0.2519	-15.0000	4	0	1	0	0	0	1	1	numu	RES	CC	824.9	699.8	1.266	49.03	374.1
471	4	8	0	0	7	12	12	same	1	0	1	140.4	0	0	-5.04	39.08	115.68	0	669.3	3.9754	-15.0000	4	0	1	0	0	0	3	3	numu	MEC	CC	794.8	619.4	1.541	0.60	669.3
471	4	10	0	0	1000003	14	14	same	1	0	0	295.2	0	0	5.49	116.42	233.53	0	897.3	4.9831	-15.0000	4	0	1	0	0	0	1	1	numu	QE	CC	1056.3	730.3	1.565	1.23	897.3
471	4	15	0	0	9	13	13	same	3	0	1	12.1	0	0	-180.33	-182.65	15.72	0	35.3	-2.4053	-15.0000	8	0	0	1	0	0	1	1	numu	DIS	CC	1727.7	43.3	0.128	342.12	35.3
