run,idx,evtid,n_candidates,n_stm,n_michel,n_flash,n_stm_flash,n_opwf,root,bee
39252,0,298567,5,5,3,414,5,255,events/039252_298567/stm_michel_pdvd_039252_298567.root,events/039252_298567/bee_pdvd_039252_298567.zip
39252,1,298581,3,2,2,387,3,153,events/039252_298581/stm_michel_pdvd_039252_298581.root,events/039252_298581/bee_pdvd_039252_298581.zip
39252,2,298595,3,3,3,376,3,153,events/039252_298595/stm_michel_pdvd_039252_298595.root,events/039252_298595/bee_pdvd_039252_298595.zip
39252,3,298609,7,7,5,431,6,306,events/039252_298609/stm_michel_pdvd_039252_298609.root,events/039252_298609/bee_pdvd_039252_298609.zip
39252,4,298623,3,0,0,401,3,153,events/039252_298623/stm_michel_pdvd_039252_298623.root,events/039252_298623/bee_pdvd_039252_298623.zip
39252,5,298637,7,3,2,439,7,357,events/039252_298637/stm_michel_pdvd_039252_298637.root,events/039252_298637/bee_pdvd_039252_298637.zip
39252,6,298651,7,2,1,416,7,357,events/039252_298651/stm_michel_pdvd_039252_298651.root,events/039252_298651/bee_pdvd_039252_298651.zip
39252,7,298665,8,2,2,436,8,400,events/039252_298665/stm_michel_pdvd_039252_298665.root,events/039252_298665/bee_pdvd_039252_298665.zip
39252,8,298679,11,6,4,458,10,510,events/039252_298679/stm_michel_pdvd_039252_298679.root,events/039252_298679/bee_pdvd_039252_298679.zip
39252,9,298693,8,7,4,423,8,408,events/039252_298693/stm_michel_pdvd_039252_298693.root,events/039252_298693/bee_pdvd_039252_298693.zip
39252,10,298707,5,2,1,403,5,255,events/039252_298707/stm_michel_pdvd_039252_298707.root,events/039252_298707/bee_pdvd_039252_298707.zip
39252,11,298721,1,0,0,424,1,51,events/039252_298721/stm_michel_pdvd_039252_298721.root,events/039252_298721/bee_pdvd_039252_298721.zip
39252,12,298735,8,4,2,414,8,408,events/039252_298735/stm_michel_pdvd_039252_298735.root,events/039252_298735/bee_pdvd_039252_298735.zip
39252,13,298749,2,1,1,441,2,102,events/039252_298749/stm_michel_pdvd_039252_298749.root,events/039252_298749/bee_pdvd_039252_298749.zip
39252,14,298763,5,2,1,383,5,255,events/039252_298763/stm_michel_pdvd_039252_298763.root,events/039252_298763/bee_pdvd_039252_298763.zip
39252,15,298777,7,5,5,378,7,357,events/039252_298777/stm_michel_pdvd_039252_298777.root,events/039252_298777/bee_pdvd_039252_298777.zip
39252,16,298791,11,7,5,393,11,561,events/039252_298791/stm_michel_pdvd_039252_298791.root,events/039252_298791/bee_pdvd_039252_298791.zip
39252,17,298805,0,0,0,420,0,0,events/039252_298805/stm_michel_pdvd_039252_298805.root,events/039252_298805/bee_pdvd_039252_298805.zip
39253,0,49686,7,4,3,378,5,255,events/039253_49686/stm_michel_pdvd_039253_49686.root,events/039253_49686/bee_pdvd_039253_49686.zip
39253,1,49706,4,2,0,423,4,204,events/039253_49706/stm_michel_pdvd_039253_49706.root,events/039253_49706/bee_pdvd_039253_49706.zip
39253,2,49726,12,6,5,432,11,561,events/039253_49726/stm_michel_pdvd_039253_49726.root,events/039253_49726/bee_pdvd_039253_49726.zip
39253,3,49746,6,5,5,416,6,306,events/039253_49746/stm_michel_pdvd_039253_49746.root,events/039253_49746/bee_pdvd_039253_49746.zip
39253,4,49766,4,3,1,425,3,153,events/039253_49766/stm_michel_pdvd_039253_49766.root,events/039253_49766/bee_pdvd_039253_49766.zip
39253,5,49786,5,2,1,426,4,204,events/039253_49786/stm_michel_pdvd_039253_49786.root,events/039253_49786/bee_pdvd_039253_49786.zip
39253,6,49806,13,7,6,422,11,561,events/039253_49806/stm_michel_pdvd_039253_49806.root,events/039253_49806/bee_pdvd_039253_49806.zip
39253,7,49826,1,1,1,462,1,51,events/039253_49826/stm_michel_pdvd_039253_49826.root,events/039253_49826/bee_pdvd_039253_49826.zip
39253,8,49846,10,7,6,388,10,510,events/039253_49846/stm_michel_pdvd_039253_49846.root,events/039253_49846/bee_pdvd_039253_49846.zip
39253,9,49866,7,5,2,423,6,306,events/039253_49866/stm_michel_pdvd_039253_49866.root,events/039253_49866/bee_pdvd_039253_49866.zip
39253,10,49886,2,1,1,438,2,102,events/039253_49886/stm_michel_pdvd_039253_49886.root,events/039253_49886/bee_pdvd_039253_49886.zip
39253,11,49906,4,3,2,367,4,204,events/039253_49906/stm_michel_pdvd_039253_49906.root,events/039253_49906/bee_pdvd_039253_49906.zip
39253,12,49926,6,4,3,412,6,306,events/039253_49926/stm_michel_pdvd_039253_49926.root,events/039253_49926/bee_pdvd_039253_49926.zip
39253,13,49946,8,5,2,460,8,408,events/039253_49946/stm_michel_pdvd_039253_49946.root,events/039253_49946/bee_pdvd_039253_49946.zip
39253,14,49966,7,2,1,435,7,357,events/039253_49966/stm_michel_pdvd_039253_49966.root,events/039253_49966/bee_pdvd_039253_49966.zip
39253,15,49986,7,5,2,422,7,357,events/039253_49986/stm_michel_pdvd_039253_49986.root,events/039253_49986/bee_pdvd_039253_49986.zip
39253,16,50006,5,3,2,402,5,255,events/039253_50006/stm_michel_pdvd_039253_50006.root,events/039253_50006/bee_pdvd_039253_50006.zip
39253,17,50026,7,4,3,429,6,306,events/039253_50026/stm_michel_pdvd_039253_50026.root,events/039253_50026/bee_pdvd_039253_50026.zip
39349,0,19409,2,1,0,390,2,104,events/039349_19409/stm_michel_pdvd_039349_19409.root,events/039349_19409/bee_pdvd_039349_19409.zip
39349,1,19429,3,1,1,420,3,156,events/039349_19429/stm_michel_pdvd_039349_19429.root,events/039349_19429/bee_pdvd_039349_19429.zip
39349,2,19449,2,1,1,418,2,104,events/039349_19449/stm_michel_pdvd_039349_19449.root,events/039349_19449/bee_pdvd_039349_19449.zip
39349,3,19469,4,3,2,368,4,208,events/039349_19469/stm_michel_pdvd_039349_19469.root,events/039349_19469/bee_pdvd_039349_19469.zip
39349,4,19489,1,1,1,373,1,52,events/039349_19489/stm_michel_pdvd_039349_19489.root,events/039349_19489/bee_pdvd_039349_19489.zip
39349,5,19509,6,3,3,390,6,312,events/039349_19509/stm_michel_pdvd_039349_19509.root,events/039349_19509/bee_pdvd_039349_19509.zip
39349,6,19529,2,0,0,358,2,104,events/039349_19529/stm_michel_pdvd_039349_19529.root,events/039349_19529/bee_pdvd_039349_19529.zip
39349,7,19549,6,3,1,377,6,312,events/039349_19549/stm_michel_pdvd_039349_19549.root,events/039349_19549/bee_pdvd_039349_19549.zip
39349,8,19569,2,2,1,393,2,104,events/039349_19569/stm_michel_pdvd_039349_19569.root,events/039349_19569/bee_pdvd_039349_19569.zip
39349,9,19589,4,4,3,379,4,208,events/039349_19589/stm_michel_pdvd_039349_19589.root,events/039349_19589/bee_pdvd_039349_19589.zip
39349,10,19609,1,1,1,380,1,52,events/039349_19609/stm_michel_pdvd_039349_19609.root,events/039349_19609/bee_pdvd_039349_19609.zip
39349,11,19629,2,2,1,433,2,104,events/039349_19629/stm_michel_pdvd_039349_19629.root,events/039349_19629/bee_pdvd_039349_19629.zip
39349,12,19649,5,2,1,401,5,260,events/039349_19649/stm_michel_pdvd_039349_19649.root,events/039349_19649/bee_pdvd_039349_19649.zip
39349,13,19669,3,3,0,400,3,156,events/039349_19669/stm_michel_pdvd_039349_19669.root,events/039349_19669/bee_pdvd_039349_19669.zip
39349,14,19689,2,1,0,386,2,104,events/039349_19689/stm_michel_pdvd_039349_19689.root,events/039349_19689/bee_pdvd_039349_19689.zip
39349,15,19709,4,0,0,432,4,208,events/039349_19709/stm_michel_pdvd_039349_19709.root,events/039349_19709/bee_pdvd_039349_19709.zip
39349,16,19729,2,0,0,399,2,104,events/039349_19729/stm_michel_pdvd_039349_19729.root,events/039349_19729/bee_pdvd_039349_19729.zip
39349,17,19749,3,2,1,389,3,156,events/039349_19749/stm_michel_pdvd_039349_19749.root,events/039349_19749/bee_pdvd_039349_19749.zip
39349,18,19769,9,5,2,401,8,416,events/039349_19769/stm_michel_pdvd_039349_19769.root,events/039349_19769/bee_pdvd_039349_19769.zip
39349,19,19789,2,0,0,400,2,104,events/039349_19789/stm_michel_pdvd_039349_19789.root,events/039349_19789/bee_pdvd_039349_19789.zip
39349,20,19809,6,2,1,393,6,312,events/039349_19809/stm_michel_pdvd_039349_19809.root,events/039349_19809/bee_pdvd_039349_19809.zip
39349,21,19829,5,3,3,419,5,260,events/039349_19829/stm_michel_pdvd_039349_19829.root,events/039349_19829/bee_pdvd_039349_19829.zip
39349,22,19849,6,6,5,407,6,312,events/039349_19849/stm_michel_pdvd_039349_19849.root,events/039349_19849/bee_pdvd_039349_19849.zip
39349,23,19869,6,3,3,409,6,312,events/039349_19869/stm_michel_pdvd_039349_19869.root,events/039349_19869/bee_pdvd_039349_19869.zip
39349,24,19889,4,2,0,403,4,208,events/039349_19889/stm_michel_pdvd_039349_19889.root,events/039349_19889/bee_pdvd_039349_19889.zip
39349,25,19909,6,2,0,398,6,312,events/039349_19909/stm_michel_pdvd_039349_19909.root,events/039349_19909/bee_pdvd_039349_19909.zip
39349,26,19929,4,2,0,381,4,208,events/039349_19929/stm_michel_pdvd_039349_19929.root,events/039349_19929/bee_pdvd_039349_19929.zip
39349,27,19949,5,1,1,411,5,260,events/039349_19949/stm_michel_pdvd_039349_19949.root,events/039349_19949/bee_pdvd_039349_19949.zip
39349,28,22777,3,1,0,361,3,156,events/039349_22777/stm_michel_pdvd_039349_22777.root,events/039349_22777/bee_pdvd_039349_22777.zip
39349,29,22797,4,2,0,398,4,208,events/039349_22797/stm_michel_pdvd_039349_22797.root,events/039349_22797/bee_pdvd_039349_22797.zip
39349,30,22817,3,1,0,384,3,156,events/039349_22817/stm_michel_pdvd_039349_22817.root,events/039349_22817/bee_pdvd_039349_22817.zip
39349,31,22837,4,3,2,423,4,208,events/039349_22837/stm_michel_pdvd_039349_22837.root,events/039349_22837/bee_pdvd_039349_22837.zip
39349,32,22857,4,2,1,388,3,156,events/039349_22857/stm_michel_pdvd_039349_22857.root,events/039349_22857/bee_pdvd_039349_22857.zip
39349,33,22877,5,2,1,410,5,260,events/039349_22877/stm_michel_pdvd_039349_22877.root,events/039349_22877/bee_pdvd_039349_22877.zip
39349,34,22897,5,3,2,389,5,260,events/039349_22897/stm_michel_pdvd_039349_22897.root,events/039349_22897/bee_pdvd_039349_22897.zip
39349,35,22917,3,1,1,411,3,156,events/039349_22917/stm_michel_pdvd_039349_22917.root,events/039349_22917/bee_pdvd_039349_22917.zip
39349,36,22937,7,5,3,364,7,364,events/039349_22937/stm_michel_pdvd_039349_22937.root,events/039349_22937/bee_pdvd_039349_22937.zip
39349,37,22957,4,2,1,373,4,208,events/039349_22957/stm_michel_pdvd_039349_22957.root,events/039349_22957/bee_pdvd_039349_22957.zip
39349,38,22977,5,1,1,389,5,260,events/039349_22977/stm_michel_pdvd_039349_22977.root,events/039349_22977/bee_pdvd_039349_22977.zip
39349,39,22997,2,1,0,395,2,104,events/039349_22997/stm_michel_pdvd_039349_22997.root,events/039349_22997/bee_pdvd_039349_22997.zip
39349,40,23017,3,0,0,403,3,156,events/039349_23017/stm_michel_pdvd_039349_23017.root,events/039349_23017/bee_pdvd_039349_23017.zip
39349,41,23037,1,0,0,400,1,52,events/039349_23037/stm_michel_pdvd_039349_23037.root,events/039349_23037/bee_pdvd_039349_23037.zip
39349,42,23057,2,1,1,391,2,104,events/039349_23057/stm_michel_pdvd_039349_23057.root,events/039349_23057/bee_pdvd_039349_23057.zip
39349,43,23077,4,3,2,409,4,208,events/039349_23077/stm_michel_pdvd_039349_23077.root,events/039349_23077/bee_pdvd_039349_23077.zip
