idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1690148	0	nan
1	6505	130	12	1584304	0	nan
2	6512	130	13	1524436	0	nan
3	6520	130	16	1547832	0	nan
4	6528	130	12	1680324	0	nan
5	6529	130	12	1603340	0	nan
6	6532	130	18	2017796	0	nan
7	6536	130	11	1625472	0	nan
8	6545	130	14	1712888	0	nan
9	6550	130	10	1477200	0	nan
10	6570	131	20	1898616	0	nan
11	6588	131	10	1494296	0	nan
12	6604	132	25	2168684	0	nan
13	6606	132	12	1770960	0	nan
14	6612	132	14	1866248	0	nan
15	6642	132	17	1960292	0	nan
16	6650	132	13	1785412	0	nan
17	6711	134	10	1524636	0	nan
18	6748	134	13	1567052	0	nan
19	6775	135	11	1549192	0	nan
20	6786	135	17	1896192	0	nan
21	6804	136	12	1604956	0	nan
22	6805	136	12	1738312	0	nan
23	6806	136	12	1839084	0	nan
24	6821	136	12	1573752	0	nan
25	6822	136	16	1991936	0	nan
26	6837	136	13	1858052	0	nan
27	6844	136	13	1817948	0	nan
28	6852	137	13	1623632	0	nan
29	6867	137	12	1614932	0	nan
30	6874	137	21	2084188	0	nan
31	6878	137	16	1747328	0	nan
32	6887	137	11	1543564	0	nan
33	6888	137	21	1984200	0	nan
34	6898	137	11	1546632	0	nan
