# doc pdvd/98 -- m3-200k-w predictions on the real-data Michel crops (d98_predict.py; bf16, CUDA)
# variants: Z = Michel only, muon zeroed; S = overlap cells scaled by (charge-pred_mu)/charge; M = muon left in; Zw = Z with the wider mask.  mu/sig in cm from the response plane.
# tier A = Bragg ratio>=0.8 & q2d_ovl<0.2 & n_stop_gammas==0 & frac_lost<0.2; inrange = 80<=drift_tick<=340
det	key	tier	inrange	drift_tick	drift_fit	mu_Z	sig_Z	mu_S	sig_S	mu_M	sig_M	mu_Zw	sig_Zw	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	ke_best	ke_region	ratio	q2d_ovl	n_stop_gammas	kind	source	conn_type	michel_len	kink_deg	apa	face	d97
pdhd	028084_0/97	B	1	326.2	326.2	118.8	20.48	100	11.4	107	16.71	118.8	20.48	1.531e+06	7.225e+05	0.4718	0.3628	331	30.47	56.97	1.07	0.355	0	attached	owner	1	8.4	69.47	1	1	attached
pdhd	028084_1/142	B	1	304.3	304.2	122.7	21.8	118.8	19.54	107.8	15.46	122.7	21.8	1.85e+06	1.099e+06	0.594	0.3622	317	31.16	53.48	1.018	0.1437	0	attached	owner	1	10.8	30.1	3	1	attached
pdhd	028084_17/97	B	0	72.52	73.15	78.12	4.463	75.78	3.02	77.34	3.214	78.52	4.463	3.085e+06	2.246e+06	0.7279	0.6804	426	40.73	62.96	1.111	0.9458	0	both	owner	1	14.32	77.02	1	1	
pdhd	028084_18/108	B	1	330.4	330.3	88.28	11.76	87.5	9.015	88.28	9.748	88.28	11.76	1.496e+06	3.737e+05	0.2498	0.217	277	23.42	79.91	0.8305	0.1043	0	both	owner	1	18.48	130.8	3	1	
pdhd	028084_23/51	B	0	60.17	60.78	99.61	20.48	89.06	7.244	96.09	11.05	99.61	20.48	8.633e+05	6.422e+05	0.7439	0.6769	81	14.25	25.15	1.156	0.4658	0	both	owner	1	4.433	109.9	2	0	
pdhd	028084_26/109	A	1	278.1	278.3	191.4	75.04	191.4	75.04	191.4	75.04	191.4	75.04	7.27e+04	0	0	0	65	3.68	11.53	0.9108	0	0	both	owner	2	0.04379	-1	3	1	
pdhd	028084_4/114	B	1	103.8	103.7	82.42	3.265	81.64	3.116	83.2	3.53	81.25	3.165	1.25e+06	6.552e+05	0.5242	0.4092	265	25.65	36.67	0.9203	0.2963	0	both	owner	1	6.297	86.04	3	1	
pdhd	029107_0/50	B	1	151.4	153	126.6	21.13	119.5	19.24	128.9	20	122.7	20.96	1.804e+06	5.432e+05	0.3011	0.2177	615	27.52	36.62	0.7754	0.1441	0	both	owner	1	11.53	99.17	2	0	
pdhd	029107_0/127	B	0	28.51	27.89	80.47	4.979	75.39	3.422	76.95	3.02	80.47	4.979	1.057e+06	4.396e+05	0.416	0.3223	308	22.83	45.81	0.9495	0.1836	0	both	owner	1	10.16	63.25	3	1	
pdhd	029107_11/90	B	1	208.8	208.6	113.3	37.08	106.2	6.1	98.44	10.22	113.3	37.08	7.001e+05	5.076e+05	0.7251	0.6295	98	10.54	16.66	1.014	0.4288	0	both	agent	1	3.396	95.58	1	1	
