run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
296	86	10992	work-r3nue-d116tfull/f000/pr_evt10992	1	14	45	447	3599.8	0.26727	0.31271	0.022371	0.0022371	0.10721	0.01566	0.83337	3	0.73435	2430	0.038031	0.20134	0.0089485	0	0.23892	0	0	447	0.014085	0.014085	0.24303	0	0.04698	426	0.0044944	0.0022472	0.22281	0	0.0044743	445
296	86	1150	work-r3nue-d116tfull/f000/pr_evt1150	1	9	8	113	308.78	0.029317	0.11813	0.0088496	0	0.16895	0	0	0	1	462	0.0088496	0.24779	0	0	0.28338	0.0088496	0	113	0	0	0.27441	0.0088496	0	113	0	0	0.21852	0.0088496	0	113
296	86	1154	work-r3nue-d116tfull/f000/pr_evt1154	1	12	37	952	3131.5	0.27046	0.24847	0.087185	0	0.39904	0.011555	2.2353	7	0.75953	9390	0.05042	0.24055	0.0031513	0.0031513	0.26117	0	0	952	0.010526	0.0094737	0.24626	0	0.0021008	950	0.013728	0.0042239	0.25402	0	0.0052521	947
296	86	2935	work-r3nue-d116tfull/f000/pr_evt2935	1	3	43	1076	3659	0.31353	0.4267	0.13104	0.010223	0.47113	0.032528	5.1926	19	0.39165	17583	0.12082	0.25372	0.016729	0.0083643	0.2666	0.0018587	0	1076	0.035979	0.017989	0.26204	0.0021164	0.12175	945	0.034677	0.0074977	0.23277	0.0018744	0.0083643	1067
296	86	7158	work-r3nue-d116tfull/f000/pr_evt7158	1	18	26	1053	3315	0.45419	0.29959	0.025641	0	0.10928	0.005698	0.60332	2	0.90013	6906	0.017094	0.090218	0.0047755	0.00095511	0.25018	0	0.005698	1047	0.010638	0.0048356	0.2501	0	0.018044	1034	0.00095602	0	0.24709	0	0.0066477	1046
296	86	9621	work-r3nue-d116tfull/f000/pr_evt9621	1	50	15	313	926.86	0.10995	0.2345	0.13099	0.01278	0.2894	0.028754	2.1578	2	0.9192	2163	0.035144	0.25559	0.01278	0.0031949	0.28308	0	0	313	0.025559	0.022364	0.24165	0	0	313	0.016026	0.0032051	0.24081	0	0.0031949	312
300	20	10603	work-r3nue-d116tfull/f001/pr_evt10603	1	13	15	633	2075.4	0.17444	0.24456	0.037915	0	0.17982	0.0047393	0.48184	1	0.81062	5301	0.014218	0.13428	0.0047393	0.0047393	0.24299	0	0	633	0.0063191	0.0015798	0.25977	0	0	633	0.0047393	0.0015798	0.25436	0	0	633
300	20	11199	work-r3nue-d116tfull/f001/pr_evt11199	1	15	35	401	1733.2	0.2063	0.21949	0.057357	0	0.22174	0.027431	1.7309	3	0.95395	2284	0.047382	0.27431	0.010076	0.010076	0.25652	0	0.0099751	397	0.037406	0.022444	0.2734	0	0	401	0.0025189	0.0025189	0.21112	0	0.0099751	397
300	20	11515	work-r3nue-d116tfull/f001/pr_evt11515	1	6	63	997	4106.6	0.24401	0.45046	0.14544	0.005015	0.38735	0.031093	1.2176	5	0.59298	10535	0.056169	0.32096	0.017051	0.011033	0.26161	0	0	997	0.02006	0.01003	0.26252	0	0	997	0.015432	0.011317	0.23583	0	0.025075	972
300	20	4427	work-r3nue-d116tfull/f001/pr_evt4427	1	6	25	408	1587	0.22565	0.32315	0.04902	0	0.30982	0.012255	3.1507	5	0.78251	3324	0.095588	0.29657	0.017157	0.0098039	0.26556	0	0	408	0.0073529	0.004902	0.25424	0	0	408	0.002451	0	0.23006	0	0	408
