run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
711	79	27	work-r3cv-d116p3bw/f098/pr_evt27	1	5	4	281	394.01	0.039488	0.18442	0	0	0.23768	0.010676	2.538	1	0.38413	4006	0.014235	0.024911	0.0071174	0.0071174	0.24756	0.0035587	0	281	0.0035587	0.0035587	0.24635	0.0035587	0	281	0	0	0.27555	0.0035714	0.0035587	280
711	79	30	work-r3cv-d116p3bw/f098/pr_evt30	0																																		
711	79	35	work-r3cv-d116p3bw/f098/pr_evt35	0																																		
711	79	36	work-r3cv-d116p3bw/f098/pr_evt36	0																																		
711	79	42	work-r3cv-d116p3bw/f098/pr_evt42	0																																		
711	79	44	work-r3cv-d116p3bw/f098/pr_evt44	1	5	56	1361	6094.7	0.47268	0.43199	0.14107	0.052168	0.33259	0.031594	2.9534	18	0.52844	14470	0.12123	0.20353	0.017139	0.009687	0.23692	0.00074516	0.01396	1342	0.030303	0.015152	0.26602	0.00079745	0.078619	1254	0.024247	0.0073475	0.23776	0.00073475	0	1361
711	79	45	work-r3cv-d116p3bw/f098/pr_evt45	1	10	11	256	762.03	0.39588	0.32375	0.019531	0	0.19309	0.015625	1.3123	1	0.77366	1943	0.03125	0.21094	0.0078125	0.0039062	0.25398	0	0	256	0.011719	0.011719	0.23319	0	0	256	0.0039062	0.0039062	0.27159	0	0	256
711	79	48	work-r3cv-d116p3bw/f098/pr_evt48	1	11	9	53	985.2	0.0073675	0.17405	0	0	0.090667	0	1.015	1	1	214	0.11321	0.39623	0	0	0.2951	0	0	53	0	0	0.22691	0	0	53	0	0	0.2351	0	0	53
711	79	5	work-r3cv-d116p3bw/f098/pr_evt5	0																																		
711	79	6	work-r3cv-d116p3bw/f098/pr_evt6	1	9	2	68	119.85	0.12241	0.29306	0.14706	0	0.38871	0.014706	0	0	0.95117	434	0.014706	0.25	0	0	0.25595	0	0	68	0.014706	0.014706	0.20615	0	0	68	0	0	0.30813	0	0	68
711	79	7	work-r3cv-d116p3bw/f098/pr_evt7	1	14	4	164	953.62	0.31143	0.077857	0.0060976	0	0.14633	0.0060976	0	0	0.84692	1391	0.018293	0.030488	0	0	0.2569	0	0	164	0.0060976	0.0060976	0.25614	0	0	164	0	0	0.23186	0	0	164
714	18	11	work-r3cv-d116p3bw/f099/pr_evt11	1	33	13	525	2284.9	0.3275	0.43474	0	0	0.079443	0.0038095	0	0	0.99343	2728	0	0.060952	0.0019048	0.0019048	0.25221	0	0	525	0.0057252	0.0038168	0.25089	0	0.0019048	524	0	0	0.23178	0	0.007619	521
714	18	16	work-r3cv-d116p3bw/f099/pr_evt16	0																																		
714	18	18	work-r3cv-d116p3bw/f099/pr_evt18	1	6	8	735	2386.6	0.4257	0.34413	0.032653	0	0.14756	0.019048	0.838	2	0.88932	5099	0.013605	0.070748	0.01776	0.015027	0.24238	0	0.0040816	732	0.0059524	0.0044643	0.25612	0	0.085714	672	0.0013699	0	0.22822	0	0.0068027	730
714	18	19	work-r3cv-d116p3bw/f099/pr_evt19	1	17	14	411	1579.4	0.18907	0.17022	0.10706	0.041363	0.24173	0.094891	0	0	0.69895	2930	0.0048662	0.15815	0.029197	0.026764	0.24532	0	0	411	0.026764	0.019465	0.25668	0	0	411	0.02439	0.02439	0.21407	0.043902	0.0024331	410
714	18	22	work-r3cv-d116p3bw/f099/pr_evt22	1	22	12	228	1164.6	0.21571	0.22251	0.026316	0.017544	0.14483	0.02193	0.85865	1	0.97104	1261	0.026316	0.11404	0	0	0.23265	0.017544	0	228	0.004386	0.004386	0.24458	0.017544	0	228	0	0	0.20829	0.017544	0	228
714	18	29	work-r3cv-d116p3bw/f099/pr_evt29	0																																		
714	18	32	work-r3cv-d116p3bw/f099/pr_evt32	1	14	9	519	1318.1	0.13465	0.45463	0.023121	0	0.12798	0.04817	5.3106	7	0.9074	2811	0.073218	0.096339	0.013487	0.0096339	0.22631	0.0077071	0	519	0.042636	0.031008	0.294	0.0077519	0.0057803	516	0.01165	0.01165	0.25973	0.007767	0.0077071	515
714	18	35	work-r3cv-d116p3bw/f099/pr_evt35	1	4	14	97	545.6	0.025252	0.16107	0	0	0.06908	0.010309	1.8328	1	1	356	0.12371	0.27835	0	0	0.22113	0	0	97	0.010309	0.010309	0.26304	0	0	97	0	0	0.18334	0	0	97
714	18	43	work-r3cv-d116p3bw/f099/pr_evt43	1	6	2	329	732.89	0.39203	0.25312	0	0	0.10064	0	0	0	0.99331	1937	0	0.024316	0	0	0.25173	0	0	329	0	0	0.23927	0	0.0030395	328	0	0	0.24498	0	0.0030395	328
714	18	47	work-r3cv-d116p3bw/f099/pr_evt47	0																																		
714	18	6	work-r3cv-d116p3bw/f099/pr_evt6	0																																		
713	59	15	work-r3cv-d116p3bw/f100/pr_evt15	0																																		
713	59	21	work-r3cv-d116p3bw/f100/pr_evt21	1	5	3	64	105.99	0.029758	0.13841	0	0	0.071972	0	0	0	0.99617	360	0.015625	0.09375	0.015625	0	0.22779	0	0	64	0	0	0.23849	0	0	64	0.03125	0	0.19794	0	0	64
713	59	22	work-r3cv-d116p3bw/f100/pr_evt22	1	1	4	318	612.28	0.012193	0.057103	0.0031447	0	0.15561	0.0031447	1.6332	1	0.86179	2184	0.022013	0.022013	0	0	0.26061	0	0.0062893	316	0.0031447	0.0031447	0.24932	0	0	318	0	0	0.27236	0	0.0031447	317
713	59	23	work-r3cv-d116p3bw/f100/pr_evt23	0																																		
713	59	30	work-r3cv-d116p3bw/f100/pr_evt30	0																																		
713	59	39	work-r3cv-d116p3bw/f100/pr_evt39	1	22	29	505	3251.6	0.068114	0.11861	0.011881	0	0.10048	0.017822	0.61508	2	0.94798	2639	0.027723	0.17228	0.0039604	0.0039604	0.25913	0.009901	0	505	0.0059761	0.0039841	0.26523	0.0099602	0.0059406	502	0.0059524	0.0019841	0.21876	0.0099206	0.0019802	504
713	59	40	work-r3cv-d116p3bw/f100/pr_evt40	0																																		
713	59	41	work-r3cv-d116p3bw/f100/pr_evt41	0																																		
713	59	50	work-r3cv-d116p3bw/f100/pr_evt50	1	14	5	331	795.41	0.19757	0.18834	0	0	0.098879	0.0030211	0	0	0.93211	2033	0.0060423	0.039275	0	0	0.22601	0	0	331	0.006079	0.0030395	0.24403	0	0.0060423	329	0	0	0.2437	0	0.0030211	330
713	59	9	work-r3cv-d116p3bw/f100/pr_evt9	0																																		
713	64	1	work-r3cv-d116p3bw/f101/pr_evt1	0																																		
713	64	11	work-r3cv-d116p3bw/f101/pr_evt11	1	5	2	113	178.85	0.1189	0.15352	0	0	0.089914	0.0088496	0	0	0.93109	768	0	0.0088496	0.0088496	0.0088496	0.31028	0	0	113	0	0	0.23719	0	0	113	0	0	0.25374	0	0	113
