run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
714	88	28	work-r3cv-d116cs/f140/pr_evt28	1	4	5	151	453.16	0.21614	0.39699	0.072848	0	0.38693	0	0	0	0.35035	2800	0.019868	0.086093	0	0	0.23073	0	0	151	0.0075758	0	0.24347	0	0.12583	132	0	0	0.23494	0	0	151
714	88	32	work-r3cv-d116cs/f140/pr_evt32	1	14	4	180	472.82	0.0015528	0.00038819	0	0	0.10568	0.022222	0	0	0.99059	1060	0.011111	0.055556	0	0	0.20117	0	0	180	0.022346	0.022346	0.26982	0	0.0055556	179	0	0	0.21812	0	0	180
714	88	33	work-r3cv-d116cs/f140/pr_evt33	1	8	13	200	1416.3	0.13864	0.11767	0.045	0	0.068233	0.055	0	0	0.90686	1042	0.01	0.12	0.005	0.005	0.26871	0	0	200	0.02	0.015	0.27451	0	0	200	0.045918	0.035714	0.17202	0	0.02	196
714	88	36	work-r3cv-d116cs/f140/pr_evt36	0																																		
719	29	1	work-r3cv-d116cs/f141/pr_evt1	1	25	11	259	1115.8	0.063261	0.11582	0.019305	0	0.17774	0.015444	0.89622	1	0.73325	2376	0.030888	0.084942	0	0	0.2096	0	0	259	0	0	0.26188	0	0.003861	258	0.015504	0.015504	0.21427	0	0.003861	258
719	29	12	work-r3cv-d116cs/f141/pr_evt12	0																																		
719	29	13	work-r3cv-d116cs/f141/pr_evt13	0																																		
719	29	19	work-r3cv-d116cs/f141/pr_evt19	1	6	3	251	496.21	0.0050711	0.012467	0.023904	0	0.086264	0	2.0153	1	0.99733	1268	0.015936	0.047809	0	0	0.24496	0	0	251	0	0	0.25247	0	0	251	0	0	0.22209	0	0.0039841	250
719	29	21	work-r3cv-d116cs/f141/pr_evt21	1	24	7	312	1048.9	0.12333	0.12327	0.0096154	0	0.13279	0.012821	0	0	0.9843	1763	0.0064103	0.054487	0.012821	0.012821	0.25966	0	0	312	0	0	0.27977	0	0	312	0	0	0.22195	0	0	312
719	29	22	work-r3cv-d116cs/f141/pr_evt22	0																																		
719	29	28	work-r3cv-d116cs/f141/pr_evt28	1	13	30	844	2537.3	0.28693	0.31104	0.06872	0	0.35041	0.015403	2.7589	7	0.698	6387	0.037915	0.22275	0.0082938	0	0.25226	0	0	844	0.015403	0.0094787	0.26427	0	0	844	0.014235	0.0071174	0.24127	0	0.0011848	843
719	29	30	work-r3cv-d116cs/f141/pr_evt30	0																																		
719	29	32	work-r3cv-d116cs/f141/pr_evt32	0																																		
719	29	36	work-r3cv-d116cs/f141/pr_evt36	0																																		
719	29	39	work-r3cv-d116cs/f141/pr_evt39	0																																		
