run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
299	58	8744	work-r3nue-d115pr/f204/pr_evt8744	1	19	17	506	2062.5	0.21651	0.18612	0.1087	0	0.44629	0.021739	1.9394	4	0.74351	5080	0.065217	0.27668	0.031621	0.0098814	0.27155	0	0	506	0.017893	0.011928	0.25671	0	0.0059289	503	0.0039526	0	0.22653	0	0	506
299	58	941	work-r3nue-d115pr/f204/pr_evt941	1	92	35	1478	3551.9	0.57895	0.51149	0.21448	0.098106	0.49258	0.12449	7.6015	27	0.61259	11766	0.20839	0.19892	0.11976	0.05751	0.28719	0	0	1478	0.16105	0.098417	0.31501	0	0.016915	1453	0.030447	0.0060893	0.27942	0	0	1478
295	40	10297	work-r3nue-d115pr/f205/pr_evt10297	1	28	15	670	1847.9	0.20037	0.28851	0.038806	0.0014925	0.12664	0.014925	0.54117	1	0.89658	4243	0.01194	0.10149	0.008982	0.007485	0.25561	0	0.0029851	668	0.010448	0.0089552	0.24489	0	0	670	0.0075988	0.0045593	0.22563	0	0.01791	658
295	40	1056	work-r3nue-d115pr/f205/pr_evt1056	1	19	11	83	1196	0.00080927	0.021573	0.036145	0	0.10883	0	0	0	0.99151	341	0.048193	0.26506	0	0	0.24069	0	0	83	0	0	0.34185	0	0	83	0	0	0.17511	0	0	83
295	40	6016	work-r3nue-d115pr/f205/pr_evt6016	1	35	12	220	1186.2	0.11245	0.23416	0.059091	0	0.26679	0.0045455	1.686	2	0.91753	1380	0.063636	0.20909	0.0090909	0.0045455	0.26415	0	0	220	0.0045455	0	0.22952	0.0090909	0	220	0.013761	0	0.23874	0.0091743	0.0090909	218
295	40	6319	work-r3nue-d115pr/f205/pr_evt6319	1	3	12	467	1281.3	0.32519	0.25444	0.021413	0.0042827	0.16717	0.040685	0.78047	1	0.82331	3413	0.025696	0.087794	0.006424	0.0042827	0.23012	0.0021413	0	467	0.044776	0.029851	0.27973	0.0074627	0.13919	402	0.017279	0.015119	0.24381	0.0021598	0.0085653	463
295	40	6865	work-r3nue-d115pr/f205/pr_evt6865	1	106	66	2020	8318.4	0.82102	0.50248	0.1401	0.021287	0.47852	0.078218	6.4916	54	0.31716	37504	0.18465	0.24059	0.05099	0.027228	0.26062	0	0	2020	0.067574	0.043873	0.27715	0	0.018317	1983	0.037602	0.017785	0.26211	0	0.025743	1968
295	40	7144	work-r3nue-d115pr/f205/pr_evt7144	1	66	25	407	1694.8	0.097657	0.32026	0.09828	0.017199	0.34896	0.039312	1.1801	2	0.89963	2829	0.04914	0.30467	0.012285	0.002457	0.27855	0.009828	0	407	0.050179	0.032258	0.26986	0.014337	0.3145	279	0.0075758	0.0050505	0.25598	0.010101	0.027027	396
295	40	9657	work-r3nue-d115pr/f205/pr_evt9657	1	38	22	346	1202.3	0.95363	0.50427	0.13006	0	0.47402	0.040462	4.1587	5	0.64369	3587	0.12139	0.27746	0.034682	0.020231	0.28636	0	0	346	0.049133	0.014451	0.24894	0	0	346	0.028902	0.014451	0.24183	0	0	346
296	80	10158	work-r3nue-d115pr/f206/pr_evt10158	1	24	36	486	2579.7	0.31721	0.28867	0.13786	0.010288	0.46793	0.061728	1.1629	3	0.44504	6126	0.05144	0.30041	0.020576	0.018519	0.24774	0	0	486	0.055556	0.032922	0.25954	0	0	486	0.043388	0.016529	0.23447	0	0.0041152	484
296	80	11310	work-r3nue-d115pr/f206/pr_evt11310	1	7	14	239	999.95	0.035215	0.23193	0.050209	0	0.27324	0.0041841	1.0001	1	0.87247	1437	0.037657	0.22594	0.0083682	0.0041841	0.24776	0	0	239	0.0083682	0.0041841	0.27016	0	0	239	0.0085106	0	0.22885	0	0.016736	235
296	80	12239	work-r3nue-d115pr/f206/pr_evt12239	0																																		
296	80	5621	work-r3nue-d115pr/f206/pr_evt5621	1	19	50	889	4048.3	0.46133	0.48168	0.14173	0.010124	0.48512	0.059618	2.4702	10	0.74161	7999	0.084364	0.33746	0.047244	0.031496	0.25169	0	0	889	0.042139	0.016207	0.30022	0	0.30596	617	0.025172	0.017162	0.24621	0	0.016873	874
296	80	7027	work-r3nue-d115pr/f206/pr_evt7027	1	5	83	1158	7843.2	0.45099	0.45224	0.12781	0.018135	0.38673	0.078584	2.6775	21	0.56296	10350	0.13558	0.28411	0.033679	0.018135	0.24467	0	0	1158	0.06848	0.047842	0.27213	0	0.079447	1066	0.038767	0.02467	0.22517	0	0.019862	1135
296	80	8553	work-r3nue-d115pr/f206/pr_evt8553	1	27	31	886	5135.7	0.24776	0.4023	0.090293	0.0045147	0.32269	0.044018	2.1419	11	0.61882	10509	0.074492	0.21783	0.039503	0.027088	0.27844	0	0	886	0.018059	0.011287	0.25398	0	0	886	0.0252	0.0080183	0.26032	0	0.014673	873
296	80	9222	work-r3nue-d115pr/f206/pr_evt9222	1	9	29	302	1519.8	0.22769	0.21392	0.13245	0	0.32969	0.039735	3.2898	5	0.6127	2666	0.10596	0.25497	0.019868	0.0099338	0.26998	0	0	302	0.056478	0.033223	0.26209	0	0.0033113	301	0.02649	0	0.22807	0	0	302
300	12	10659	work-r3nue-d115pr/f207/pr_evt10659	1	11	26	344	1530.4	0.080809	0.30902	0.10756	0	0.30223	0.037791	1.9603	3	0.76521	2257	0.078488	0.26163	0.020349	0.014535	0.25046	0	0	344	0.023256	0.023256	0.25314	0	0	344	0.017442	0.0087209	0.2635	0	0	344
300	12	11235	work-r3nue-d115pr/f207/pr_evt11235	1	22	20	500	1578	0.34921	0.26994	0.02	0	0.12664	0.014	0	0	0.8498	3367	0.014	0.108	0.002	0.002	0.24825	0	0	500	0.004	0.004	0.24282	0	0	500	0.01	0.008	0.24022	0	0	500
300	12	1217	work-r3nue-d115pr/f207/pr_evt1217	1	15	25	417	1591	0.35228	0.31388	0.086331	0	0.32681	0.026379	1.2571	2	0.90276	2925	0.038369	0.32614	0.0095923	0.0023981	0.27946	0	0	417	0.031175	0.021583	0.26705	0	0	417	0.01199	0.0047962	0.24333	0	0	417
