run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
294	68	10591	work-r3nue-d116cs/f137/pr_evt10591	1	11	3	172	372.06	0.23576	0.40208	0.05814	0	0.60666	0.011628	0	0	0.44463	2649	0.011628	0.11047	0.005814	0.005814	0.2456	0	0	172	0.023256	0.005814	0.28058	0	0	172	0.005814	0	0.25193	0	0	172
294	68	10851	work-r3nue-d116cs/f137/pr_evt10851	1	5	22	240	1481.3	0.19676	0.25838	0.058333	0	0.21981	0.033333	2.7004	4	0.7362	1935	0.10417	0.30833	0	0	0.24571	0	0	240	0.033333	0.029167	0.253	0	0	240	0.025316	0.016878	0.19391	0	0.0125	237
294	68	11004	work-r3nue-d116cs/f137/pr_evt11004	1	21	46	835	3847.7	0.31701	0.34578	0.12335	0.0023952	0.42752	0.069461	3.8984	15	0.55668	8913	0.12216	0.29581	0.056287	0.041916	0.24382	0	0	835	0.041558	0.020779	0.28714	0	0.077844	770	0.023952	0.0095808	0.21411	0	0	835
294	68	11660	work-r3nue-d116cs/f137/pr_evt11660	1	15	10	259	923.68	0.18499	0.20766	0.096525	0	0.5518	0.015444	5.4132	5	0.42278	3969	0.084942	0.19691	0.003861	0	0.21373	0	0	259	0.023166	0.015444	0.28324	0	0	259	0.015444	0.003861	0.24413	0	0	259
294	68	4034	work-r3nue-d116cs/f137/pr_evt4034	1	14	36	530	2723	0.18955	0.32978	0.062264	0.0037736	0.27855	0.043396	0.36724	1	0.8741	3555	0.050943	0.30377	0.024528	0.013208	0.27051	0	0	530	0.04023	0.02682	0.28143	0	0.015094	522	0.009434	0.0037736	0.21139	0	0	530
294	68	5664	work-r3nue-d116cs/f137/pr_evt5664	0																																		
294	68	5994	work-r3nue-d116cs/f137/pr_evt5994	1	11	74	1340	6643.3	0.23907	0.35905	0.10224	0.011194	0.45602	0.043284	3.3116	22	0.27777	23429	0.14104	0.24627	0.014925	0.0089552	0.25319	0	0	1340	0.047761	0.023134	0.28945	0	0	1340	0.022573	0.014296	0.24085	0	0.008209	1329
294	68	627	work-r3nue-d116cs/f137/pr_evt627	1	78	64	1177	5756.2	0.48547	0.38013	0.12234	0.0016992	0.4688	0.04418	2.2584	13	0.46527	14193	0.091759	0.27782	0.030586	0.016143	0.27366	0.0016992	0	1177	0.052676	0.027188	0.29511	0.0016992	0	1177	0.017304	0.0045537	0.24585	0.00091075	0.06712	1098
294	68	6610	work-r3nue-d116cs/f137/pr_evt6610	1	13	9	482	989.67	0.12258	0.26544	0.0062241	0	0.24145	0.010373	0	0	0.58119	4689	0.0041494	0.091286	0.0041494	0	0.24198	0	0	482	0.0088496	0.0044248	0.23733	0	0.062241	452	0.0084034	0.0063025	0.25659	0	0.012448	476
294	68	7066	work-r3nue-d116cs/f137/pr_evt7066	1	14	48	635	4357	0.33762	0.27247	0.037795	0.0094488	0.23353	0.020472	0.91806	4	0.70485	4549	0.055118	0.25197	0.023622	0.011024	0.27984	0	0	635	0.0094488	0.0047244	0.24933	0	0	635	0.0095087	0.0047544	0.23988	0	0.0062992	631
294	68	7627	work-r3nue-d116cs/f137/pr_evt7627	1	6	5	215	484.1	0.33044	0.28008	0.065116	0	0.4119	0.018605	0	0	0.6268	1971	0.018605	0.15814	0.018605	0.0093023	0.27427	0	0	215	0.018605	0.0093023	0.23656	0	0	215	0.0046948	0	0.25888	0	0.0093023	213
296	1	10127	work-r3nue-d116cs/f138/pr_evt10127	1	20	21	269	1833.8	0.028121	0.095601	0.026022	0.0074349	0.07984	0.026022	1.0906	2	0.87227	1473	0.05948	0.15985	0	0	0.21041	0.011152	0	269	0.01487	0.01487	0.27064	0.011152	0	269	0.018587	0.018587	0.1892	0.011152	0	269
296	1	10876	work-r3nue-d116cs/f138/pr_evt10876	1	49	38	348	2295.6	0.13118	0.2696	0.025862	0	0.1869	0.028736	1.7424	4	0.98456	1605	0.066092	0.30172	0.014368	0.011494	0.25786	0	0	348	0.034483	0.022989	0.28826	0	0	348	0.0028736	0.0028736	0.22123	0	0	348
296	1	12306	work-r3nue-d116cs/f138/pr_evt12306	1	3	28	475	1823.6	0.44733	0.36968	0.077895	0	0.31969	0.021053	3.8385	7	0.8162	3752	0.11789	0.27579	0.014737	0.0063158	0.23405	0	0	475	0.018634	0.012422	0.22245	0	0.66105	161	0.021053	0.012632	0.25615	0	0	475
296	1	1559	work-r3nue-d116cs/f138/pr_evt1559	1	41	31	1054	3266.2	0.29407	0.35954	0.047438	0.00094877	0.25569	0.028463	0.91849	3	0.70716	8651	0.037951	0.18121	0.0047438	0.0018975	0.24794	0	0	1054	0.032039	0.019417	0.24198	0	0.02277	1030	0.012452	0.0095785	0.24709	0	0.0094877	1044
296	1	3216	work-r3nue-d116cs/f138/pr_evt3216	1	21	61	895	6385.5	0.21239	0.16696	0.046927	0	0.2305	0.01676	0.31321	2	0.69445	7011	0.017877	0.24469	0.0033595	0	0.24652	0	0.0022346	893	0.023464	0.013408	0.2571	0	0	895	0.010056	0.003352	0.23699	0	0	895
296	1	4414	work-r3nue-d116cs/f138/pr_evt4414	1	14	15	325	1496.5	0.34804	0.24791	0.061538	0.012308	0.32325	0.021538	1.3365	2	0.85643	2059	0.033846	0.23077	0.0061538	0	0.26602	0.012308	0	325	0.0092879	0.0092879	0.2544	0.012384	0.0061538	323	0	0	0.22445	0.012308	0	325
296	1	4575	work-r3nue-d116cs/f138/pr_evt4575	1	6	19	337	1100.7	0.25475	0.28981	0.041543	0	0.30222	0.011869	1.8171	2	0.90384	2283	0.047478	0.25519	0.026706	0.0089021	0.25335	0.0029674	0	337	0.0029674	0	0.23243	0.0029674	0	337	0.0059701	0	0.2424	0.0029851	0.0059347	335
296	1	6639	work-r3nue-d116cs/f138/pr_evt6639	1	6	3	63	141.54	0.25611	0.35642	0.031746	0	0.35551	0.047619	0	0	0.70757	500	0.031746	0.079365	0.047619	0	0.3305	0	0	63	0	0	0.24312	0	0	63	0.063492	0.047619	0.2679	0	0	63
296	1	8710	work-r3nue-d116cs/f138/pr_evt8710	1	91	36	1154	3383.7	0.15247	0.45833	0.15511	0.012132	0.48875	0.083189	5.024	17	0.53657	15203	0.10052	0.2721	0.029463	0.017331	0.26983	0	0	1154	0.097028	0.061189	0.28368	0	0.0086655	1144	0.022707	0.012227	0.26179	0	0.007799	1145
296	1	8950	work-r3nue-d116cs/f138/pr_evt8950	0																																		
295	89	1531	work-r3nue-d116cs/f139/pr_evt1531	0																																		
295	89	2850	work-r3nue-d116cs/f139/pr_evt2850	1	22	24	442	1656.4	0.43012	0.40853	0.029412	0	0.17215	0.033937	0	0	0.97488	2197	0.022624	0.1448	0.0022624	0	0.26905	0	0	442	0.015837	0.011312	0.25743	0	0	442	0.028169	0.023474	0.13668	0	0.036199	426
295	89	3063	work-r3nue-d116cs/f139/pr_evt3063	1	14	26	502	1991	0.22848	0.41806	0.047809	0	0.2633	0.015936	2.0091	4	0.78611	4117	0.055777	0.23506	0.015936	0.0099602	0.25309	0	0	502	0.0079681	0.001992	0.23902	0	0	502	0.012048	0.0060241	0.23121	0	0.0079681	498
