idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	12	1902116	0	nan
1	6505	130	13	1818136	0	nan
2	6512	130	15	1740612	0	nan
3	6520	130	19	1795236	0	nan
4	6528	130	13	1899640	0	nan
5	6529	130	13	1834844	0	nan
6	6532	130	20	2118080	0	nan
7	6536	130	13	1842728	0	nan
8	6545	130	15	1900948	0	nan
9	6550	130	11	1694152	0	nan
10	6570	131	23	2092272	0	nan
11	6588	131	10	1725228	0	nan
12	6604	132	27	2231096	0	nan
13	6606	132	13	1973744	0	nan
14	6612	132	14	2070192	0	nan
15	6642	132	18	2106132	0	nan
16	6650	132	14	2018644	0	nan
17	6711	134	11	1778624	0	nan
18	6748	134	14	1794900	0	nan
19	6775	135	12	1783676	0	nan
20	6786	135	18	2018128	0	nan
21	6804	136	14	1846328	0	nan
22	6805	136	13	1955364	0	nan
23	6806	136	13	2014964	0	nan
24	6821	136	13	1803608	0	nan
25	6822	136	17	2162356	0	nan
26	6837	136	14	2079464	0	nan
27	6844	136	14	2014724	0	nan
28	6852	137	14	1860992	0	nan
29	6867	137	13	1799448	0	nan
30	6874	137	23	2176184	0	nan
31	6878	137	17	1953696	0	nan
32	6887	137	12	1795332	0	nan
33	6888	137	23	2065400	0	nan
34	6898	137	13	1780276	0	nan
