run,idx,evtid,n_candidates,n_stm,n_michel,n_flash,n_stm_flash,n_opwf,root,bee
28084,0,74408,4,1,1,130,4,612,events/028084_74408/stm_michel_pdhd_028084_74408.root,events/028084_74408/bee_pdhd_028084_74408.zip
28084,1,74416,8,1,1,124,7,1071,events/028084_74416/stm_michel_pdhd_028084_74416.root,events/028084_74416/bee_pdhd_028084_74416.zip
28084,2,74424,6,3,2,158,6,918,events/028084_74424/stm_michel_pdhd_028084_74424.root,events/028084_74424/bee_pdhd_028084_74424.zip
28084,3,74432,7,2,1,113,7,1071,events/028084_74432/stm_michel_pdhd_028084_74432.root,events/028084_74432/bee_pdhd_028084_74432.zip
28084,4,74440,5,3,2,113,5,765,events/028084_74440/stm_michel_pdhd_028084_74440.root,events/028084_74440/bee_pdhd_028084_74440.zip
28084,5,74448,2,2,1,144,2,306,events/028084_74448/stm_michel_pdhd_028084_74448.root,events/028084_74448/bee_pdhd_028084_74448.zip
28084,6,74456,5,3,2,140,5,770,events/028084_74456/stm_michel_pdhd_028084_74456.root,events/028084_74456/bee_pdhd_028084_74456.zip
28084,7,74464,8,4,2,140,7,1071,events/028084_74464/stm_michel_pdhd_028084_74464.root,events/028084_74464/bee_pdhd_028084_74464.zip
28084,8,74472,7,3,2,107,7,1071,events/028084_74472/stm_michel_pdhd_028084_74472.root,events/028084_74472/bee_pdhd_028084_74472.zip
28084,9,74480,5,0,0,121,5,765,events/028084_74480/stm_michel_pdhd_028084_74480.root,events/028084_74480/bee_pdhd_028084_74480.zip
28084,10,74488,1,1,1,117,1,153,events/028084_74488/stm_michel_pdhd_028084_74488.root,events/028084_74488/bee_pdhd_028084_74488.zip
28084,11,74496,6,2,0,136,6,918,events/028084_74496/stm_michel_pdhd_028084_74496.root,events/028084_74496/bee_pdhd_028084_74496.zip
28084,12,74504,9,5,3,134,9,1377,events/028084_74504/stm_michel_pdhd_028084_74504.root,events/028084_74504/bee_pdhd_028084_74504.zip
28084,13,74512,0,0,0,111,0,0,events/028084_74512/stm_michel_pdhd_028084_74512.root,events/028084_74512/bee_pdhd_028084_74512.zip
28084,14,74520,1,0,0,96,1,153,events/028084_74520/stm_michel_pdhd_028084_74520.root,events/028084_74520/bee_pdhd_028084_74520.zip
28084,15,74528,5,1,0,114,4,612,events/028084_74528/stm_michel_pdhd_028084_74528.root,events/028084_74528/bee_pdhd_028084_74528.zip
28084,16,74536,4,1,1,109,4,612,events/028084_74536/stm_michel_pdhd_028084_74536.root,events/028084_74536/bee_pdhd_028084_74536.zip
28084,17,74544,8,4,3,102,7,1078,events/028084_74544/stm_michel_pdhd_028084_74544.root,events/028084_74544/bee_pdhd_028084_74544.zip
28084,18,74552,4,3,2,130,3,459,events/028084_74552/stm_michel_pdhd_028084_74552.root,events/028084_74552/bee_pdhd_028084_74552.zip
