evt	sample	lockbox	d_base	d_new	cls_base	cls_new	route_base	route_new	rows_same	trans
166738	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
166804	mcp1k	0	23.928	23.928	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
167112	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
167684	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
168432	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
168526	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
168614	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
168658	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169356	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
169488	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
169598	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169620	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
169626	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169758	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169774	mcp1k	0	12.127	12.127	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
169824	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
169846	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169890	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
170792	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
170808	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
170814	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
170880	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
170924	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
171358	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
171600	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
171892	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
172090	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
172266	mcp1k	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
172656	mcp1k	0	6.142	6.142	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
172788	mcp1k	0	99.024	99.024	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
172794	mcp1k	0	0.000	81.027	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
