evt	sample	lockbox	d_base	d_new	cls_base	cls_new	route_base	route_new	rows_same	trans
100222	nuecc	0	0.000	37.116	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
100245	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
100421	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
101004	nuecc	0	7.332	7.332	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
101224	nuecc	0	50.379	50.379	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
101498	nuecc	0	97.666	97.666	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
102247	nuecc	0	2.054	2.054	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
103391	nuecc	0	5.597	5.597	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
103798	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
104260	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
104304	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
105140	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
105492	nuecc	0	12.368	12.368	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
156093	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
157281	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
161043	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
162143	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
165157	nuecc	0	18.083	18.083	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
165544	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
165767	nuecc	0	44.699	44.699	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
166996	nuecc	0	19.534	19.534	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
167351	nuecc	0	134.892	134.892	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
167744	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
168869	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
169152	nuecc	0	68.732	68.732	candidate-missing	candidate-missing	dl-rerank-accept	dl-rerank-accept	1	still-wrong
169240	nuecc	0	1.857	1.857	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
169306	nuecc	0	48.691	48.691	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
169724	nuecc	0	28.576	0.144	net-wrong	correct	dl-rerank-accept	dl-rerank-reject	1	fixed
170274	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
170326	nuecc	0	2.188	0.467	net-wrong	correct	dl-rerank-accept	dl-rerank-reject	1	fixed
171143	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
171528	nuecc	0	33.378	33.378	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
171729	nuecc	0	1.282	1.282	selection-wrong	selection-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
172020	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
173093	nuecc	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
173585	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
173620	nuecc	0	15.018	15.018	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
173819	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
