evt	sample	lockbox	d_base	d_new	cls_base	cls_new	route_base	route_new	rows_same	trans
10550	nuecc	0	41.039	41.039	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
111412	nuecc	0	0.000	63.795	correct	candidate-missing	dl-rerank-reject	dl-rerank-accept	1	regressed
131357	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
137238	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
163543	nuecc	0	32.606	32.606	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
168596	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
172230	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
174637	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
196649	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
214469	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
219295	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
234638	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
235435	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
239794	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
246579	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
256587	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
267597	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
268784	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
269774	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
271851	nuecc	0	32.654	32.654	candidate-missing	candidate-missing	dl-rerank-accept	dl-rerank-accept	1	still-wrong
30504	nuecc	0	75.474	75.474	candidate-missing	candidate-missing	dl-rerank-reject	dl-rerank-reject	1	still-wrong
342199	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
350186	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
360535	nuecc	0	0.000	1.607	correct	selection-wrong	dl-rerank-accept	dl-rerank-accept	1	regressed
388	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
38856	nuecc	0	30.106	30.106	candidate-missing	candidate-missing	dl-rerank-accept	dl-rerank-accept	1	still-wrong
389538	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
42280	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
422851	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
433451	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
437699	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
444187	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
447477	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
46363	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
469665	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
489330	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
52672	nuecc	0	3.567	3.567	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
54095	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
69314	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
74544	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
81597	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
90055	nuecc	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
