evt	sample	lockbox	d_base	d_new	cls_base	cls_new	route_base	route_new	rows_same	trans
105946	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
114446	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
142421	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
180801	ncpi0	0	76.799	76.799	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
18625	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
21073	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
259542	ncpi0	0	136.671	0.000	net-wrong	correct	dl-rerank-accept	dl-rerank-reject	1	fixed
285567	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
314838	ncpi0	0	0.000	1.418	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
359980	ncpi0	0	0.415	0.415	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
37112	ncpi0	0	0.000	50.276	correct	net-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
399860	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
463565	ncpi0	0	30.165	30.165	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
506114	ncpi0	0	0.000	23.001	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
506746	ncpi0	0	0.000	38.748	correct	candidate-missing	dl-rerank-accept	dl-rerank-reject	1	regressed
521075	ncpi0	0	0.000	6.187	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
56982	ncpi0	0	33.319	33.319	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
71372	ncpi0	0	0.000	5.752	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
84229	ncpi0	0	0.000	80.776	correct	selection-wrong	dl-rerank-accept	dl-rerank-reject	1	regressed
