evt	sample	lockbox	d_base	d_new	cls_base	cls_new	route_base	route_new	rows_same	trans
105946	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
114446	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
142421	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
180801	ncpi0	0	76.799	76.799	selection-wrong	selection-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
18625	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
21073	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
259542	ncpi0	0	136.671	136.671	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
285567	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
314838	ncpi0	0	0.000	0.591	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
359980	ncpi0	0	0.415	0.415	correct	correct	dl-rerank-reject	dl-rerank-reject	1	still-correct
37112	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
399860	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
463565	ncpi0	0	30.165	30.165	net-wrong	net-wrong	dl-rerank-reject	dl-rerank-reject	1	still-wrong
506114	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
506746	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
521075	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
56982	ncpi0	0	33.319	33.319	net-wrong	net-wrong	dl-rerank-accept	dl-rerank-accept	1	still-wrong
71372	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
84229	ncpi0	0	0.000	0.000	correct	correct	dl-rerank-accept	dl-rerank-accept	1	still-correct
